b! Augezdecki-01 001:00039 [[5];file:../../DjVu/Augezdecki-01.djvu?djvuopts=&highlight=00305,00769,00037,00061&page=001;+ Augezdecki-01.djvu p 1 x 305 y 769 h 37 w 61;※ 0_Augezdecki-01_PT08_402.djvu 00041 (41) new
b! Augezdecki-01 001:00040 [[5];file:../../DjVu/Augezdecki-01.djvu?djvuopts=&highlight=358,758,50,81&page=1;+# Augezdecki-01.djvu p 1 x 368 y 794 h 63 w 35;※ 0_Augezdecki-01_PT08_402.djvu 00042 (42) add
drot! Augezdecki-01 001:00048 [e];file:../../DjVu/Augezdecki-01.djvu?djvuopts=&highlight=00912,00764,00038,00067&page=001;+ Augezdecki-01.djvu p 1 x 912 y 764 h 38 w 67;※ 0_Augezdecki-01_PT08_402.djvu 00050 (50) new
h! Augezdecki-01 001:00060 [f*];file:../../DjVu/Augezdecki-01.djvu?djvuopts=&highlight=1500,723,64,97&page=1;+# Augezdecki-01.djvu p 1 x 1512 y 751 h 43 w 63;※ 0_Augezdecki-01_PT08_402.djvu 00062 (62) new
k! Augezdecki-01 001:00078 [E];file:../../DjVu/Augezdecki-01.djvu?djvuopts=&highlight=01946,00754,00040,00072&page=001;+ Augezdecki-01.djvu p 1 x 1946 y 754 h 40 w 72;※ 0_Augezdecki-01_PT08_402.djvu 00080 (80) new
k!0 Augezdecki-01 001:00079 [E];file:../../DjVu/Augezdecki-01.djvu?djvuopts=&highlight=02006,00747,00043,00073&page=001;+ Augezdecki-01.djvu p 1 x 2006 y 747 h 43 w 73;※ 0_Augezdecki-01_PT08_402.djvu 00081 (81) new
lhighstrokeflour Augezdecki-01 001:00081 [f];file:../../DjVu/Augezdecki-01.djvu?djvuopts=&highlight=02129,00754,00029,00064&page=001;+ Augezdecki-01.djvu p 1 x 2129 y 754 h 29 w 64;※ 0_Augezdecki-01_PT08_402.djvu 00083 (83) new
pflour Augezdecki-01 001:00099 [n,];file:../../DjVu/Augezdecki-01.djvu?djvuopts=&highlight=00338,00596,00056,00063&page=001;+ Augezdecki-01.djvu p 1 x 338 y 596 h 56 w 63;※ 0_Augezdecki-01_PT08_402.djvu 00101 (101) new
vacute Augezdecki-01 001:00133 [Y)];file:../../DjVu/Augezdecki-01.djvu?djvuopts=&highlight=01871,00599,00044,00062&page=001;+ Augezdecki-01.djvu p 1 x 1871 y 599 h 44 w 62;※ 0_Augezdecki-01_PT08_402.djvu 00135 (135) new
usmod Augezdecki-01 001:00145 [?];file:../../DjVu/Augezdecki-01.djvu?djvuopts=&highlight=02426,00580,00025,00054&page=001;+ Augezdecki-01.djvu p 1 x 2426 y 580 h 25 w 54;※ 0_Augezdecki-01_PT08_402.djvu 00147 (147) new
usmod! Augezdecki-01 001:00146 [Ó];file:../../DjVu/Augezdecki-01.djvu?djvuopts=&highlight=02485,00580,00042,00068&page=001;+ Augezdecki-01.djvu p 1 x 2485 y 580 h 42 w 68;※ 0_Augezdecki-01_PT08_402.djvu 00148 (148) new
s! Augezdecki-01 001:00253 [n];file:../../DjVu/Augezdecki-01.djvu?djvuopts=&highlight=02503,00257,00044,00062&page=001;+ Augezdecki-01.djvu p 1 x 2503 y 257 h 44 w 62;※ 0_Augezdecki-01_PT08_402.djvu 00255 (255) new
