"Augezdecki-01a 001:00000  [(y]";file:../../DjVu/Augezdecki-01a.djvu?djvuopts=&highlight=00369,00204,00063,00073&page=001;Augezdecki-01a.djvu p 1 x 369 y 204 h 63 w 73;※ 0_Augezdecki-01a_PT08_403.djvu 00002 (2) new
"Augezdecki-01a 001:00001  [»]";file:../../DjVu/Augezdecki-01a.djvu?djvuopts=&highlight=00377,00269,00023,00027&page=001;Augezdecki-01a.djvu p 1 x 377 y 269 h 23 w 27;※ 0_Augezdecki-01a_PT08_403.djvu 00003 (3) new
"Augezdecki-01a 001:00002  [4)]";file:../../DjVu/Augezdecki-01a.djvu?djvuopts=&highlight=00462,00202,00060,00071&page=001;Augezdecki-01a.djvu p 1 x 462 y 202 h 60 w 71;※ 0_Augezdecki-01a_PT08_403.djvu 00004 (4) new
"Augezdecki-01a 001:00003  [d]";file:../../DjVu/Augezdecki-01a.djvu?djvuopts=&highlight=00472,00268,00025,00016&page=001;Augezdecki-01a.djvu p 1 x 472 y 268 h 25 w 16;※ 0_Augezdecki-01a_PT08_403.djvu 00005 (5) new
"Augezdecki-01a 001:00004  [4]";file:../../DjVu/Augezdecki-01a.djvu?djvuopts=&highlight=00569,00269,00017,00021&page=001;Augezdecki-01a.djvu p 1 x 569 y 269 h 17 w 21;※ 0_Augezdecki-01a_PT08_403.djvu 00006 (6) new
"Augezdecki-01a 001:00005  [4]";file:../../DjVu/Augezdecki-01a.djvu?djvuopts=&highlight=00569,00215,00069,00059&page=001;Augezdecki-01a.djvu p 1 x 569 y 215 h 69 w 59;※ 0_Augezdecki-01a_PT08_403.djvu 00007 (7) add
"Augezdecki-01a 001:00006  [$T]";file:../../DjVu/Augezdecki-01a.djvu?djvuopts=&highlight=00659,00207,00071,00065&page=001;Augezdecki-01a.djvu p 1 x 659 y 207 h 71 w 65;※ 0_Augezdecki-01a_PT08_403.djvu 00008 (8) new
"Augezdecki-01a 001:00007  [an]";file:../../DjVu/Augezdecki-01a.djvu?djvuopts=&highlight=00719,00264,00016,00014&page=001;Augezdecki-01a.djvu p 1 x 719 y 264 h 16 w 14;※ 0_Augezdecki-01a_PT08_403.djvu 00009 (9) new
"Augezdecki-01a 001:00008  [i]";file:../../DjVu/Augezdecki-01a.djvu?djvuopts=&highlight=00766,00266,00016,00016&page=001;Augezdecki-01a.djvu p 1 x 766 y 266 h 16 w 16;※ 0_Augezdecki-01a_PT08_403.djvu 00010 (10) new
"Augezdecki-01a 001:00009  [jE]";file:../../DjVu/Augezdecki-01a.djvu?djvuopts=&highlight=00771,00212,00075,00070&page=001;Augezdecki-01a.djvu p 1 x 771 y 212 h 75 w 70;※ 0_Augezdecki-01a_PT08_403.djvu 00011 (11) new
"Augezdecki-01a 001:00010  [jE]";file:../../DjVu/Augezdecki-01a.djvu?djvuopts=&highlight=00877,00199,00069,00076&page=001;Augezdecki-01a.djvu p 1 x 877 y 199 h 69 w 76;※ 0_Augezdecki-01a_PT08_403.djvu 00012 (12) add
"Augezdecki-01a 001:00011  [d]";file:../../DjVu/Augezdecki-01a.djvu?djvuopts=&highlight=00888,00272,00023,00018&page=001;Augezdecki-01a.djvu p 1 x 888 y 272 h 23 w 18;※ 0_Augezdecki-01a_PT08_403.djvu 00013 (13) new
"Augezdecki-01a 001:00012  [$]";file:../../DjVu/Augezdecki-01a.djvu?djvuopts=&highlight=00936,00252,00014,00022&page=001;Augezdecki-01a.djvu p 1 x 936 y 252 h 14 w 22;※ 0_Augezdecki-01a_PT08_403.djvu 00014 (14) new
"Augezdecki-01a 001:00013  [Q4]";file:../../DjVu/Augezdecki-01a.djvu?djvuopts=&highlight=00989,00206,00064,00068&page=001;Augezdecki-01a.djvu p 1 x 989 y 206 h 64 w 68;※ 0_Augezdecki-01a_PT08_403.djvu 00015 (15) new
