"Augezdecki-01b 001:00000  [- d]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00027,00227,00011,00007&page=001;Augezdecki-01b.djvu p 1 x 27 y 227 h 11 w 7;※ 0_Augezdecki-01b_PT08_404.djvu 00002 (2) new
"Augezdecki-01b 001:00001  [á]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00067,00124,00029,00055&page=001;Augezdecki-01b.djvu p 1 x 67 y 124 h 29 w 55;※ 0_Augezdecki-01b_PT08_404.djvu 00003 (3) new
"Augezdecki-01b 001:00002  [n]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00126,00122,00034,00042&page=001;Augezdecki-01b.djvu p 1 x 126 y 122 h 34 w 42;※ 0_Augezdecki-01b_PT08_404.djvu 00004 (4) new
"Augezdecki-01b 001:00003  [d]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00142,00170,00012,00011&page=001;Augezdecki-01b.djvu p 1 x 142 y 170 h 12 w 11;※ 0_Augezdecki-01b_PT08_404.djvu 00005 (5) new
"Augezdecki-01b 001:00004  [d]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00195,00132,00044,00034&page=001;Augezdecki-01b.djvu p 1 x 195 y 132 h 44 w 34;※ 0_Augezdecki-01b_PT08_404.djvu 00006 (6) add
"Augezdecki-01b 001:00005  ["" d]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00212,00174,00017,00016&page=001;Augezdecki-01b.djvu p 1 x 212 y 174 h 17 w 16;※ 0_Augezdecki-01b_PT08_404.djvu 00007 (7) new
"Augezdecki-01b 001:00006  [n]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00259,00122,00037,00046&page=001;Augezdecki-01b.djvu p 1 x 259 y 122 h 37 w 46;※ 0_Augezdecki-01b_PT08_404.djvu 00008 (8) new
"Augezdecki-01b 001:00007  [^d]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00277,00172,00020,00014&page=001;Augezdecki-01b.djvu p 1 x 277 y 172 h 20 w 14;※ 0_Augezdecki-01b_PT08_404.djvu 00009 (9) new
"Augezdecki-01b 001:00008  [Q]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00329,00124,00034,00044&page=001;Augezdecki-01b.djvu p 1 x 329 y 124 h 34 w 44;※ 0_Augezdecki-01b_PT08_404.djvu 00010 (10) new
"Augezdecki-01b 001:00009  [*al]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00341,00171,00022,00022&page=001;Augezdecki-01b.djvu p 1 x 341 y 171 h 22 w 22;※ 0_Augezdecki-01b_PT08_404.djvu 00011 (11) new
"Augezdecki-01b 001:00010  [U]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00389,00125,00026,00039&page=001;Augezdecki-01b.djvu p 1 x 389 y 125 h 26 w 39;※ 0_Augezdecki-01b_PT08_404.djvu 00012 (12) new
"Augezdecki-01b 001:00011  [a]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00398,00176,00013,00010&page=001;Augezdecki-01b.djvu p 1 x 398 y 176 h 13 w 10;※ 0_Augezdecki-01b_PT08_404.djvu 00013 (13) new
"Augezdecki-01b 001:00012  [H]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00444,00108,00041,00077&page=001;Augezdecki-01b.djvu p 1 x 444 y 108 h 41 w 77;※ 0_Augezdecki-01b_PT08_404.djvu 00014 (14) new
"Augezdecki-01b 001:00013  [n]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00505,00107,00042,00062&page=001;Augezdecki-01b.djvu p 1 x 505 y 107 h 42 w 62;※ 0_Augezdecki-01b_PT08_404.djvu 00015 (15) new
"Augezdecki-01b 001:00014  [i]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00565,00120,00016,00043&page=001;Augezdecki-01b.djvu p 1 x 565 y 120 h 16 w 43;※ 0_Augezdecki-01b_PT08_404.djvu 00016 (16) new
"Augezdecki-01b 001:00015  [Ip]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00576,00174,00008,00008&page=001;Augezdecki-01b.djvu p 1 x 576 y 174 h 8 w 8;※ 0_Augezdecki-01b_PT08_404.djvu 00017 (17) new
"Augezdecki-01b 001:00016  [|]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00583,00118,00017,00046&page=001;Augezdecki-01b.djvu p 1 x 583 y 118 h 17 w 46;※ 0_Augezdecki-01b_PT08_404.djvu 00018 (18) new
"Augezdecki-01b 001:00017  [zs]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00594,00172,00007,00008&page=001;Augezdecki-01b.djvu p 1 x 594 y 172 h 7 w 8;※ 0_Augezdecki-01b_PT08_404.djvu 00019 (19) new
"Augezdecki-01b 001:00018  [0]]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00622,00121,00033,00042&page=001;Augezdecki-01b.djvu p 1 x 622 y 121 h 33 w 42;※ 0_Augezdecki-01b_PT08_404.djvu 00020 (20) new
"Augezdecki-01b 001:00019  [€]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00636,00166,00021,00023&page=001;Augezdecki-01b.djvu p 1 x 636 y 166 h 21 w 23;※ 0_Augezdecki-01b_PT08_404.djvu 00021 (21) new
"Augezdecki-01b 001:00020  [l]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00683,00120,00019,00044&page=001;Augezdecki-01b.djvu p 1 x 683 y 120 h 19 w 44;※ 0_Augezdecki-01b_PT08_404.djvu 00022 (22) new
"Augezdecki-01b 001:00021  [e]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00694,00167,00023,00019&page=001;Augezdecki-01b.djvu p 1 x 694 y 167 h 23 w 19;※ 0_Augezdecki-01b_PT08_404.djvu 00023 (23) new
"Augezdecki-01b 001:00022  [e]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00706,00149,00045,00015&page=001;Augezdecki-01b.djvu p 1 x 706 y 149 h 45 w 15;※ 0_Augezdecki-01b_PT08_404.djvu 00024 (24) add
"Augezdecki-01b 001:00023  [|]";file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00758,00106,00011,00101&page=001;Augezdecki-01b.djvu p 1 x 758 y 106 h 11 w 101;※ 0_Augezdecki-01b_PT08_404.djvu 00025 (25) new
