"Augezdecki-06 001:00000  [Wi]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=00072,00670,00087,00107&page=001;Augezdecki-06.djvu p 1 x 72 y 670 h 87 w 107;※ 0_Augezdecki-06_PT08_408.djvu 00002 (2) new
"Augezdecki-06 001:00001  [Fa]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=00189,00684,00098,00087&page=001;Augezdecki-06.djvu p 1 x 189 y 684 h 98 w 87;※ 0_Augezdecki-06_PT08_408.djvu 00003 (3) new
"Augezdecki-06 001:00002  [1f]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=00318,00684,00068,00089&page=001;Augezdecki-06.djvu p 1 x 318 y 684 h 68 w 89;※ 0_Augezdecki-06_PT08_408.djvu 00004 (4) new
"Augezdecki-06 001:00003  [(f]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=00419,00682,00072,00092&page=001;Augezdecki-06.djvu p 1 x 419 y 682 h 72 w 92;※ 0_Augezdecki-06_PT08_408.djvu 00005 (5) new
"Augezdecki-06 001:00004  [t]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=00531,00687,00072,00089&page=001;Augezdecki-06.djvu p 1 x 531 y 687 h 72 w 89;※ 0_Augezdecki-06_PT08_408.djvu 00006 (6) new
"Augezdecki-06 001:00005  [1)]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=00639,00688,00098,00091&page=001;Augezdecki-06.djvu p 1 x 639 y 688 h 98 w 91;※ 0_Augezdecki-06_PT08_408.djvu 00007 (7) new
"Augezdecki-06 001:00006  [i.]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=00772,00687,00073,00075&page=001;Augezdecki-06.djvu p 1 x 772 y 687 h 73 w 75;※ 0_Augezdecki-06_PT08_408.djvu 00008 (8) new
"Augezdecki-06 001:00007  [f-]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=00799,00711,00045,00068&page=001;Augezdecki-06.djvu p 1 x 799 y 711 h 45 w 68;※ 0_Augezdecki-06_PT08_408.djvu 00009 (9) new
"Augezdecki-06 001:00008  [üb]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=00885,00680,00041,00018&page=001;Augezdecki-06.djvu p 1 x 885 y 680 h 41 w 18;※ 0_Augezdecki-06_PT08_408.djvu 00010 (10) new
"Augezdecki-06 001:00009  [T]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=00889,00693,00073,00097&page=001;Augezdecki-06.djvu p 1 x 889 y 693 h 73 w 97;※ 0_Augezdecki-06_PT08_408.djvu 00011 (11) new
"Augezdecki-06 001:00010  [(^5]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=00994,00683,00093,00097&page=001;Augezdecki-06.djvu p 1 x 994 y 683 h 93 w 97;※ 0_Augezdecki-06_PT08_408.djvu 00012 (12) new
"Augezdecki-06 001:00011  [15]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=01123,00692,00101,00094&page=001;Augezdecki-06.djvu p 1 x 1123 y 692 h 101 w 94;※ 0_Augezdecki-06_PT08_408.djvu 00013 (13) new
"Augezdecki-06 001:00012  [[]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=01260,00666,00075,00120&page=001;Augezdecki-06.djvu p 1 x 1260 y 666 h 75 w 120;※ 0_Augezdecki-06_PT08_408.djvu 00014 (14) new
"Augezdecki-06 001:00013  [Jl]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=01377,00694,00084,00088&page=001;Augezdecki-06.djvu p 1 x 1377 y 694 h 84 w 88;※ 0_Augezdecki-06_PT08_408.djvu 00015 (15) new
"Augezdecki-06 001:00014  [i.]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=01502,00691,00073,00089&page=001;Augezdecki-06.djvu p 1 x 1502 y 691 h 73 w 89;※ 0_Augezdecki-06_PT08_408.djvu 00016 (16) new
"Augezdecki-06 001:00015  []";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=01532,00723,00015,00060&page=001;Augezdecki-06.djvu p 1 x 1532 y 723 h 15 w 60;※ 0_Augezdecki-06_PT08_408.djvu 00017 (17) new
"Augezdecki-06 001:00016  [$15]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=01612,00693,00105,00089&page=001;Augezdecki-06.djvu p 1 x 1612 y 693 h 105 w 89;※ 0_Augezdecki-06_PT08_408.djvu 00018 (18) new
"Augezdecki-06 001:00017  [$1]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=01752,00674,00086,00108&page=001;Augezdecki-06.djvu p 1 x 1752 y 674 h 86 w 108;※ 0_Augezdecki-06_PT08_408.djvu 00019 (19) new
"Augezdecki-06 001:00018  [O]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=01878,00689,00090,00089&page=001;Augezdecki-06.djvu p 1 x 1878 y 689 h 90 w 89;※ 0_Augezdecki-06_PT08_408.djvu 00020 (20) new
"Augezdecki-06 001:00019  [1]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=01898,00719,00024,00054&page=001;Augezdecki-06.djvu p 1 x 1898 y 719 h 24 w 54;※ 0_Augezdecki-06_PT08_408.djvu 00021 (21) new
"Augezdecki-06 001:00020  [D]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=02007,00671,00087,00107&page=001;Augezdecki-06.djvu p 1 x 2007 y 671 h 87 w 107;※ 0_Augezdecki-06_PT08_408.djvu 00022 (22) new
"Augezdecki-06 001:00021  [(i]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=02135,00693,00095,00088&page=001;Augezdecki-06.djvu p 1 x 2135 y 693 h 95 w 88;※ 0_Augezdecki-06_PT08_408.djvu 00023 (23) new
"Augezdecki-06 001:00022  [i]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=02274,00683,00045,00095&page=001;Augezdecki-06.djvu p 1 x 2274 y 683 h 45 w 95;※ 0_Augezdecki-06_PT08_408.djvu 00024 (24) new
"Augezdecki-06 001:00023  [a]";file:../../DjVu/Augezdecki-06.djvu?djvuopts=&highlight=02310,00689,00052,00089&page=001;Augezdecki-06.djvu p 1 x 2310 y 689 h 52 w 89;※ 0_Augezdecki-06_PT08_408.djvu 00025 (25) new
