Augezdecki-13 001:00000  [2i];file:../../DjVu/Augezdecki-13.djvu?djvuopts=&highlight=00071,00501,00082,00110&page=001;Augezdecki-13.djvu p 1 x 71 y 501 h 82 w 110;※ 0_Augezdecki-13_PT08_411.djvu 00002 (2) new
Augezdecki-13 001:00001  [(9];file:../../DjVu/Augezdecki-13.djvu?djvuopts=&highlight=00222,00502,00096,00112&page=001;Augezdecki-13.djvu p 1 x 222 y 502 h 96 w 112;※ 0_Augezdecki-13_PT08_411.djvu 00003 (3) new
Augezdecki-13 001:00002  [S];file:../../DjVu/Augezdecki-13.djvu?djvuopts=&highlight=00391,00501,00113,00104&page=001;Augezdecki-13.djvu p 1 x 391 y 501 h 113 w 104;※ 0_Augezdecki-13_PT08_411.djvu 00004 (4) new
Augezdecki-13 001:00003  [];file:../../DjVu/Augezdecki-13.djvu?djvuopts=&highlight=00456,00529,00008,00006&page=001;Augezdecki-13.djvu p 1 x 456 y 529 h 8 w 6;※ 0_Augezdecki-13_PT08_411.djvu 00005 (5) new
Augezdecki-13 001:00004  [Lo];file:../../DjVu/Augezdecki-13.djvu?djvuopts=&highlight=00465,00527,00009,00005&page=001;Augezdecki-13.djvu p 1 x 465 y 527 h 9 w 5;※ 0_Augezdecki-13_PT08_411.djvu 00006 (6) new
Augezdecki-13 001:00005  [(^];file:../../DjVu/Augezdecki-13.djvu?djvuopts=&highlight=00583,00496,00091,00112&page=001;Augezdecki-13.djvu p 1 x 583 y 496 h 91 w 112;※ 0_Augezdecki-13_PT08_411.djvu 00007 (7) new
Augezdecki-13 001:00006  [2f-];file:../../DjVu/Augezdecki-13.djvu?djvuopts=&highlight=00758,00492,00102,00119&page=001;Augezdecki-13.djvu p 1 x 758 y 492 h 102 w 119;※ 0_Augezdecki-13_PT08_411.djvu 00008 (8) new
Augezdecki-13 001:00007  [C];file:../../DjVu/Augezdecki-13.djvu?djvuopts=&highlight=00945,00496,00070,00108&page=001;Augezdecki-13.djvu p 1 x 945 y 496 h 70 w 108;※ 0_Augezdecki-13_PT08_411.djvu 00009 (9) new
Augezdecki-13 001:00008  [9];file:../../DjVu/Augezdecki-13.djvu?djvuopts=&highlight=00981,00501,00065,00102&page=001;Augezdecki-13.djvu p 1 x 981 y 501 h 65 w 102;※ 0_Augezdecki-13_PT08_411.djvu 00010 (10) new
Augezdecki-13 001:00009  [tQ];file:../../DjVu/Augezdecki-13.djvu?djvuopts=&highlight=01132,00541,00033,00042&page=001;Augezdecki-13.djvu p 1 x 1132 y 541 h 33 w 42;※ 0_Augezdecki-13_PT08_411.djvu 00011 (11) new
