"Augezdecki-15 001:00000  [Du]";file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=00106,01780,00139,00183&page=001;Augezdecki-15.djvu p 1 x 106 y 1780 h 139 w 183;※ 0_Augezdecki-15_PT08_411.djvu 00002 (2) new
"Augezdecki-15 001:00001  [9)]";file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=00275,01787,00153,00173&page=001;Augezdecki-15.djvu p 1 x 275 y 1787 h 153 w 173;※ 0_Augezdecki-15_PT08_411.djvu 00003 (3) new
"Augezdecki-15 001:00002  [*]";file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=00375,01903,00038,00050&page=001;Augezdecki-15.djvu p 1 x 375 y 1903 h 38 w 50;※ 0_Augezdecki-15_PT08_411.djvu 00004 (4) new
"Augezdecki-15 001:00003  [(]";file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=00459,01792,00116,00158&page=001;Augezdecki-15.djvu p 1 x 459 y 1792 h 116 w 158;※ 0_Augezdecki-15_PT08_411.djvu 00005 (5) new
"Augezdecki-15 001:00004  [C2)]";file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=00609,01788,00151,00161&page=001;Augezdecki-15.djvu p 1 x 609 y 1788 h 151 w 161;※ 0_Augezdecki-15_PT08_411.djvu 00006 (6) new
"Augezdecki-15 001:00005  [s]";file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=00785,01785,00142,00156&page=001;Augezdecki-15.djvu p 1 x 785 y 1785 h 142 w 156;※ 0_Augezdecki-15_PT08_411.djvu 00007 (7) new
"Augezdecki-15 001:00006  [C.]";file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=00814,01872,00025,00021&page=001;Augezdecki-15.djvu p 1 x 814 y 1872 h 25 w 21;※ 0_Augezdecki-15_PT08_411.djvu 00008 (8) new
"Augezdecki-15 001:00007  [-— —]";file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=00842,01880,00005,00002&page=001;Augezdecki-15.djvu p 1 x 842 y 1880 h 5 w 2;※ 0_Augezdecki-15_PT08_411.djvu 00009 (9) new
"Augezdecki-15 001:00008  [WEM]";file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=00850,01881,00006,00002&page=001;Augezdecki-15.djvu p 1 x 850 y 1881 h 6 w 2;※ 0_Augezdecki-15_PT08_411.djvu 00010 (10) new
"Augezdecki-15 001:00009  [EE]";file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=00858,01883,00004,00001&page=001;Augezdecki-15.djvu p 1 x 858 y 1883 h 4 w 1;※ 0_Augezdecki-15_PT08_411.djvu 00011 (11) new
"Augezdecki-15 001:00010  [e]";file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=00864,01882,00003,00002&page=001;Augezdecki-15.djvu p 1 x 864 y 1882 h 3 w 2;※ 0_Augezdecki-15_PT08_411.djvu 00012 (12) new
"Augezdecki-15 001:00011  [CU]";file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=00869,01865,00029,00018&page=001;Augezdecki-15.djvu p 1 x 869 y 1865 h 29 w 18;※ 0_Augezdecki-15_PT08_411.djvu 00013 (13) new
"Augezdecki-15 001:00012  [C]";file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=00954,01785,00130,00134&page=001;Augezdecki-15.djvu p 1 x 954 y 1785 h 130 w 134;※ 0_Augezdecki-15_PT08_411.djvu 00014 (14) new
