Augezdecki-15 001:00069 [(];file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=00396,01157,00074,00187&page=001;+ Augezdecki-15.djvu p 1 x 396 y 1157 h 74 w 187;※ 0_Augezdecki-15_PT08_411.djvu 00071 (71) new
Augezdecki-15 001:00070 [b];file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=00471,01151,00103,00199&page=001;+ Augezdecki-15.djvu p 1 x 471 y 1151 h 103 w 199;※ 0_Augezdecki-15_PT08_411.djvu 00072 (72) new
Augezdecki-15 001:00073 [V];file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=00655,01156,00081,00142&page=001;+ Augezdecki-15.djvu p 1 x 655 y 1156 h 81 w 142;※ 0_Augezdecki-15_PT08_411.djvu 00075 (75) new
Augezdecki-15 001:00074 [0];file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=00742,01154,00085,00158&page=001;+ Augezdecki-15.djvu p 1 x 742 y 1154 h 85 w 158;※ 0_Augezdecki-15_PT08_411.djvu 00076 (76) new
Augezdecki-15 001:00079 [(];file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=01217,01118,00096,00172&page=001;+ Augezdecki-15.djvu p 1 x 1217 y 1118 h 96 w 172;※ 0_Augezdecki-15_PT08_411.djvu 00081 (81) new
Augezdecki-15 001:00080 [g];file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=01324,01114,00110,00180&page=001;+ Augezdecki-15.djvu p 1 x 1324 y 1114 h 110 w 180;※ 0_Augezdecki-15_PT08_411.djvu 00082 (82) new
Augezdecki-15 001:00081 [iu];file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=01348,01335,00002,00003&page=001;+ Augezdecki-15.djvu p 1 x 1348 y 1335 h 2 w 3;※ 0_Augezdecki-15_PT08_411.djvu 00083 (83) new
Augezdecki-15 001:00082 [gj];file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=01436,01104,00118,00184&page=001;+ Augezdecki-15.djvu p 1 x 1436 y 1104 h 118 w 184;※ 0_Augezdecki-15_PT08_411.djvu 00084 (84) new
Augezdecki-15 001:00083 [D];file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=01580,01132,00077,00190&page=001;+ Augezdecki-15.djvu p 1 x 1580 y 1132 h 77 w 190;※ 0_Augezdecki-15_PT08_411.djvu 00085 (85) new
Augezdecki-15 001:00084 [D];file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=01687,01124,00081,00193&page=001;+ Augezdecki-15.djvu p 1 x 1687 y 1124 h 81 w 193;※ 0_Augezdecki-15_PT08_411.djvu 00086 (86) new
Augezdecki-15 001:00085 [b];file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=01787,01114,00081,00230&page=001;+ Augezdecki-15.djvu p 1 x 1787 y 1114 h 81 w 230;※ 0_Augezdecki-15_PT08_411.djvu 00087 (87) new
Augezdecki-15 001:00086 [b];file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=01870,01111,00114,00227&page=001;+ Augezdecki-15.djvu p 1 x 1870 y 1111 h 114 w 227;※ 0_Augezdecki-15_PT08_411.djvu 00088 (88) new
Augezdecki-15 001:00104 [|];file:../../DjVu/Augezdecki-15.djvu?djvuopts=&highlight=86,849,132,258&page=1;+^ Augezdecki-15.djvu p 1 x 120 y 889 h 34 w 174;※ 0_Augezdecki-15_PT08_411.djvu 00106 (106) new
