Augezdecki-02a 001:00004 [à];file:../../DjVu/Augezdecki-02a.djvu?djvuopts=&highlight=00178,00065,00030,00054&page=001;+ Augezdecki-02a.djvu p 1 x 178 y 65 h 30 w 54;※ 0_Augezdecki-02a_PT08_406.djvu 00006 (6) new
Augezdecki-03 001:00042 [E];file:../../DjVu/Augezdecki-03.djvu?djvuopts=&highlight=00289,00324,00029,00038&page=001;+ Augezdecki-03.djvu p 1 x 289 y 324 h 29 w 38;※ 0_Augezdecki-03_PT08_407.djvu 00044 (44) new
Augezdecki-14 001:00053 [lv];file:../../DjVu/Augezdecki-14.djvu?djvuopts=&highlight=00860,00688,00051,00092&page=001;+ Augezdecki-14.djvu p 1 x 860 y 688 h 51 w 92;※ 0_Augezdecki-14_PT08_410.djvu 00055 (55) new
Haller-02 001:00038 [V];file:../../DjVu/Haller-02.djvu?djvuopts=&highlight=00765,00317,00063,00102&page=001;+ Haller-02.djvu p 1 x 765 y 317 h 63 w 102;※ 0_Haller-02_PT04_165.djvu 00040 (40) new
Haller-02 001:00054 [B];file:../../DjVu/Haller-02.djvu?djvuopts=&highlight=01616,00317,00073,00113&page=001;+Haller-02.djvu p 1 x 1616 y 317 h 73 w 113;※ 0_Haller-02_PT04_165.djvu 00056 (56) new
Haller-04 001:00037 [b];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=00325,00299,00044,00073&page=001;+Haller-04.djvu p 1 x 325 y 299 h 44 w 73;※ 0_Haller-04_PT04_167.djvu 00039 (39) new
Haller-04 001:00042 ['];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=00591,00303,00042,00075&page=001;+ Haller-04.djvu p 1 x 591 y 303 h 42 w 75;※ 0_Haller-04_PT04_167.djvu 00044 (44) new
Haller-04 001:00062 [b];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=1510,291,64,97&page=1;+ Haller-04.djvu p 1 x 1527 y 331 h 72 w 43;※ 0_Haller-04_PT04_167.djvu 00064 (64) add
Haller-04 001:00064 [b];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=1577,291,56,97&page=1;+ Haller-04.djvu p 1 x 1581 y 301 h 49 w 79;※ 0_Haller-04_PT04_167.djvu 00066 (66) new
Haller-04 001:00135 [(b];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=1751,159,82,101&page=1;+ Haller-04.djvu p 1 x 1756 y 186 h 77 w 71;※ 0_Haller-04_PT04_167.djvu 00137 (137) add
Haller-05 001:00040 [D];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=184,211,42,63&page=1;+ Haller-05.djvu p 1 x 191 y 238 h 47 w 29;※ 0_Haller-05_PT04_168.djvu 00042 (42) add
Haller-05 001:00051 ["];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=00520,00221,00030,00048&page=001;+Haller-05.djvu p 1 x 520 y 221 h 30 w 48;※ 0_Haller-05_PT04_168.djvu 00053 (53) new
