"Haller-01 001:00000  [31]";file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=00053,00756,00165,00173&page=001;Haller-01.djvu p 1 x 53 y 756 h 165 w 173;※ 0_Haller-01_PT04_164.djvu 00002 (2) new
"Haller-01 001:00001  [aD]";file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=00231,00756,00188,00171&page=001;Haller-01.djvu p 1 x 231 y 756 h 188 w 171;※ 0_Haller-01_PT04_164.djvu 00003 (3) new
"Haller-01 001:00002  [5]";file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=00435,00757,00125,00178&page=001;Haller-01.djvu p 1 x 435 y 757 h 125 w 178;※ 0_Haller-01_PT04_164.djvu 00004 (4) new
"Haller-01 001:00003  [""]";file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=00435,00813,00039,00084&page=001;Haller-01.djvu p 1 x 435 y 813 h 39 w 84;※ 0_Haller-01_PT04_164.djvu 00005 (5) new
"Haller-01 001:00004  [223]";file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=00578,00757,00173,00167&page=001;Haller-01.djvu p 1 x 578 y 757 h 173 w 167;※ 0_Haller-01_PT04_164.djvu 00006 (6) new
"Haller-01 001:00005  [4]";file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=00766,00757,00139,00174&page=001;Haller-01.djvu p 1 x 766 y 757 h 139 w 174;※ 0_Haller-01_PT04_164.djvu 00007 (7) new
"Haller-01 001:00006  [kj]";file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=00920,00745,00136,00198&page=001;Haller-01.djvu p 1 x 920 y 745 h 136 w 198;※ 0_Haller-01_PT04_164.djvu 00008 (8) new
"Haller-01 001:00007  [15]";file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=01071,00759,00156,00178&page=001;Haller-01.djvu p 1 x 1071 y 759 h 156 w 178;※ 0_Haller-01_PT04_164.djvu 00009 (9) new
"Haller-01 001:00008  [|]";file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=01248,00761,00026,00156&page=001;Haller-01.djvu p 1 x 1248 y 761 h 26 w 156;※ 0_Haller-01_PT04_164.djvu 00010 (10) new
"Haller-01 001:00009  [2]";file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=01282,00760,00115,00160&page=001;Haller-01.djvu p 1 x 1282 y 760 h 115 w 160;※ 0_Haller-01_PT04_164.djvu 00011 (11) new
"Haller-01 001:00010  [3]";file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=01416,00745,00126,00197&page=001;Haller-01.djvu p 1 x 1416 y 745 h 126 w 197;※ 0_Haller-01_PT04_164.djvu 00012 (12) new
"Haller-01 001:00011  ['&]";file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=01559,00756,00156,00186&page=001;Haller-01.djvu p 1 x 1559 y 756 h 156 w 186;※ 0_Haller-01_PT04_164.djvu 00013 (13) new
"Haller-01 001:00012  [r1]]";file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=01737,00761,00137,00178&page=001;Haller-01.djvu p 1 x 1737 y 761 h 137 w 178;※ 0_Haller-01_PT04_164.djvu 00014 (14) new
"Haller-01 001:00013  [o]";file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=01891,00760,00222,00169&page=001;Haller-01.djvu p 1 x 1891 y 760 h 222 w 169;※ 0_Haller-01_PT04_164.djvu 00015 (15) new
"Haller-01 001:00014  []]";file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=02131,00759,00061,00148&page=001;Haller-01.djvu p 1 x 2131 y 759 h 61 w 148;※ 0_Haller-01_PT04_164.djvu 00016 (16) new
"Haller-01 001:00015  [H]";file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=02196,00761,00100,00171&page=001;Haller-01.djvu p 1 x 2196 y 761 h 100 w 171;※ 0_Haller-01_PT04_164.djvu 00017 (17) new
