Haller-05 001:00040 [D];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=187,215,38,55&page=1;+# Haller-05.djvu p 1 x 191 y 238 h 47 w 29;※ 0_Haller-05_PT04_168.djvu 00042 (42) add
Haller-05 001:00043 [|];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=252,212,36,67&page=1;+# Haller-05.djvu p 1 x 261 y 234 h 36 w 21;※ 0_Haller-05_PT04_168.djvu 00045 (45) add
Haller-05 001:00046 [C];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=286,218,35,52&page=1;+^ Haller-05.djvu p 1 x 292 y 220 h 25 w 35;※ 0_Haller-05_PT04_168.djvu 00048 (48) new
Haller-05 001:00047 [C];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=00330,00220,00029,00049&page=001;+ Haller-05.djvu p 1 x 330 y 220 h 29 w 49;※ 0_Haller-05_PT04_168.djvu 00049 (49) new
Haller-05 001:00068 [É];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=01102,00218,00031,00051&page=001;+ Haller-05.djvu p 1 x 1102 y 218 h 31 w 51;※ 0_Haller-05_PT04_168.djvu 00070 (70) new
Haller-05 001:00080 [l];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=01322,00220,00022,00047&page=001;+ Haller-05.djvu p 1 x 1322 y 220 h 22 w 47;※ 0_Haller-05_PT04_168.djvu 00082 (82) new
Haller-05 001:00101 [D];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=00265,00111,00032,00052&page=001;+ Haller-05.djvu p 1 x 265 y 111 h 32 w 52;※ 0_Haller-05_PT04_168.djvu 00103 (103) new
Haller-05 001:00102 [P];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=00307,00109,00044,00051&page=001;+ Haller-05.djvu p 1 x 307 y 109 h 44 w 51;※ 0_Haller-05_PT04_168.djvu 00104 (104) new
Haller-05 001:00103 [5s];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=00364,00109,00062,00051&page=001;+ Haller-05.djvu p 1 x 364 y 109 h 62 w 51;※ 0_Haller-05_PT04_168.djvu 00105 (105) new
Haller-05 001:00111 [CP];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=00611,00115,00050,00044&page=001;+ Haller-05.djvu p 1 x 611 y 115 h 50 w 44;※ 0_Haller-05_PT04_168.djvu 00113 (113) new
Haller-05 001:00112 [C];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=671,108,59,74&page=1;+^ Haller-05.djvu p 1 x 675 y 111 h 46 w 48;※ 0_Haller-05_PT04_168.djvu 00114 (114) new
Haller-05 001:00114 [q5];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=00732,00113,00053,00050&page=001;+ Haller-05.djvu p 1 x 732 y 113 h 53 w 50;※ 0_Haller-05_PT04_168.djvu 00116 (116) new
Haller-05 001:00115 [q5];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=796,102,53,80&page=1;+^ Haller-05.djvu p 1 x 797 y 108 h 48 w 51;※ 0_Haller-05_PT04_168.djvu 00117 (117) add
Haller-05 001:00125 [(b];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=01048,00124,00046,00053&page=001;+ Haller-05.djvu p 1 x 1048 y 124 h 46 w 53;※ 0_Haller-05_PT04_168.djvu 00127 (127) new
Haller-05 001:00130 [fs];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=01230,00116,00031,00056&page=001;+ Haller-05.djvu p 1 x 1230 y 116 h 31 w 56;※ 0_Haller-05_PT04_168.djvu 00132 (132) new
Haller-05 001:00131 [P];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=01272,00126,00025,00049&page=001;+ Haller-05.djvu p 1 x 1272 y 126 h 25 w 49;※ 0_Haller-05_PT04_168.djvu 00133 (133) new
Haller-05 001:00141 [Ns];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=01517,00126,00032,00051&page=001;+ Haller-05.djvu p 1 x 1517 y 126 h 32 w 51;※ 0_Haller-05_PT04_168.djvu 00143 (143) new
Haller-05 001:00145 [-];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=01652,00114,00030,00048&page=001;+ Haller-05.djvu p 1 x 1652 y 114 h 30 w 48;※ 0_Haller-05_PT04_168.djvu 00147 (147) new
Haller-05 001:00147 [?];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=36,12,46,77&page=1;+^ Haller-05.djvu p 1 x 47 y 16 h 33 w 55;※ 0_Haller-05_PT04_168.djvu 00149 (149) new
Haller-05 001:00149 [?];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=00093,00050,00026,00035&page=001;+ Haller-05.djvu p 1 x 93 y 50 h 26 w 35;※ 0_Haller-05_PT04_168.djvu 00151 (151) new
Haller-05 001:00150 [?];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=00129,00039,00018,00046&page=001;+ Haller-05.djvu p 1 x 129 y 39 h 18 w 46;※ 0_Haller-05_PT04_168.djvu 00152 (152) new
Haller-05 001:00151 [2];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=00160,00031,00030,00052&page=001;+ Haller-05.djvu p 1 x 160 y 31 h 30 w 52;※ 0_Haller-05_PT04_168.djvu 00153 (153) new
Haller-05 001:00152 [9];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=204,35,27,61&page=1;+ Haller-05.djvu p 1 x 203 y 69 h 24 w 27;※ 0_Haller-05_PT04_168.djvu 00154 (154) new
