Haller-07 001:00000  [7];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00141,00521,00048,00054&page=001;Haller-07.djvu p 1 x 141 y 521 h 48 w 54;※ 0_Haller-07_PT04_170.djvu 00002 (2) new
Haller-07 001:00001  [n];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00201,00522,00060,00056&page=001;Haller-07.djvu p 1 x 201 y 522 h 60 w 56;※ 0_Haller-07_PT04_170.djvu 00003 (3) new
Haller-07 001:00002  [,ü];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00272,00525,00046,00053&page=001;Haller-07.djvu p 1 x 272 y 525 h 46 w 53;※ 0_Haller-07_PT04_170.djvu 00004 (4) new
Haller-07 001:00003  [b];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00330,00524,00058,00054&page=001;Haller-07.djvu p 1 x 330 y 524 h 58 w 54;※ 0_Haller-07_PT04_170.djvu 00005 (5) new
Haller-07 001:00004  [-];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00397,00525,00051,00056&page=001;Haller-07.djvu p 1 x 397 y 525 h 51 w 56;※ 0_Haller-07_PT04_170.djvu 00006 (6) new
Haller-07 001:00005  [«];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00460,00518,00048,00074&page=001;Haller-07.djvu p 1 x 460 y 518 h 48 w 74;※ 0_Haller-07_PT04_170.djvu 00007 (7) new
Haller-07 001:00006  [(f5];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00518,00526,00052,00055&page=001;Haller-07.djvu p 1 x 518 y 526 h 52 w 55;※ 0_Haller-07_PT04_170.djvu 00008 (8) new
Haller-07 001:00007  [!»];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00583,00528,00048,00052&page=001;Haller-07.djvu p 1 x 583 y 528 h 48 w 52;※ 0_Haller-07_PT04_170.djvu 00009 (9) new
Haller-07 001:00008  [1];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00647,00520,00043,00070&page=001;Haller-07.djvu p 1 x 647 y 520 h 43 w 70;※ 0_Haller-07_PT04_170.djvu 00010 (10) new
Haller-07 001:00009  [th];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00704,00527,00054,00062&page=001;Haller-07.djvu p 1 x 704 y 527 h 54 w 62;※ 0_Haller-07_PT04_170.djvu 00011 (11) new
Haller-07 001:00010  [1j];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00773,00526,00053,00062&page=001;Haller-07.djvu p 1 x 773 y 526 h 53 w 62;※ 0_Haller-07_PT04_170.djvu 00012 (12) new
Haller-07 001:00011  [A»];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00836,00527,00079,00057&page=001;Haller-07.djvu p 1 x 836 y 527 h 79 w 57;※ 0_Haller-07_PT04_170.djvu 00013 (13) new
Haller-07 001:00012  [71H];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00927,00530,00056,00054&page=001;Haller-07.djvu p 1 x 927 y 530 h 56 w 54;※ 0_Haller-07_PT04_170.djvu 00014 (14) new
Haller-07 001:00013  [e];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00993,00526,00066,00059&page=001;Haller-07.djvu p 1 x 993 y 526 h 66 w 59;※ 0_Haller-07_PT04_170.djvu 00015 (15) new
Haller-07 001:00014  [?*];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=01066,00526,00050,00067&page=001;Haller-07.djvu p 1 x 1066 y 526 h 50 w 67;※ 0_Haller-07_PT04_170.djvu 00016 (16) new
Haller-07 001:00015  [**];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=01118,00528,00062,00072&page=001;Haller-07.djvu p 1 x 1118 y 528 h 62 w 72;※ 0_Haller-07_PT04_170.djvu 00017 (17) new
Haller-07 001:00016  [,];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=01118,00586,00002,00004&page=001;Haller-07.djvu p 1 x 1118 y 586 h 2 w 4;※ 0_Haller-07_PT04_170.djvu 00018 (18) new
Haller-07 001:00017  [,];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=01119,00554,00003,00002&page=001;Haller-07.djvu p 1 x 1119 y 554 h 3 w 2;※ 0_Haller-07_PT04_170.djvu 00019 (19) add
Haller-07 001:00018  [t^];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=01188,00528,00069,00056&page=001;Haller-07.djvu p 1 x 1188 y 528 h 69 w 56;※ 0_Haller-07_PT04_170.djvu 00020 (20) new
Haller-07 001:00019  [te];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=01270,00523,00079,00062&page=001;Haller-07.djvu p 1 x 1270 y 523 h 79 w 62;※ 0_Haller-07_PT04_170.djvu 00021 (21) new
Haller-07 001:00020  [e];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=01360,00523,00085,00069&page=001;Haller-07.djvu p 1 x 1360 y 523 h 85 w 69;※ 0_Haller-07_PT04_170.djvu 00022 (22) new
Haller-07 001:00021  [YA];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=01459,00532,00050,00055&page=001;Haller-07.djvu p 1 x 1459 y 532 h 50 w 55;※ 0_Haller-07_PT04_170.djvu 00023 (23) new
