Haller-09 001:00000  [71];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00055,00351,00051,00051&page=001;Haller-09.djvu p 1 x 55 y 351 h 51 w 51;※ 0_Haller-09_PT04_172.djvu 00002 (2) new
Haller-09 001:00001  [H5];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00123,00354,00050,00051&page=001;Haller-09.djvu p 1 x 123 y 354 h 50 w 51;※ 0_Haller-09_PT04_172.djvu 00003 (3) new
Haller-09 001:00002  [N];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00187,00354,00030,00046&page=001;Haller-09.djvu p 1 x 187 y 354 h 30 w 46;※ 0_Haller-09_PT04_172.djvu 00004 (4) new
Haller-09 001:00003  [fy];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00229,00351,00044,00047&page=001;Haller-09.djvu p 1 x 229 y 351 h 44 w 47;※ 0_Haller-09_PT04_172.djvu 00005 (5) new
Haller-09 001:00004  [E];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00286,00350,00034,00050&page=001;Haller-09.djvu p 1 x 286 y 350 h 34 w 50;※ 0_Haller-09_PT04_172.djvu 00006 (6) new
Haller-09 001:00005  [3];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00335,00342,00025,00036&page=001;Haller-09.djvu p 1 x 335 y 342 h 25 w 36;※ 0_Haller-09_PT04_172.djvu 00007 (7) new
Haller-09 001:00006  [A];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00336,00380,00031,00025&page=001;Haller-09.djvu p 1 x 336 y 380 h 31 w 25;※ 0_Haller-09_PT04_172.djvu 00008 (8) new
Haller-09 001:00007  [ARP"];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00356,00382,00013,00007&page=001;Haller-09.djvu p 1 x 356 y 382 h 13 w 7;※ 0_Haller-09_PT04_172.djvu 00009 (9) new
Haller-09 001:00008  [N];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00384,00350,00042,00048&page=001;Haller-09.djvu p 1 x 384 y 350 h 42 w 48;※ 0_Haller-09_PT04_172.djvu 00010 (10) new
Haller-09 001:00009  [3];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00405,00357,00022,00027&page=001;Haller-09.djvu p 1 x 405 y 357 h 22 w 27;※ 0_Haller-09_PT04_172.djvu 00011 (11) new
Haller-09 001:00010  [];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00441,00388,00009,00010&page=001;Haller-09.djvu p 1 x 441 y 388 h 9 w 10;※ 0_Haller-09_PT04_172.djvu 00012 (12) new
Haller-09 001:00011  [M];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00454,00350,00039,00050&page=001;Haller-09.djvu p 1 x 454 y 350 h 39 w 50;※ 0_Haller-09_PT04_172.djvu 00013 (13) new
Haller-09 001:00012  [4];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00504,00342,00029,00060&page=001;Haller-09.djvu p 1 x 504 y 342 h 29 w 60;※ 0_Haller-09_PT04_172.djvu 00014 (14) new
Haller-09 001:00013  [];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00549,00388,00007,00009&page=001;Haller-09.djvu p 1 x 549 y 388 h 7 w 9;※ 0_Haller-09_PT04_172.djvu 00015 (15) new
