Haller-09 001:00042 [D];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00208,00255,00029,00046&page=001;bstrok+Haller-09.djvu p 1 x 208 y 255 h 29 w 46;※ 0_Haller-09_PT04_172.djvu 00044 (44) new
Haller-09 001:00049 [Ü];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00425,00253,00031,00050&page=001;drotacute+Haller-09.djvu p 1 x 425 y 253 h 31 w 50;※ 0_Haller-09_PT04_172.djvu 00051 (51) new
Haller-09 001:00062 [»];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00804,00249,00030,00050&page=001;hus+Haller-09.djvu p 1 x 804 y 249 h 30 w 50;※ 0_Haller-09_PT04_172.djvu 00064 (64) new
Haller-09 001:00077 [|];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=01061,00250,00019,00048&page=001;lhighstrok+Haller-09.djvu p 1 x 1061 y 250 h 19 w 48;※ 0_Haller-09_PT04_172.djvu 00079 (79) new
Haller-09 001:00096 [Pt.];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=35,137,51,76&page=1;pflour^+^Haller-09.djvu p 1 x 44 y 148 h 41 w 46;※ 0_Haller-09_PT04_172.djvu 00098 (98) new
Haller-09 001:00103 [- m ud];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=210,136,38,66&page=1;pbardes+#Haller-09.djvu p 1 x 215 y 164 h 47 w 29;※ 0_Haller-09_PT04_172.djvu 00105 (105) add
Haller-09 001:00104 [I2];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00250,00147,00042,00047&page=001;pflour+Haller-09.djvu p 1 x 250 y 147 h 42 w 47;※ 0_Haller-09_PT04_172.djvu 00106 (106) new
Haller-09 001:00115 [(p];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00508,00145,00045,00049&page=001;qslstrok+Haller-09.djvu p 1 x 508 y 145 h 45 w 49;※ 0_Haller-09_PT04_172.djvu 00117 (117) new
Haller-09 001:00116 [(Qn];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00565,00149,00047,00046&page=001;q3app+Haller-09.djvu p 1 x 565 y 149 h 47 w 46;※ 0_Haller-09_PT04_172.djvu 00118 (118) new
Haller-09 001:00117 [(Qn];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=618,142,53,71&page=1;q3app:+^Haller-09.djvu p 1 x 620 y 146 h 46 w 48;※ 0_Haller-09_PT04_172.djvu 00119 (119) add
Haller-09 001:00131 [fb];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00868,00155,00043,00051&page=001;slong!+Haller-09.djvu p 1 x 868 y 155 h 43 w 51;※ 0_Haller-09_PT04_172.djvu 00133 (133) new
Haller-09 001:00135 [P];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=01005,00157,00025,00048&page=001;slongflour+Haller-09.djvu p 1 x 1005 y 157 h 25 w 48;※ 0_Haller-09_PT04_172.djvu 00137 (137) new
Haller-09 001:00148 [(];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=01279,00157,00031,00045&page=001;vacute+Haller-09.djvu p 1 x 1279 y 157 h 31 w 45;※ 0_Haller-09_PT04_172.djvu 00150 (150) new
Haller-09 001:00152 [2];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=01423,00145,00029,00048&page=001;conbase+Haller-09.djvu p 1 x 1423 y 145 h 29 w 48;※ 0_Haller-09_PT04_172.djvu 00154 (154) new
Haller-09 001:00155 [r4];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00054,00065,00026,00034&page=001;et+Haller-09.djvu p 1 x 54 y 65 h 26 w 34;※ 0_Haller-09_PT04_172.djvu 00157 (157) new
Haller-09 001:00156 [(];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00092,00049,00012,00049&page=001;is+Haller-09.djvu p 1 x 92 y 49 h 12 w 49;※ 0_Haller-09_PT04_172.djvu 00158 (158) new
Haller-09 001:00157 [g];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00116,00050,00031,00049&page=001;rum+Haller-09.djvu p 1 x 116 y 50 h 31 w 49;※ 0_Haller-09_PT04_172.djvu 00159 (159) new
Haller-09 001:00158 [9];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=160,51,27,58&page=1;usmod+#Haller-09.djvu p 1 x 161 y 81 h 22 w 30;※ 0_Haller-09_PT04_172.djvu 00160 (160) new
