Hochfeder-08 001:00000  [jt];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=00049,00721,00110,00116&page=001;Hochfeder-08.djvu p 1 x 49 y 721 h 110 w 116;※ 0_Hochfeder-08_PT01_020.djvu 00002 (2) new
Hochfeder-08 001:00001  [355];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=00177,00720,00139,00120&page=001;Hochfeder-08.djvu p 1 x 177 y 720 h 139 w 120;※ 0_Hochfeder-08_PT01_020.djvu 00003 (3) new
Hochfeder-08 001:00002  [C];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=00330,00719,00082,00108&page=001;Hochfeder-08.djvu p 1 x 330 y 719 h 82 w 108;※ 0_Hochfeder-08_PT01_020.djvu 00004 (4) new
Hochfeder-08 001:00003  [ru];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=00424,00718,00116,00118&page=001;Hochfeder-08.djvu p 1 x 424 y 718 h 116 w 118;※ 0_Hochfeder-08_PT01_020.djvu 00005 (5) new
Hochfeder-08 001:00004  [9];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=00557,00715,00134,00122&page=001;Hochfeder-08.djvu p 1 x 557 y 715 h 134 w 122;※ 0_Hochfeder-08_PT01_020.djvu 00006 (6) new
Hochfeder-08 001:00005  [E];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=00702,00712,00091,00100&page=001;Hochfeder-08.djvu p 1 x 702 y 712 h 91 w 100;※ 0_Hochfeder-08_PT01_020.djvu 00007 (7) new
Hochfeder-08 001:00006  [];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=00761,00749,00007,00005&page=001;Hochfeder-08.djvu p 1 x 761 y 749 h 7 w 5;※ 0_Hochfeder-08_PT01_020.djvu 00008 (8) new
Hochfeder-08 001:00007  [z];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=00817,00692,00100,00130&page=001;Hochfeder-08.djvu p 1 x 817 y 692 h 100 w 130;※ 0_Hochfeder-08_PT01_020.djvu 00009 (9) new
Hochfeder-08 001:00008  [Jf];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=00923,00711,00141,00129&page=001;Hochfeder-08.djvu p 1 x 923 y 711 h 141 w 129;※ 0_Hochfeder-08_PT01_020.djvu 00010 (10) new
Hochfeder-08 001:00009  [ID];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=01080,00708,00126,00115&page=001;Hochfeder-08.djvu p 1 x 1080 y 708 h 126 w 115;※ 0_Hochfeder-08_PT01_020.djvu 00011 (11) new
Hochfeder-08 001:00010  [E];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=01214,00681,00091,00136&page=001;Hochfeder-08.djvu p 1 x 1214 y 681 h 91 w 136;※ 0_Hochfeder-08_PT01_020.djvu 00012 (12) new
Hochfeder-08 001:00011  [J];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=01326,00703,00094,00122&page=001;Hochfeder-08.djvu p 1 x 1326 y 703 h 94 w 122;※ 0_Hochfeder-08_PT01_020.djvu 00013 (13) new
Hochfeder-08 001:00012  [Ij];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=01435,00702,00069,00112&page=001;Hochfeder-08.djvu p 1 x 1435 y 702 h 69 w 112;※ 0_Hochfeder-08_PT01_020.djvu 00014 (14) new
