Hochfeder-04 001:00000  [f:];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00025,00434,00049,00061&page=001;Hochfeder-04.djvu p 1 x 25 y 434 h 49 w 61;※ 0_Hochfeder-04_PT01_022.djvu 00002 (2) new
Hochfeder-04 001:00001  [A"];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00103,00438,00054,00064&page=001;Hochfeder-04.djvu p 1 x 103 y 438 h 54 w 64;※ 0_Hochfeder-04_PT01_022.djvu 00003 (3) new
Hochfeder-04 001:00002  [K.];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00175,00441,00058,00060&page=001;Hochfeder-04.djvu p 1 x 175 y 441 h 58 w 60;※ 0_Hochfeder-04_PT01_022.djvu 00004 (4) new
Hochfeder-04 001:00003  [£];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00256,00441,00054,00062&page=001;Hochfeder-04.djvu p 1 x 256 y 441 h 54 w 62;※ 0_Hochfeder-04_PT01_022.djvu 00005 (5) new
Hochfeder-04 001:00004  [Ff];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00330,00442,00054,00064&page=001;Hochfeder-04.djvu p 1 x 330 y 442 h 54 w 64;※ 0_Hochfeder-04_PT01_022.djvu 00006 (6) new
Hochfeder-04 001:00005  [e];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00395,00442,00070,00057&page=001;Hochfeder-04.djvu p 1 x 395 y 442 h 70 w 57;※ 0_Hochfeder-04_PT01_022.djvu 00007 (7) new
Hochfeder-04 001:00006  [o d];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00434,00490,00033,00019&page=001;Hochfeder-04.djvu p 1 x 434 y 490 h 33 w 19;※ 0_Hochfeder-04_PT01_022.djvu 00008 (8) new
Hochfeder-04 001:00007  [L.];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00487,00443,00046,00064&page=001;Hochfeder-04.djvu p 1 x 487 y 443 h 46 w 64;※ 0_Hochfeder-04_PT01_022.djvu 00009 (9) new
Hochfeder-04 001:00008  [ZlTS];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00545,00444,00113,00066&page=001;Hochfeder-04.djvu p 1 x 545 y 444 h 113 w 66;※ 0_Hochfeder-04_PT01_022.djvu 00010 (10) new
Hochfeder-04 001:00009  [TR];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00671,00446,00076,00067&page=001;Hochfeder-04.djvu p 1 x 671 y 446 h 76 w 67;※ 0_Hochfeder-04_PT01_022.djvu 00011 (11) new
Hochfeder-04 001:00010  [?];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00769,00437,00070,00078&page=001;Hochfeder-04.djvu p 1 x 769 y 437 h 70 w 78;※ 0_Hochfeder-04_PT01_022.djvu 00012 (12) new
Hochfeder-04 001:00011  ["(R.];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00857,00449,00087,00078&page=001;Hochfeder-04.djvu p 1 x 857 y 449 h 87 w 78;※ 0_Hochfeder-04_PT01_022.djvu 00013 (13) new
Hochfeder-04 001:00012  [e];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00963,00451,00065,00060&page=001;Hochfeder-04.djvu p 1 x 963 y 451 h 65 w 60;※ 0_Hochfeder-04_PT01_022.djvu 00014 (14) new
Hochfeder-04 001:00013  [2];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=01042,00454,00067,00067&page=001;Hochfeder-04.djvu p 1 x 1042 y 454 h 67 w 67;※ 0_Hochfeder-04_PT01_022.djvu 00015 (15) new
Hochfeder-04 001:00014  [[i i];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=01125,00453,00073,00062&page=001;Hochfeder-04.djvu p 1 x 1125 y 453 h 73 w 62;※ 0_Hochfeder-04_PT01_022.djvu 00016 (16) new
Hochfeder-04 001:00015  [];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00016,00325,00028,00040&page=001;Hochfeder-04.djvu p 1 x 16 y 325 h 28 w 40;※ 0_Hochfeder-04_PT01_022.djvu 00017 (17) new
Hochfeder-04 001:00016  [à];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00065,00325,00031,00056&page=001;Hochfeder-04.djvu p 1 x 65 y 325 h 31 w 56;※ 0_Hochfeder-04_PT01_022.djvu 00018 (18) new
Hochfeder-04 001:00017  [D];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00115,00325,00036,00049&page=001;Hochfeder-04.djvu p 1 x 115 y 325 h 36 w 49;※ 0_Hochfeder-04_PT01_022.djvu 00019 (19) new
Hochfeder-04 001:00018  [C];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00166,00325,00027,00041&page=001;Hochfeder-04.djvu p 1 x 166 y 325 h 27 w 41;※ 0_Hochfeder-04_PT01_022.djvu 00020 (20) new
Hochfeder-04 001:00019  [C];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00214,00337,00048,00036&page=001;Hochfeder-04.djvu p 1 x 214 y 337 h 48 w 36;※ 0_Hochfeder-04_PT01_022.djvu 00021 (21) add
Hochfeder-04 001:00020 [N];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00268,00327,00047,00045&page=001;+Hochfeder-04.djvu p 1 x 268 y 327 h 47 w 45;※ 0_Hochfeder-04_PT01_022.djvu 00022 (22) new
Hochfeder-04 001:00021 [D];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00331,00327,00036,00061&page=001;+Hochfeder-04.djvu p 1 x 331 y 327 h 36 w 61;※ 0_Hochfeder-04_PT01_022.djvu 00023 (23) new
