001:00000 0_Ungler1-1_PT03_112.djvu [/X];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=00038,00534,00050,00051&page=001;Ungler1-01_PT03_112 p 1 x 38 y 534 h 50 w 51;※ 00002 (2) new : [/X]
001:00001 0_Ungler1-1_PT03_112.djvu [x5];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=00128,00534,00058,00051&page=001;Ungler1-01_PT03_112 p 1 x 128 y 534 h 58 w 51;※ 00003 (3) new : [x5]
001:00002 0_Ungler1-1_PT03_112.djvu [[u];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=00220,00532,00040,00051&page=001;Ungler1-01_PT03_112 p 1 x 220 y 532 h 40 w 51;※ 00004 (4) new : [[u]
001:00003 0_Ungler1-1_PT03_112.djvu [ra»,];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=00296,00535,00057,00043&page=001;Ungler1-01_PT03_112 p 1 x 296 y 535 h 57 w 43;※ 00005 (5) new : [ra»,]
001:00004 0_Ungler1-1_PT03_112.djvu [e];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=00388,00533,00032,00047&page=001;Ungler1-01_PT03_112 p 1 x 388 y 533 h 32 w 47;※ 00006 (6) new : [e]
001:00005 0_Ungler1-1_PT03_112.djvu [y];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=00457,00515,00026,00060&page=001;Ungler1-01_PT03_112 p 1 x 457 y 515 h 26 w 60;※ 00007 (7) new : [y]
001:00006 0_Ungler1-1_PT03_112.djvu [!];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=00515,00535,00011,00046&page=001;Ungler1-01_PT03_112 p 1 x 515 y 535 h 11 w 46;※ 00008 (8) new : [!]
001:00007 0_Ungler1-1_PT03_112.djvu [d];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=00527,00534,00045,00047&page=001;Ungler1-01_PT03_112 p 1 x 527 y 534 h 45 w 47;※ 00009 (9) new : [d]
001:00008 0_Ungler1-1_PT03_112.djvu ["án];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=00544,00558,00004,00003&page=001;Ungler1-01_PT03_112 p 1 x 544 y 558 h 4 w 3;※ 00010 (10) new : ["án]
001:00009 0_Ungler1-1_PT03_112.djvu [K];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=00604,00516,00038,00061&page=001;Ungler1-01_PT03_112 p 1 x 604 y 516 h 38 w 61;※ 00011 (11) new : [K]
001:00010 0_Ungler1-1_PT03_112.djvu [f.];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=00675,00533,00041,00044&page=001;Ungler1-01_PT03_112 p 1 x 675 y 533 h 41 w 44;※ 00012 (12) new : [f.]
001:00011 0_Ungler1-1_PT03_112.djvu [y];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=00757,00531,00043,00049&page=001;Ungler1-01_PT03_112 p 1 x 757 y 531 h 43 w 49;※ 00013 (13) new : [y]
001:00012 0_Ungler1-1_PT03_112.djvu [üb5];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=00837,00529,00069,00048&page=001;Ungler1-01_PT03_112 p 1 x 837 y 529 h 69 w 48;※ 00014 (14) new : [üb5]
001:00013 0_Ungler1-1_PT03_112.djvu [16)];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=00938,00531,00055,00046&page=001;Ungler1-01_PT03_112 p 1 x 938 y 531 h 55 w 46;※ 00015 (15) new : [16)]
001:00014 0_Ungler1-1_PT03_112.djvu [9];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=01026,00528,00043,00053&page=001;Ungler1-01_PT03_112 p 1 x 1026 y 528 h 43 w 53;※ 00016 (16) new : [9]
001:00015 0_Ungler1-1_PT03_112.djvu [115];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=01106,00529,00067,00053&page=001;Ungler1-01_PT03_112 p 1 x 1106 y 529 h 67 w 53;※ 00017 (17) new : [115]
001:00016 0_Ungler1-1_PT03_112.djvu [e£];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=01212,00528,00062,00051&page=001;Ungler1-01_PT03_112 p 1 x 1212 y 528 h 62 w 51;※ 00018 (18) new : [e£]
001:00017 0_Ungler1-1_PT03_112.djvu [u(4];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=01310,00529,00060,00051&page=001;Ungler1-01_PT03_112 p 1 x 1310 y 529 h 60 w 51;※ 00019 (19) new : [u(4]
001:00018 0_Ungler1-1_PT03_112.djvu [t3];file:../DjVu/Ungler1-01_PT03_112.djvu?djvuopts=&highlight=01402,00528,00054,00053&page=001;Ungler1-01_PT03_112 p 1 x 1402 y 528 h 54 w 53;※ 00020 (20) new : [t3]
