lhighstroke1 001:00067 0_Ungler1-02_PT03_113.djvu [r];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=00760,00180,00021,00043&page=001;Ungler1-02_PT03_113 p 1 x 760 y 180 h 21 w 43;※ 00069 (69) new : [r]
pflour 001:00085 0_Ungler1-02_PT03_113.djvu [I];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=01157,00174,00038,00039&page=001;Ungler1-02_PT03_113 p 1 x 1157 y 174 h 38 w 39;※ 00087 (87) new : [I]
pbardes 001:00086 0_Ungler1-02_PT03_113.djvu [p];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=01203,00172,00029,00042&page=001;Ungler1-02_PT03_113 p 1 x 1203 y 172 h 29 w 42;※ 00088 (88) new : [p]
ppflourlig 001:00089 0_Ungler1-02_PT03_113.djvu [IP];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=01280,00172,00049,00045&page=001;Ungler1-02_PT03_113 p 1 x 1280 y 172 h 49 w 45;※ 00091 (91) new : [IP]
ppflourlig+ 001:00090 0_Ungler1-02_PT03_113.djvu [IP];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=01335,00168,00045,00049&page=001;Ungler1-02_PT03_113 p 1 x 1335 y 168 h 45 w 49;※ 00092 (92) add : [IP]
q3app 001:00104 0_Ungler1-02_PT03_113.djvu [q];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=01602,00173,00043,00045&page=001;Ungler1-02_PT03_113 p 1 x 1602 y 173 h 43 w 45;※ 00106 (106) new : [q]
qslstrok 001:00107 0_Ungler1-02_PT03_113.djvu [Q];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=01699,00174,00043,00044&page=001;Ungler1-02_PT03_113 p 1 x 1699 y 174 h 43 w 44;※ 00109 (109) new : [Q]
qslstrok 001:00115 0_Ungler1-02_PT03_113.djvu [É];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=00372,00104,00026,00046&page=001;Ungler1-02_PT03_113 p 1 x 372 y 104 h 26 w 46;※ 00117 (117) new : [É]
q3app 001:00116 0_Ungler1-02_PT03_113.djvu [&];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=00405,00100,00031,00052&page=001;Ungler1-02_PT03_113 p 1 x 405 y 100 h 31 w 52;※ 00118 (118) new : [&]
SLONGB! 001:00117 0_Ungler1-02_PT03_113.djvu [(b];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=00439,00102,00047,00046&page=001;Ungler1-02_PT03_113 p 1 x 439 y 102 h 47 w 46;※ 00119 (119) new : [(b]
SLONGB!! 001:00118 0_Ungler1-02_PT03_113.djvu [(b];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=00492,00103,00041,00047&page=001;Ungler1-02_PT03_113 p 1 x 492 y 103 h 41 w 47;※ 00120 (120) new : [(b]
v+ 001:00131 0_Ungler1-02_PT03_113.djvu [Ó];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=00845,00106,00032,00040&page=001;Ungler1-02_PT03_113 p 1 x 845 y 106 h 32 w 40;※ 00133 (133) new : [Ó]
conbase 001:00136 0_Ungler1-02_PT03_113.djvu [^];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=01026,00098,00034,00043&page=001;Ungler1-02_PT03_113 p 1 x 1026 y 98 h 34 w 43;※ 00138 (138) new : [^]
is 001:00138 0_Ungler1-02_PT03_113.djvu [Á];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=01097,00094,00016,00045&page=001;Ungler1-02_PT03_113 p 1 x 1097 y 94 h 16 w 45;※ 00140 (140) new : [Á]
rum 001:00139 0_Ungler1-02_PT03_113.djvu [Jo.];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=01121,00098,00039,00042&page=001;Ungler1-02_PT03_113 p 1 x 1121 y 98 h 39 w 42;※ 00141 (141) new : [Jo.]
b! ~001:00040 0_Ungler1-02_PT03_113.djvu [i];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=151,169,37,66&page=1;;
de ~001:00040 0_Ungler1-02_PT03_113.djvu [i];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=292,166,39,62&page=1;;
q3app+ !~q3app 001:00116 0_Ungler1-02_PT03_113.djvu [&];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=1650,159,51,78&page=1;;
et ~;file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=1060,90,36,58&page=1;;
usmod !~001:00140 0_Ungler1-02_PT03_113.djvu [9];file:../DjVu/Ungler1-02_PT03_113.djvu?djvuopts=&highlight=1163,103,26,53&page=1;;
