"Ungler1-03 001:00000  [7-1]";file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00043,00447,00045,00043&page=001;Ungler1-03.djvu p 1 x 43 y 447 h 45 w 43;※ 0_Ungler1-03_PT03_114.djvu 00002 (2) new
"Ungler1-03 001:00001  [e]";file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00122,00482,00007,00008&page=001;Ungler1-03.djvu p 1 x 122 y 482 h 7 w 8;※ 0_Ungler1-03_PT03_114.djvu 00003 (3) new
"Ungler1-03 001:00002  [£5]";file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00126,00450,00059,00051&page=001;Ungler1-03.djvu p 1 x 126 y 450 h 59 w 51;※ 0_Ungler1-03_PT03_114.djvu 00004 (4) new
"Ungler1-03 001:00003  [f.]";file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00216,00451,00035,00047&page=001;Ungler1-03.djvu p 1 x 216 y 451 h 35 w 47;※ 0_Ungler1-03_PT03_114.djvu 00005 (5) new
"Ungler1-03 001:00004  [C]";file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00282,00451,00038,00048&page=001;Ungler1-03.djvu p 1 x 282 y 451 h 38 w 48;※ 0_Ungler1-03_PT03_114.djvu 00006 (6) new
"Ungler1-03 001:00005  [LO]";file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00345,00454,00057,00042&page=001;Ungler1-03.djvu p 1 x 345 y 454 h 57 w 42;※ 0_Ungler1-03_PT03_114.djvu 00007 (7) new
"Ungler1-03 001:00006  [be]";file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00435,00462,00031,00024&page=001;Ungler1-03.djvu p 1 x 435 y 462 h 31 w 24;※ 0_Ungler1-03_PT03_114.djvu 00008 (8) new
"Ungler1-03 001:00007  []";file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00436,00454,00031,00010&page=001;Ungler1-03.djvu p 1 x 436 y 454 h 31 w 10;※ 0_Ungler1-03_PT03_114.djvu 00009 (9) new
"Ungler1-03 001:00008  [""]";file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00444,00487,00022,00011&page=001;Ungler1-03.djvu p 1 x 444 y 487 h 22 w 11;※ 0_Ungler1-03_PT03_114.djvu 00010 (10) new
"Ungler1-03 001:00009  [f]";file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00499,00440,00028,00060&page=001;Ungler1-03.djvu p 1 x 499 y 440 h 28 w 60;※ 0_Ungler1-03_PT03_114.djvu 00011 (11) new
"Ungler1-03 001:00010  [if]";file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00560,00452,00045,00048&page=001;Ungler1-03.djvu p 1 x 560 y 452 h 45 w 48;※ 0_Ungler1-03_PT03_114.djvu 00012 (12) new
"Ungler1-03 001:00011  [MW»]";file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00634,00453,00059,00040&page=001;Ungler1-03.djvu p 1 x 634 y 453 h 59 w 40;※ 0_Ungler1-03_PT03_114.djvu 00013 (13) new
"Ungler1-03 001:00012  []]";file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00721,00444,00033,00056&page=001;Ungler1-03.djvu p 1 x 721 y 444 h 33 w 56;※ 0_Ungler1-03_PT03_114.djvu 00014 (14) new
