"Ungler2-12 001:00000  [A^]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=00017,00139,00093,00117&page=001;Ungler2-12.djvu p 1 x 17 y 139 h 93 w 117;※ 0_Ungler2-12_PT05_243.djvu 00002 (2) new
"Ungler2-12 001:00001  []";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=00088,00137,00035,00013&page=001;Ungler2-12.djvu p 1 x 88 y 137 h 35 w 13;※ 0_Ungler2-12_PT05_243.djvu 00003 (3) new
"Ungler2-12 001:00002  [A]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=00147,00140,00104,00121&page=001;Ungler2-12.djvu p 1 x 147 y 140 h 104 w 121;※ 0_Ungler2-12_PT05_243.djvu 00004 (4) new
"Ungler2-12 001:00003  [B]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=00271,00137,00103,00122&page=001;Ungler2-12.djvu p 1 x 271 y 137 h 103 w 122;※ 0_Ungler2-12_PT05_243.djvu 00005 (5) new
"Ungler2-12 001:00004  [o]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=00394,00135,00108,00117&page=001;Ungler2-12.djvu p 1 x 394 y 135 h 108 w 117;※ 0_Ungler2-12_PT05_243.djvu 00006 (6) new
"Ungler2-12 001:00005  [I)]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=00523,00136,00124,00120&page=001;Ungler2-12.djvu p 1 x 523 y 136 h 124 w 120;※ 0_Ungler2-12_PT05_243.djvu 00007 (7) new
"Ungler2-12 001:00006  [2]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=00663,00135,00110,00127&page=001;Ungler2-12.djvu p 1 x 663 y 135 h 110 w 127;※ 0_Ungler2-12_PT05_243.djvu 00008 (8) new
"Ungler2-12 001:00007  [H]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=00795,00137,00112,00124&page=001;Ungler2-12.djvu p 1 x 795 y 137 h 112 w 124;※ 0_Ungler2-12_PT05_243.djvu 00009 (9) new
"Ungler2-12 001:00008  [|]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=00933,00138,00045,00118&page=001;Ungler2-12.djvu p 1 x 933 y 138 h 45 w 118;※ 0_Ungler2-12_PT05_243.djvu 00010 (10) new
"Ungler2-12 001:00009  [|.]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=00996,00134,00104,00121&page=001;Ungler2-12.djvu p 1 x 996 y 134 h 104 w 121;※ 0_Ungler2-12_PT05_243.djvu 00011 (11) new
"Ungler2-12 001:00010  [M]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=01117,00130,00135,00120&page=001;Ungler2-12.djvu p 1 x 1117 y 130 h 135 w 120;※ 0_Ungler2-12_PT05_243.djvu 00012 (12) new
"Ungler2-12 001:00011  [IN]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=01277,00129,00131,00125&page=001;Ungler2-12.djvu p 1 x 1277 y 129 h 131 w 125;※ 0_Ungler2-12_PT05_243.djvu 00013 (13) new
"Ungler2-12 001:00012  [(]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=01431,00129,00110,00121&page=001;Ungler2-12.djvu p 1 x 1431 y 129 h 110 w 121;※ 0_Ungler2-12_PT05_243.djvu 00014 (14) new
"Ungler2-12 001:00013  [B,]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=01555,00129,00094,00121&page=001;Ungler2-12.djvu p 1 x 1555 y 129 h 94 w 121;※ 0_Ungler2-12_PT05_243.djvu 00015 (15) new
"Ungler2-12 001:00014  []2]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=01665,00127,00118,00119&page=001;Ungler2-12.djvu p 1 x 1665 y 127 h 118 w 119;※ 0_Ungler2-12_PT05_243.djvu 00016 (16) new
"Ungler2-12 001:00015  [I»]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=01802,00125,00099,00120&page=001;Ungler2-12.djvu p 1 x 1802 y 125 h 99 w 120;※ 0_Ungler2-12_PT05_243.djvu 00017 (17) new
"Ungler2-12 001:00016  [-]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=01923,00120,00075,00124&page=001;Ungler2-12.djvu p 1 x 1923 y 120 h 75 w 124;※ 0_Ungler2-12_PT05_243.djvu 00018 (18) new
"Ungler2-12 001:00017  [T]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=02017,00124,00119,00111&page=001;Ungler2-12.djvu p 1 x 2017 y 124 h 119 w 111;※ 0_Ungler2-12_PT05_243.djvu 00019 (19) new
"Ungler2-12 001:00018  [V]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=02154,00127,00115,00120&page=001;Ungler2-12.djvu p 1 x 2154 y 127 h 115 w 120;※ 0_Ungler2-12_PT05_243.djvu 00020 (20) new
"Ungler2-12 001:00018  [V]";file:../../DjVu/Ungler2-12.djvu?djvuopts=&highlight=02154,00127,00115,00120&page=001;Ungler2-12.djvu p 1 x 2154 y 127 h 115 w 120;※ 0_Ungler2-12_PT05_243.djvu 00021 (21) new
