Ungler2-18 001:00037 [»j];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=00331,00246,00034,00058&page=001;+ Ungler2-18.djvu p 1 x 331 y 246 h 34 w 58;※ 0_Ungler2-18_PT07_360.djvu 00039 (39) new
Ungler2-18 001:00041 [e];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=00429,00226,00029,00052&page=001;+ Ungler2-18.djvu p 1 x 429 y 226 h 29 w 52;※ 0_Ungler2-18_PT07_360.djvu 00043 (43) new
Ungler2-18 001:00070 [p];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=01328,00229,00030,00059&page=001;+ Ungler2-18.djvu p 1 x 1328 y 229 h 30 w 59;※ 0_Ungler2-18_PT07_360.djvu 00072 (72) new
Ungler2-18 001:00071 [P];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=01368,00229,00037,00058&page=001;+ Ungler2-18.djvu p 1 x 1368 y 229 h 37 w 58;※ 0_Ungler2-18_PT07_360.djvu 00073 (73) new
Ungler2-18 001:00075 [q];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=01492,00229,00032,00060&page=001;+ Ungler2-18.djvu p 1 x 1492 y 229 h 32 w 60;※ 0_Ungler2-18_PT07_360.djvu 00077 (77) new
Ungler2-18 001:00076 [q];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=1534,224,55,69&page=1;+# Ungler2-18.djvu p 1 x 1532 y 260 h 59 w 29;※ 0_Ungler2-18_PT07_360.djvu 00078 (78) add
Ungler2-18 001:00078 [qi];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=1595,228,61,81&page=1;+^ Ungler2-18.djvu p 1 x 1597 y 232 h 52 w 57;※ 0_Ungler2-18_PT07_360.djvu 00080 (80) new
Ungler2-18 001:00091 [];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=336,128,37,90&page=1;+# Ungler2-18.djvu p 1 x 338 y 176 h 70 w 30;※ 0_Ungler2-18_PT07_360.djvu 00093 (93) add
Ungler2-18 001:00092 [:];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=00379,00149,00027,00056&page=001;+ Ungler2-18.djvu p 1 x 379 y 149 h 27 w 56;※ 0_Ungler2-18_PT07_360.djvu 00094 (94) new
Ungler2-18 001:00109 [ad];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=00889,00152,00055,00051&page=001;+ Ungler2-18.djvu p 1 x 889 y 152 h 55 w 51;※ 0_Ungler2-18_PT07_360.djvu 00111 (111) new
Ungler2-18 001:00110 [te];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=00962,00152,00054,00054&page=001;+ Ungler2-18.djvu p 1 x 962 y 152 h 54 w 54;※ 0_Ungler2-18_PT07_360.djvu 00112 (112) new
Ungler2-18 001:00111 [(9];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=01032,00152,00063,00056&page=001;+ Ungler2-18.djvu p 1 x 1032 y 152 h 63 w 56;※ 0_Ungler2-18_PT07_360.djvu 00113 (113) new
Ungler2-18 001:00112 [y];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=01109,00136,00037,00061&page=001;+ Ungler2-18.djvu p 1 x 1109 y 136 h 37 w 61;※ 0_Ungler2-18_PT07_360.djvu 00114 (114) new
Ungler2-18 001:00113 ['];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=01156,00137,00021,00064&page=001;+ Ungler2-18.djvu p 1 x 1156 y 137 h 21 w 64;※ 0_Ungler2-18_PT07_360.djvu 00115 (115) new
Ungler2-18 001:00114 [f];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=01188,00137,00029,00064&page=001;+ Ungler2-18.djvu p 1 x 1188 y 137 h 29 w 64;※ 0_Ungler2-18_PT07_360.djvu 00116 (116) new
Ungler2-18 001:00116 [9];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=1261,135,30,69&page=1;+ Ungler2-18.djvu p 1 x 1263 y 169 h 24 w 33;※ 0_Ungler2-18_PT07_360.djvu 00118 (118) new
