Wirzbięta-02 001:00000  [2|];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=00020,00249,00070,00086&page=001;Wirzbięta-02.djvu p 1 x 20 y 249 h 70 w 86;※ 0_Wirzbięta-02_PT09_469.djvu 00002 (2) new
Wirzbięta-02 001:00001  [e];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=00113,00255,00078,00078&page=001;Wirzbięta-02.djvu p 1 x 113 y 255 h 78 w 78;※ 0_Wirzbięta-02_PT09_469.djvu 00003 (3) new
Wirzbięta-02 001:00002  [oj];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=00219,00253,00069,00086&page=001;Wirzbięta-02.djvu p 1 x 219 y 253 h 69 w 86;※ 0_Wirzbięta-02_PT09_469.djvu 00004 (4) new
Wirzbięta-02 001:00003  [G2];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=00313,00256,00085,00082&page=001;Wirzbięta-02.djvu p 1 x 313 y 256 h 85 w 82;※ 0_Wirzbięta-02_PT09_469.djvu 00005 (5) new
Wirzbięta-02 001:00004  [(^];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=00435,00262,00069,00085&page=001;Wirzbięta-02.djvu p 1 x 435 y 262 h 69 w 85;※ 0_Wirzbięta-02_PT09_469.djvu 00006 (6) new
Wirzbięta-02 001:00005  [3];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=00532,00250,00075,00101&page=001;Wirzbięta-02.djvu p 1 x 532 y 250 h 75 w 101;※ 0_Wirzbięta-02_PT09_469.djvu 00007 (7) new
Wirzbięta-02 001:00006  [(55];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=00627,00269,00077,00084&page=001;Wirzbięta-02.djvu p 1 x 627 y 269 h 77 w 84;※ 0_Wirzbięta-02_PT09_469.djvu 00008 (8) new
Wirzbięta-02 001:00007  [6];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=00679,00327,00018,00025&page=001;Wirzbięta-02.djvu p 1 x 679 y 327 h 18 w 25;※ 0_Wirzbięta-02_PT09_469.djvu 00009 (9) new
Wirzbięta-02 001:00008  [(5];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=00729,00253,00067,00100&page=001;Wirzbięta-02.djvu p 1 x 729 y 253 h 67 w 100;※ 0_Wirzbięta-02_PT09_469.djvu 00010 (10) new
Wirzbięta-02 001:00009  [e];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=00826,00252,00080,00103&page=001;Wirzbięta-02.djvu p 1 x 826 y 252 h 80 w 103;※ 0_Wirzbięta-02_PT09_469.djvu 00011 (11) new
Wirzbięta-02 001:00010  [N];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=00928,00275,00065,00086&page=001;Wirzbięta-02.djvu p 1 x 928 y 275 h 65 w 86;※ 0_Wirzbięta-02_PT09_469.djvu 00012 (12) new
Wirzbięta-02 001:00011  [(e];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=01018,00273,00067,00088&page=001;Wirzbięta-02.djvu p 1 x 1018 y 273 h 67 w 88;※ 0_Wirzbięta-02_PT09_469.djvu 00013 (13) new
Wirzbięta-02 001:00012  [Hi];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=01115,00285,00051,00074&page=001;Wirzbięta-02.djvu p 1 x 1115 y 285 h 51 w 74;※ 0_Wirzbięta-02_PT09_469.djvu 00014 (14) new
Wirzbięta-02 001:00013  [e)];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=01160,00289,00053,00067&page=001;Wirzbięta-02.djvu p 1 x 1160 y 289 h 53 w 67;※ 0_Wirzbięta-02_PT09_469.djvu 00015 (15) new
Wirzbięta-02 001:00014  [(];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=01237,00281,00076,00080&page=001;Wirzbięta-02.djvu p 1 x 1237 y 281 h 76 w 80;※ 0_Wirzbięta-02_PT09_469.djvu 00016 (16) new
Wirzbięta-02 001:00015  [(»];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=01337,00288,00083,00083&page=001;Wirzbięta-02.djvu p 1 x 1337 y 288 h 83 w 83;※ 0_Wirzbięta-02_PT09_469.djvu 00017 (17) new
Wirzbięta-02 001:00016  [SH];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=01446,00286,00081,00086&page=001;Wirzbięta-02.djvu p 1 x 1446 y 286 h 81 w 86;※ 0_Wirzbięta-02_PT09_469.djvu 00018 (18) new
Wirzbięta-02 001:00017  [21];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=01549,00293,00077,00090&page=001;Wirzbięta-02.djvu p 1 x 1549 y 293 h 77 w 90;※ 0_Wirzbięta-02_PT09_469.djvu 00019 (19) new
Wirzbięta-02 001:00018  [c];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=01647,00289,00080,00084&page=001;Wirzbięta-02.djvu p 1 x 1647 y 289 h 80 w 84;※ 0_Wirzbięta-02_PT09_469.djvu 00020 (20) new
Wirzbięta-02 001:00019  [A,];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=01669,00346,00016,00013&page=001;Wirzbięta-02.djvu p 1 x 1669 y 346 h 16 w 13;※ 0_Wirzbięta-02_PT09_469.djvu 00021 (21) new
Wirzbięta-02 001:00020  [j9];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=01746,00287,00086,00092&page=001;Wirzbięta-02.djvu p 1 x 1746 y 287 h 86 w 92;※ 0_Wirzbięta-02_PT09_469.djvu 00022 (22) new
Wirzbięta-02 001:00021  [.];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=01794,00318,00005,00005&page=001;Wirzbięta-02.djvu p 1 x 1794 y 318 h 5 w 5;※ 0_Wirzbięta-02_PT09_469.djvu 00023 (23) new
Wirzbięta-02 001:00022  [Y];file:../../DjVu/Wirzbięta-02.djvu?djvuopts=&highlight=01852,00300,00074,00080&page=001;Wirzbięta-02.djvu p 1 x 1852 y 300 h 74 w 80;※ 0_Wirzbięta-02_PT09_469.djvu 00024 (24) new
