"Wirzbięta-11+11a 001:00000  [A]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=00000,00243,00122,00129&page=001;Wirzbięta-11+11a.djvu p 1 x 0 y 243 h 122 w 129;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00002 (2) new
"Wirzbięta-11+11a 001:00001  [hy]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=00141,00247,00154,00127&page=001;Wirzbięta-11+11a.djvu p 1 x 141 y 247 h 154 w 127;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00003 (3) new
"Wirzbięta-11+11a 001:00002  [H]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=00306,00251,00099,00126&page=001;Wirzbięta-11+11a.djvu p 1 x 306 y 251 h 99 w 126;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00004 (4) new
"Wirzbięta-11+11a 001:00003  [C]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=00422,00253,00114,00129&page=001;Wirzbięta-11+11a.djvu p 1 x 422 y 253 h 114 w 129;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00005 (5) new
"Wirzbięta-11+11a 001:00004  [MEMMM]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=00484,00381,00003,00001&page=001;Wirzbięta-11+11a.djvu p 1 x 484 y 381 h 3 w 1;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00006 (6) new
"Wirzbięta-11+11a 001:00005  [1)]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=00544,00257,00125,00125&page=001;Wirzbięta-11+11a.djvu p 1 x 544 y 257 h 125 w 125;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00007 (7) new
"Wirzbięta-11+11a 001:00006  [F,]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=00690,00258,00104,00127&page=001;Wirzbięta-11+11a.djvu p 1 x 690 y 258 h 104 w 127;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00008 (8) new
"Wirzbięta-11+11a 001:00007  [r]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=00812,00259,00093,00128&page=001;Wirzbięta-11+11a.djvu p 1 x 812 y 259 h 93 w 128;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00009 (9) new
"Wirzbięta-11+11a 001:00008  [r]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=00848,00382,00002,00003&page=001;Wirzbięta-11+11a.djvu p 1 x 848 y 382 h 2 w 3;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00010 (10) add
"Wirzbięta-11+11a 001:00004  [r]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=00858,00270,00001,00003&page=001;Wirzbięta-11+11a.djvu p 1 x 858 y 270 h 1 w 3;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00011 (11) copy
"Wirzbięta-11+11a 001:00009  [(1]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=00922,00261,00113,00120&page=001;Wirzbięta-11+11a.djvu p 1 x 922 y 261 h 113 w 120;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00012 (12) new
"Wirzbięta-11+11a 001:00010  [^]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=01025,00278,00004,00003&page=001;Wirzbięta-11+11a.djvu p 1 x 1025 y 278 h 4 w 3;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00013 (13) new
"Wirzbięta-11+11a 001:00011  [H]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=01044,00262,00120,00125&page=001;Wirzbięta-11+11a.djvu p 1 x 1044 y 262 h 120 w 125;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00014 (14) new
"Wirzbięta-11+11a 001:00012  [H]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=01059,00272,00002,00003&page=001;Wirzbięta-11+11a.djvu p 1 x 1059 y 272 h 2 w 3;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00015 (15) add
"Wirzbięta-11+11a 001:00004  [H]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=01080,00383,00001,00003&page=001;Wirzbięta-11+11a.djvu p 1 x 1080 y 383 h 1 w 3;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00016 (16) copy
"Wirzbięta-11+11a 001:00013  [I]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=01184,00264,00053,00123&page=001;Wirzbięta-11+11a.djvu p 1 x 1184 y 264 h 53 w 123;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00017 (17) new
"Wirzbięta-11+11a 001:00014  [K]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=01258,00264,00125,00125&page=001;Wirzbięta-11+11a.djvu p 1 x 1258 y 264 h 125 w 125;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00018 (18) new
"Wirzbięta-11+11a 001:00015  []";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=01340,00386,00006,00002&page=001;Wirzbięta-11+11a.djvu p 1 x 1340 y 386 h 6 w 2;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00019 (19) new
"Wirzbięta-11+11a 001:00016  [[D]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=01395,00267,00109,00123&page=001;Wirzbięta-11+11a.djvu p 1 x 1395 y 267 h 109 w 123;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00020 (20) new
"Wirzbięta-11+11a 001:00017  [M]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=01519,00267,00150,00133&page=001;Wirzbięta-11+11a.djvu p 1 x 1519 y 267 h 150 w 133;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00021 (21) new
"Wirzbięta-11+11a 001:00018  [N]";file:../../DjVu/Wirzbięta-11+11a.djvu?djvuopts=&highlight=01691,00269,00122,00130&page=001;Wirzbięta-11+11a.djvu p 1 x 1691 y 269 h 122 w 130;※ 0_Wirzbięta-11+11a_PT11_564.djvu 00022 (22) new
