"Wirzbięta-15 001:00000  [Lh]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=00020,00532,00070,00057&page=001;Wirzbięta-15.djvu p 1 x 20 y 532 h 70 w 57;※ 0_Wirzbięta-15_PT11_566.djvu 00002 (2) new
"Wirzbięta-15 001:00001  [E.]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=00092,00530,00055,00056&page=001;Wirzbięta-15.djvu p 1 x 92 y 530 h 55 w 56;※ 0_Wirzbięta-15_PT11_566.djvu 00003 (3) new
"Wirzbięta-15 001:00002  [E]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=00154,00528,00089,00066&page=001;Wirzbięta-15.djvu p 1 x 154 y 528 h 89 w 66;※ 0_Wirzbięta-15_PT11_566.djvu 00004 (4) new
"Wirzbięta-15 001:00003  ['B]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=00246,00528,00055,00064&page=001;Wirzbięta-15.djvu p 1 x 246 y 528 h 55 w 64;※ 0_Wirzbięta-15_PT11_566.djvu 00005 (5) new
"Wirzbięta-15 001:00004  [(]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=00312,00528,00043,00062&page=001;Wirzbięta-15.djvu p 1 x 312 y 528 h 43 w 62;※ 0_Wirzbięta-15_PT11_566.djvu 00006 (6) new
"Wirzbięta-15 001:00005  [(.]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=00362,00512,00061,00085&page=001;Wirzbięta-15.djvu p 1 x 362 y 512 h 61 w 85;※ 0_Wirzbięta-15_PT11_566.djvu 00007 (7) new
"Wirzbięta-15 001:00006  [1)]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=00433,00527,00061,00064&page=001;Wirzbięta-15.djvu p 1 x 433 y 527 h 61 w 64;※ 0_Wirzbięta-15_PT11_566.djvu 00008 (8) new
"Wirzbięta-15 001:00007  [E]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=00502,00528,00055,00058&page=001;Wirzbięta-15.djvu p 1 x 502 y 528 h 55 w 58;※ 0_Wirzbięta-15_PT11_566.djvu 00009 (9) new
"Wirzbięta-15 001:00008  [F]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=00567,00528,00052,00061&page=001;Wirzbięta-15.djvu p 1 x 567 y 528 h 52 w 61;※ 0_Wirzbięta-15_PT11_566.djvu 00010 (10) new
"Wirzbięta-15 001:00009  [( ;]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=00627,00528,00050,00062&page=001;Wirzbięta-15.djvu p 1 x 627 y 528 h 50 w 62;※ 0_Wirzbięta-15_PT11_566.djvu 00011 (11) new
"Wirzbięta-15 001:00010  [FH]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=00684,00526,00081,00062&page=001;Wirzbięta-15.djvu p 1 x 684 y 526 h 81 w 62;※ 0_Wirzbięta-15_PT11_566.djvu 00012 (12) new
"Wirzbięta-15 001:00011  []]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=00772,00526,00031,00059&page=001;Wirzbięta-15.djvu p 1 x 772 y 526 h 31 w 59;※ 0_Wirzbięta-15_PT11_566.djvu 00013 (13) new
"Wirzbięta-15 001:00012  [fL]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=00812,00525,00056,00059&page=001;Wirzbięta-15.djvu p 1 x 812 y 525 h 56 w 59;※ 0_Wirzbięta-15_PT11_566.djvu 00014 (14) new
"Wirzbięta-15 001:00013  [M]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=00886,00524,00083,00063&page=001;Wirzbięta-15.djvu p 1 x 886 y 524 h 83 w 63;※ 0_Wirzbięta-15_PT11_566.djvu 00015 (15) new
"Wirzbięta-15 001:00014  [a]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=00922,00532,00003,00003&page=001;Wirzbięta-15.djvu p 1 x 922 y 532 h 3 w 3;※ 0_Wirzbięta-15_PT11_566.djvu 00016 (16) new
"Wirzbięta-15 001:00015  [N]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=00979,00526,00065,00065&page=001;Wirzbięta-15.djvu p 1 x 979 y 526 h 65 w 65;※ 0_Wirzbięta-15_PT11_566.djvu 00017 (17) new
"Wirzbięta-15 001:00016  [y]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=01028,00567,00028,00022&page=001;Wirzbięta-15.djvu p 1 x 1028 y 567 h 28 w 22;※ 0_Wirzbięta-15_PT11_566.djvu 00018 (18) new
"Wirzbięta-15 001:00017  [Ü]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=01066,00526,00042,00058&page=001;Wirzbięta-15.djvu p 1 x 1066 y 526 h 42 w 58;※ 0_Wirzbięta-15_PT11_566.djvu 00019 (19) new
"Wirzbięta-15 001:00018  [(p]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=01124,00524,00051,00064&page=001;Wirzbięta-15.djvu p 1 x 1124 y 524 h 51 w 64;※ 0_Wirzbięta-15_PT11_566.djvu 00020 (20) new
"Wirzbięta-15 001:00019  [Ü]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=01186,00487,00094,00094&page=001;Wirzbięta-15.djvu p 1 x 1186 y 487 h 94 w 94;※ 0_Wirzbięta-15_PT11_566.djvu 00021 (21) new
"Wirzbięta-15 001:00020  [fq]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=01251,00501,00069,00087&page=001;Wirzbięta-15.djvu p 1 x 1251 y 501 h 69 w 87;※ 0_Wirzbięta-15_PT11_566.djvu 00022 (22) new
"Wirzbięta-15 001:00021  [S]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=01318,00524,00044,00062&page=001;Wirzbięta-15.djvu p 1 x 1318 y 524 h 44 w 62;※ 0_Wirzbięta-15_PT11_566.djvu 00023 (23) new
"Wirzbięta-15 001:00022  [T]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=01377,00522,00062,00063&page=001;Wirzbięta-15.djvu p 1 x 1377 y 522 h 62 w 63;※ 0_Wirzbięta-15_PT11_566.djvu 00024 (24) new
"Wirzbięta-15 001:00023  [ly,]";file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=01448,00523,00062,00061&page=001;Wirzbięta-15.djvu p 1 x 1448 y 523 h 62 w 61;※ 0_Wirzbięta-15_PT11_566.djvu 00025 (25) new
