b! Augezdecki-03 001:00042 [E];file:../../DjVu/Augezdecki-03.djvu?djvuopts=&highlight=00289,00324,00029,00038&page=001;b+ Augezdecki-03.djvu p 1 x 289 y 324 h 29 w 38;※ 0_Augezdecki-03_PT08_407.djvu 00044 (44) new
b! Haller-02 001:00032 [D];file:../../DjVu/Haller-02.djvu?djvuopts=&highlight=00341,00318,00063,00111&page=001;b+ Haller-02.djvu p 1 x 341 y 318 h 63 w 111;※ 0_Haller-02_PT04_165.djvu 00034 (34) new
b! Haller-04 001:00036 [b];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=00266,00299,00048,00080&page=001;b+ Haller-04.djvu p 1 x 266 y 299 h 48 w 80;※ 0_Haller-04_PT04_167.djvu 00038 (38) new
b!0 Haller-04 001:00037 [b];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=00325,00299,00044,00073&page=001;b+ Haller-04.djvu p 1 x 325 y 299 h 44 w 73;※ 0_Haller-04_PT04_167.djvu 00039 (39) new
bstrok Haller-05 001:00040 [D];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=187,215,38,55&page=1;bstrok+# Haller-05.djvu p 1 x 191 y 238 h 47 w 29;※ 0_Haller-05_PT04_168.djvu 00042 (42) add
bstrok Haller-06 001:00034 [b];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=00152,00157,00022,00039&page=001;+ Haller-06.djvu p 1 x 152 y 157 h 22 w 39;※ 0_Haller-06_PT04_169.djvu 00036 (36) new
bstrok Haller-07 001:00040 [b];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00240,00424,00032,00052&page=001;bstrok+ Haller-07.djvu p 1 x 240 y 424 h 32 w 52;※ 0_Haller-07_PT04_170.djvu 00042 (42) new
bstrok Haller-09 001:00042 [D];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00208,00255,00029,00046&page=001;bstrok+Haller-09.djvu p 1 x 208 y 255 h 29 w 46;※ 0_Haller-09_PT04_172.djvu 00044 (44) new
bstrok Hochfeder-03 001:00034 [b];file:../../DjVu/Hochfeder-03.djvu?djvuopts=&highlight=00347,00378,00047,00077&page=001;bstrok+Hochfeder-03.djvu p 1 x 347 y 378 h 47 w 77;※ 0_Hochfeder-03_PT01_021.djvu 00036 (36) new
bstrok Hochfeder-05 001:00036 [5];file:../../DjVu/Hochfeder-05.djvu?djvuopts=&highlight=00380,00413,00083,00121&page=001;bstrok+Hochfeder-05.djvu p 1 x 380 y 413 h 83 w 121;※ 0_Hochfeder-05_PT01_023.djvu 00038 (38) new
bstrok Hochfeder-06 001:00039 [B];file:../../DjVu/Hochfeder-06.djvu?djvuopts=&highlight=00322,00238,00079,00123&page=001;bstrok+Hochfeder-06.djvu p 1 x 322 y 238 h 79 w 123;※ 0_Hochfeder-06_PT01_024.djvu 00041 (41) new
bstrok Hochfeder-07 001:00033 [b];file:../../DjVu/Hochfeder-07.djvu?djvuopts=&highlight=339,195,56,90&page=1;bstrok+#Hochfeder-07.djvu p 1 x 348 y 233 h 63 w 41;※ 0_Hochfeder-07_PT01_024.djvu 00035 (35) add
bstrok Hochfeder-08 001:00033 [b];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=00335,00516,00076,00128&page=001;bstrok+Hochfeder-08.djvu p 1 x 335 y 516 h 76 w 128;※ 0_Hochfeder-08_PT01_020.djvu 00035 (35) new
bstrok Hochfeder-08 001:00033 [b];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=00335,00516,00076,00128&page=001;bstrok+Hochfeder-08.djvu p 1 x 335 y 516 h 76 w 128;※ 0_Hochfeder-08_PT01_020.djvu 00035 (35) new
bstrok Hochfeder-09 001:00030 [D];file:../../DjVu/Hochfeder-09.djvu?djvuopts=&highlight=00351,00348,00064,00098&page=001;bstrok+Hochfeder-09.djvu p 1 x 351 y 348 h 64 w 98;※ 0_Hochfeder-09_PT01_027.djvu 00032 (32) new
bstrok Hochfeder-09 001:00030 [D];file:../../DjVu/Hochfeder-09.djvu?djvuopts=&highlight=00351,00348,00064,00098&page=001;bstrok+Hochfeder-09.djvu p 1 x 351 y 348 h 64 w 98;※ 0_Hochfeder-09_PT01_027.djvu 00032 (32) new
bstrok Hochfeder-10 001:00037 [B5];file:../../DjVu/Hochfeder-10.djvu?djvuopts=&highlight=00451,00531,00075,00151&page=001;bstrok+Hochfeder-10.djvu p 1 x 451 y 531 h 75 w 151;※ 0_Hochfeder-10_PT01_028.djvu 00041 (41) new
bstrok Hochfeder-11 001:00034 [b];file:../../DjVu/Hochfeder-11.djvu?djvuopts=&highlight=00290,00319,00075,00127&page=001;bstrok+Hochfeder-11.djvu p 1 x 290 y 319 h 75 w 127;※ 0_Hochfeder-11_PT01_028.djvu 00036 (36) new
bstrok Ungler1-01 001:00026 [D];file:../../DjVu/Ungler1-01.djvu?djvuopts=&highlight=00213,00425,00025,00047&page=001;bstrok+ Ungler1-01.djvu p 1 x 213 y 425 h 25 w 47;※ 0_Ungler1-1_PT03_112.djvu 00028 (28) new
bstrok Ungler1-02 001:00040 [i];file:../../DjVu/Ungler1-02.djvu?djvuopts=&highlight=158,172,27,64&page=1;bstrok+# Ungler1-02.djvu p 1 x 157 y 199 h 46 w 27;※ 0_Ungler1-02_PT03_113.djvu 00042 (42) add
bstrok Ungler1-03 001:00035 [l*];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00272,00354,00026,00046&page=001;bstrok+ Ungler1-03.djvu p 1 x 272 y 354 h 26 w 46;※ 0_Ungler1-03_PT03_114.djvu 00037 (37) new
bstrok Ungler2-10;file:../../DjVu/Ungler2-10.djvu?djvuopts=&highlight=135,252,39,63&page=1;+bstrok;
bstrok Ungler2-14 001:00047 [b];file:../../DjVu/Ungler2-14.djvu?djvuopts=&highlight=00255,00207,00030,00049&page=001;bstrok+ Ungler2-14.djvu p 1 x 255 y 207 h 30 w 49;※ 0_Ungler2-14_PT07_357.djvu 00049 (49) new
bstrok Ungler2-16 001:00038 [b];file:../../DjVu/Ungler2-16.djvu?djvuopts=&highlight=00285,00400,00029,00046&page=001;bstrok+Ungler2-16.djvu p 1 x 285 y 400 h 29 w 46;※ 0_Ungler2-16_PT07_359.djvu 00040 (40) new
