drot! Augezdecki-02a 001:00004 [à];file:../../DjVu/Augezdecki-02a.djvu?djvuopts=&highlight=00178,00065,00030,00054&page=001;+ Augezdecki-02a.djvu p 1 x 178 y 65 h 30 w 54;※ 0_Augezdecki-02a_PT08_406.djvu 00006 (6) new
drot1 Augezdecki-14 001:00053 [lv];file:../../DjVu/Augezdecki-14.djvu?djvuopts=&highlight=00860,00688,00051,00092&page=001;+ Augezdecki-14.djvu p 1 x 860 y 688 h 51 w 92;※ 0_Augezdecki-14_PT08_410.djvu 00055 (55) new
drot1 Haller-01 001:00036 [Ó];file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=01436,00523,00104,00173&page=001;+ Haller-01.djvu p 1 x 1436 y 523 h 104 w 173;※ 0_Haller-01_PT04_164.djvu 00038 (38) new
drotacute Haller-02 001:00038 [V];file:../../DjVu/Haller-02.djvu?djvuopts=&highlight=00765,00317,00063,00102&page=001;+ Haller-02.djvu p 1 x 765 y 317 h 63 w 102;※ 0_Haller-02_PT04_165.djvu 00040 (40) new
drotacute Haller-04 001:00042 ['];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=00591,00303,00042,00075&page=001;+ Haller-04.djvu p 1 x 591 y 303 h 42 w 75;※ 0_Haller-04_PT04_167.djvu 00044 (44) new
drotacute Haller-05;file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=512,206,43,71&page=1;drotacute+;
drotacute Haller-06 001:00044 [5];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=00362,00157,00021,00041&page=001;+ Haller-06.djvu p 1 x 362 y 157 h 21 w 41;※ 0_Haller-06_PT04_169.djvu 00046 (46) new
drotacute Haller-07 001:00047 [Ü];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00474,00427,00029,00052&page=001;drotacute+ Haller-07.djvu p 1 x 474 y 427 h 29 w 52;※ 0_Haller-07_PT04_170.djvu 00049 (49) new
drotacute Haller-08;file:../../DjVu/Haller-08.djvu?djvuopts=&highlight=314,257,36,58&page=1;drotacute+;
drotacute Haller-09 001:00049 [Ü];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00425,00253,00031,00050&page=001;drotacute+Haller-09.djvu p 1 x 425 y 253 h 31 w 50;※ 0_Haller-09_PT04_172.djvu 00051 (51) new
drotacute Haller-10 001:00039 [*];file:../../DjVu/Haller-10.djvu?djvuopts=&highlight=00390,00150,00023,00044&page=001;drotacute+ Haller-10.djvu p 1 x 390 y 150 h 23 w 44;※ 0_Haller-10_PT04_173.djvu 00041 (41) new
drotacute Haller-12 001:00035 [e];file:../../DjVu/Haller-12.djvu?djvuopts=&highlight=00496,00482,00075,00105&page=001;drotacute+Haller-12.djvu p 1 x 496 y 482 h 75 w 105;※ 0_Haller-12_PT04_175.djvu 00037 (37) new
drotacute Haller-13 001:00036 [$];file:../../DjVu/Haller-13.djvu?djvuopts=&highlight=00368,00247,00032,00058&page=001;drotacute+# Haller-13.djvu p 1 x 368 y 247 h 32 w 58;※ 0_Haller-13_PT04_172.djvu 00038 (38) new
drotacute Hochfeder-03 001:00042 [Ó];file:../../DjVu/Hochfeder-03.djvu?djvuopts=&highlight=00722,00380,00047,00073&page=001;drotacute+Hochfeder-03.djvu p 1 x 722 y 380 h 47 w 73;※ 0_Hochfeder-03_PT01_021.djvu 00044 (44) new
drotacute Hochfeder-04 001:00021 [D];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00331,00327,00036,00061&page=001;drotacute+Hochfeder-04.djvu p 1 x 331 y 327 h 36 w 61;※ 0_Hochfeder-04_PT01_022.djvu 00023 (23) new
drotacute Hochfeder-05 001:00044 [B];file:../../DjVu/Hochfeder-05.djvu?djvuopts=&highlight=00941,00426,00073,00117&page=001;drotacute+Hochfeder-05.djvu p 1 x 941 y 426 h 73 w 117;※ 0_Hochfeder-05_PT01_023.djvu 00046 (46) new
drotacute Hochfeder-06 001:00047 [Ó];file:../../DjVu/Hochfeder-06.djvu?djvuopts=&highlight=00783,00245,00076,00116&page=001;drotacute+Hochfeder-06.djvu p 1 x 783 y 245 h 76 w 116;※ 0_Hochfeder-06_PT01_024.djvu 00049 (49) new
drotacute Hochfeder-07 001:00042 ['!];file:../../DjVu/Hochfeder-07.djvu?djvuopts=&highlight=00671,00212,00040,00059&page=001;drotacute+Hochfeder-07.djvu p 1 x 671 y 212 h 40 w 59;※ 0_Hochfeder-07_PT01_024.djvu 00044 (44) new
drotacute Hochfeder-08 001:00039 [*];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=00717,00515,00066,00116&page=001;drotacute+Hochfeder-08.djvu p 1 x 717 y 515 h 66 w 116;※ 0_Hochfeder-08_PT01_020.djvu 00041 (41) new
drotacute Hochfeder-08 001:00039 [*];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=00717,00515,00066,00116&page=001;drotacute+Hochfeder-08.djvu p 1 x 717 y 515 h 66 w 116;※ 0_Hochfeder-08_PT01_020.djvu 00041 (41) new
drotacute Hochfeder-09 001:00037 [cO];file:../../DjVu/Hochfeder-09.djvu?djvuopts=&highlight=865,346,93,123&page=1;drotacute+#Hochfeder-09.djvu p 1 x 885 y 404 h 100 w 62;※ 0_Hochfeder-09_PT01_027.djvu 00039 (39) add
drotacute Hochfeder-09 001:00037 [cO];file:../../DjVu/Hochfeder-09.djvu?djvuopts=&highlight=865,346,93,123&page=1;drotacute+#Hochfeder-09.djvu p 1 x 885 y 404 h 100 w 62;※ 0_Hochfeder-09_PT01_027.djvu 00039 (39) add
drotacute Hochfeder-11 001:00037 [Ó];file:../../DjVu/Hochfeder-11.djvu?djvuopts=&highlight=00529,00316,00072,00126&page=001;drotacute+Hochfeder-11.djvu p 1 x 529 y 316 h 72 w 126;※ 0_Hochfeder-11_PT01_028.djvu 00039 (39) new
drotacute Ungler1-01;file:../../DjVu/Ungler1-01.djvu?djvuopts=&highlight=375,412,48,70&page=1;;
drotacute Ungler1-02;file:../../DjVu/Ungler1-02.djvu?djvuopts=&highlight=297,172,32,52&page=1;drotacute+;
drotacute Ungler1-03;file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=686,347,54,62&page=1;drotacute+;
drotacute Ungler1-04 001:00031 [Ó];file:../../DjVu/Ungler1-04.djvu?djvuopts=&highlight=00419,00166,00031,00050&page=001;bstrok+Ungler1-04.djvu p 1 x 419 y 166 h 31 w 50;※ 0_Ungler1-04_PT03_115.djvu 00033 (33) new
drotacute Ungler1-05 001:00033 [af];file:../../DjVu/Ungler1-05.djvu?djvuopts=&highlight=00300,00134,00032,00048&page=001;drotacute+ Ungler1-05.djvu p 1 x 300 y 134 h 32 w 48;※ 0_Ungler1-05_PT03_116.djvu 00035 (35) new
drotacute Ungler1-06 001:00056 ['];file:../../DjVu/Ungler1-06.djvu?djvuopts=&highlight=905,257,53,77&page=1;drotacute+ Ungler1-06.djvu p 1 x 916 y 275 h 30 w 47;※ 0_Ungler1-06_PT03_117.djvu 00058 (58) new
drotacute Ungler1-07 001:00033 [ÜD];file:../../DjVu/Ungler1-07.djvu?djvuopts=&highlight=00480,00288,00043,00066&page=001;drotacutedrotacute+ Ungler1-07.djvu p 1 x 480 y 288 h 43 w 66;※ 0_Ungler1-07_PT03_118.djvu 00035 (35) new
drotacute Ungler2-01 001:00048 [Ó];file:../../DjVu/Ungler2-01.djvu?djvuopts=&highlight=00657,00401,00059,00090&page=001;drotacute+Ungler2-01.djvu p 1 x 657 y 401 h 59 w 90;※ 0_Ungler2-01_PT05_239.djvu 00050 (50) new
drotacute Ungler2-03 001:00045 [.];file:../../DjVu/Ungler2-03.djvu?djvuopts=&highlight=00439,00324,00021,00038&page=001;drotacute+ Ungler2-03.djvu p 1 x 439 y 324 h 21 w 38;※ 0_Ungler2-03_PT05_241.djvu 00047 (47) new
drotacute Ungler2-04 001:00046 [Ó];file:../../DjVu/Ungler2-04.djvu?djvuopts=&highlight=455,249,49,88&page=1;drotacute+# Ungler2-04.djvu p 1 x 462 y 283 h 57 w 39;※ 0_Ungler2-04_PT05_242.djvu 00048 (48) add
drotacute Ungler2-06 001:00027 [3];file:../../DjVu/Ungler2-06.djvu?djvuopts=&highlight=00245,00257,00035,00055&page=001;drotacute+ Ungler2-06.djvu p 1 x 245 y 257 h 35 w 55;※ 0_Ungler2-06_PT05_241.djvu 00029 (29) new
drotacute Ungler2-09 001:00050 [S];file:../../DjVu/Ungler2-09.djvu?djvuopts=&highlight=00570,00264,00031,00053&page=001;drotacute+ Ungler2-09.djvu p 1 x 570 y 264 h 31 w 53;※ 0_Ungler2-09_PT05_244.djvu 00052 (52) new
drotacute Ungler2-10 001:00032 [Oo];file:../../DjVu/Ungler2-10.djvu?djvuopts=&highlight=308,255,32,57&page=1;drotacute+ Ungler2-10.djvu p 1 x 309 y 278 h 43 w 29;※ 0_Ungler2-10_PT05_245.djvu 00034 (34) add
drotacute Ungler2-14 001:00054 [3];file:../../DjVu/Ungler2-14.djvu?djvuopts=&highlight=00537,00208,00029,00047&page=001;drotacute+ Ungler2-14.djvu p 1 x 537 y 208 h 29 w 47;※ 0_Ungler2-14_PT07_357.djvu 00056 (56) new
drotacute Ungler2-16 001:00044 [Ó];file:../../DjVu/Ungler2-16.djvu?djvuopts=&highlight=00522,00401,00025,00042&page=001;drotacute+Ungler2-16.djvu p 1 x 522 y 401 h 25 w 42;※ 0_Ungler2-16_PT07_359.djvu 00046 (46) new
drotacute Ungler2-18 001:00037 [»j];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=00331,00246,00034,00058&page=001;drotacute+ Ungler2-18.djvu p 1 x 331 y 246 h 34 w 58;※ 0_Ungler2-18_PT07_360.djvu 00039 (39) new
