Haller-02 001:00038 [V];file:../../DjVu/Haller-02.djvu?djvuopts=&highlight=00765,00317,00063,00102&page=001;+ Haller-02.djvu p 1 x 765 y 317 h 63 w 102;※ 0_Haller-02_PT04_165.djvu 00040 (40) new
Haller-02 001:00054 [B];file:../../DjVu/Haller-02.djvu?djvuopts=&highlight=01616,00317,00073,00113&page=001;+Haller-02.djvu p 1 x 1616 y 317 h 73 w 113;※ 0_Haller-02_PT04_165.djvu 00056 (56) new
Haller-04 001:00037 [b];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=00325,00299,00044,00073&page=001;+Haller-04.djvu p 1 x 325 y 299 h 44 w 73;※ 0_Haller-04_PT04_167.djvu 00039 (39) new
Haller-04 001:00042 ['];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=00591,00303,00042,00075&page=001;+ Haller-04.djvu p 1 x 591 y 303 h 42 w 75;※ 0_Haller-04_PT04_167.djvu 00044 (44) new
Haller-04 001:00062 [b];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=1510,291,64,97&page=1;+ Haller-04.djvu p 1 x 1527 y 331 h 72 w 43;※ 0_Haller-04_PT04_167.djvu 00064 (64) add
Haller-04 001:00064 [b];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=1577,291,56,97&page=1;+ Haller-04.djvu p 1 x 1581 y 301 h 49 w 79;※ 0_Haller-04_PT04_167.djvu 00066 (66) new
Haller-04 001:00135 [(b];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=1751,159,82,101&page=1;+ Haller-04.djvu p 1 x 1756 y 186 h 77 w 71;※ 0_Haller-04_PT04_167.djvu 00137 (137) add
Haller-05 001:00040 [D];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=184,211,42,63&page=1;+ Haller-05.djvu p 1 x 191 y 238 h 47 w 29;※ 0_Haller-05_PT04_168.djvu 00042 (42) add
Haller-05 001:00051 ["];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=00520,00221,00030,00048&page=001;+Haller-05.djvu p 1 x 520 y 221 h 30 w 48;※ 0_Haller-05_PT04_168.djvu 00053 (53) new
Haller-05 001:00067 [q];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=1060,208,33,72&page=1;+ Haller-05.djvu p 1 x 1061 y 237 h 48 w 30;※ 0_Haller-05_PT04_168.djvu 00069 (69) add
Haller-05 001:00068 [É];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=01102,00218,00031,00051&page=001;+Haller-05.djvu p 1 x 1102 y 218 h 31 w 51;※ 0_Haller-05_PT04_168.djvu 00070 (70) new
Haller-06 001:00034 [b];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=00152,00157,00022,00039&page=001;+ Haller-06.djvu p 1 x 152 y 157 h 22 w 39;※ 0_Haller-06_PT04_169.djvu 00036 (36) new
Haller-06 001:00044 [5];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=00362,00157,00021,00041&page=001;+ Haller-06.djvu p 1 x 362 y 157 h 21 w 41;※ 0_Haller-06_PT04_169.djvu 00046 (46) new
Haller-06 001:00055 [l];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=00663,00151,00021,00039&page=001;+ Haller-06.djvu p 1 x 663 y 151 h 21 w 39;※ 0_Haller-06_PT04_169.djvu 00057 (57) new
Haller-06 001:00057 [];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=693,144,33,54&page=1;+ Haller-06.djvu p 1 x 696 y 167 h 37 w 22;※ 0_Haller-06_PT04_169.djvu 00059 (59) add
Haller-07 001:00040 [b];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00240,00424,00032,00052&page=001;+ Haller-07.djvu p 1 x 240 y 424 h 32 w 52;※ 0_Haller-07_PT04_170.djvu 00042 (42) new
Haller-07 001:00047 [Ü];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00474,00427,00029,00052&page=001;+ Haller-07.djvu p 1 x 474 y 427 h 29 w 52;※ 0_Haller-07_PT04_170.djvu 00049 (49) new
Haller-07 001:00058 [b];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=842,417,43,75&page=1;+ Haller-07.djvu p 1 x 850 y 452 h 53 w 33;※ 0_Haller-07_PT04_170.djvu 00060 (60) add
Haller-07 001:00113 [];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=519,312,51,83&page=1;+ Haller-07.djvu p 1 x 522 y 333 h 10 w 42;※ 0_Haller-07_PT04_170.djvu 00116 (116) new
Haller-08 001:00048 ["e!];file:../../DjVu/Haller-08.djvu?djvuopts=&highlight=00316,00264,00029,00044&page=001;+ Haller-08.djvu p 1 x 316 y 264 h 29 w 44;※ 0_Haller-08_PT04_171.djvu 00050 (50) new
