amp Augezdecki-08 001:00133 [e];file:../../DjVu/Augezdecki-08.djvu?djvuopts=&highlight=01952,00120,00057,00054&page=001;+ Augezdecki-08.djvu p 1 x 1952 y 120 h 57 w 54;※ 0_Augezdecki-08_PT08_410.djvu 00135 (135) new
amp Haller-11 001:00138 [d];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=01041,00279,00056,00051&page=001;amp+ Haller-11.djvu p 1 x 1041 y 279 h 56 w 51;※ 0_Haller-11_PT04_174.djvu 00140 (140) new
amp Ungler1-10 001:00108 [eX];file:../../DjVu/Ungler1-10.djvu?djvuopts=&highlight=00364,00185,00043,00054&page=001;amp+ Ungler1-10.djvu p 1 x 364 y 185 h 43 w 54;※ 0_Ungler1-10_PT03_119.djvu 00110 (110) new
amp Ungler2-02 001:00145 [i];file:../../DjVu/Ungler2-02.djvu?djvuopts=&highlight=01284,00130,00042,00054&page=001;amp+ Ungler2-02.djvu p 1 x 1284 y 130 h 42 w 54;※ 0_Ungler2-02_PT05_240.djvu 00147 (147) new
amp Ungler2-02 001:00146 [i];file:../../DjVu/Ungler2-02.djvu?djvuopts=&highlight=01338,00128,00044,00055&page=001;amp+ Ungler2-02.djvu p 1 x 1338 y 128 h 44 w 55;※ 0_Ungler2-02_PT05_240.djvu 00148 (148) new
amp Ungler2-05 001:00085 [C];file:../../DjVu/Ungler2-05.djvu?djvuopts=&highlight=00707,00106,00061,00054&page=001;amp+ Ungler2-05.djvu p 1 x 707 y 106 h 61 w 54;※ 0_Ungler2-05_PT05_243.djvu 00087 (87) new
amp Ungler2-05 001:00086 [b)];file:../../DjVu/Ungler2-05.djvu?djvuopts=&highlight=00778,00107,00046,00053&page=001;amp+ Ungler2-05.djvu p 1 x 778 y 107 h 46 w 53;※ 0_Ungler2-05_PT05_243.djvu 00088 (88) new
amp Ungler2-09 001:00144 [E!];file:../../DjVu/Ungler2-09.djvu?djvuopts=&highlight=01479,00164,00038,00048&page=001;amp+ Ungler2-09.djvu p 1 x 1479 y 164 h 38 w 48;※ 0_Ungler2-09_PT05_244.djvu 00146 (146) new
amp Ungler2-15 001:00107 [Q9];file:../../DjVu/Ungler2-15.djvu?djvuopts=&highlight=00100,00054,00063,00055&page=001;amp+ Ungler2-15.djvu p 1 x 100 y 54 h 63 w 55;※ 0_Ungler2-15_PT07_358.djvu 00109 (109) new
amp Ungler2-15 001:00108 [P];file:../../DjVu/Ungler2-15.djvu?djvuopts=&highlight=00182,00056,00050,00054&page=001;amp+ Ungler2-15.djvu p 1 x 182 y 56 h 50 w 54;※ 0_Ungler2-15_PT07_358.djvu 00110 (110) new
amp Ungler2-15 001:00109 [tC];file:../../DjVu/Ungler2-15.djvu?djvuopts=&highlight=00248,00056,00057,00051&page=001;amp+ Ungler2-15.djvu p 1 x 248 y 56 h 57 w 51;※ 0_Ungler2-15_PT07_358.djvu 00111 (111) new
amp Ungler2-18 001:00109 [ad];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=00889,00152,00055,00051&page=001;amp+ Ungler2-18.djvu p 1 x 889 y 152 h 55 w 51;※ 0_Ungler2-18_PT07_360.djvu 00111 (111) new
amp Ungler2-18 001:00110 [te];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=00962,00152,00054,00054&page=001;amp+ Ungler2-18.djvu p 1 x 962 y 152 h 54 w 54;※ 0_Ungler2-18_PT07_360.djvu 00112 (112) new
amp Ungler2-18 001:00111 [(9];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=01032,00152,00063,00056&page=001;amp+ Ungler2-18.djvu p 1 x 1032 y 152 h 63 w 56;※ 0_Ungler2-18_PT07_360.djvu 00113 (113) new
amp Ungler2-20 001:00123 [«X];file:../../DjVu/Ungler2-20.djvu?djvuopts=&highlight=01266,00172,00056,00054&page=001;amp+ Ungler2-20.djvu p 1 x 1266 y 172 h 56 w 54;※ 0_Ungler2-20_PT07_361.djvu 00125 (125) new
amp Ungler2-20 001:00124 [P];file:../../DjVu/Ungler2-20.djvu?djvuopts=&highlight=01344,00174,00050,00050&page=001;amp+ Ungler2-20.djvu p 1 x 1344 y 174 h 50 w 50;※ 0_Ungler2-20_PT07_361.djvu 00126 (126) new
amp Ungler2-20 001:00125 [C9];file:../../DjVu/Ungler2-20.djvu?djvuopts=&highlight=01417,00170,00063,00053&page=001;amp+ Ungler2-20.djvu p 1 x 1417 y 170 h 63 w 53;※ 0_Ungler2-20_PT07_361.djvu 00127 (127) new
amp Ungler2-21 001:00091 [«];file:../../DjVu/Ungler2-21.djvu?djvuopts=&highlight=01015,00067,00057,00055&page=001;amp+ Ungler2-21.djvu p 1 x 1015 y 67 h 57 w 55;※ 0_Ungler2-21_PT07_362.djvu 00094 (94) new
amp Wirzbięta-10+8 001:00133 [&];file:../../DjVu/Wirzbięta-10+8.djvu?djvuopts=&highlight=00918,00031,00054,00057&page=001;amp+ Wirzbięta-10+8.djvu p 1 x 918 y 31 h 54 w 57;※ 0_Wirzbięta-10+8_PT11_563.djvu 00135 (135) new
amp Wirzbięta-12 001:00090 [(X];file:../../DjVu/Wirzbięta-12.djvu?djvuopts=&highlight=01978,00126,00109,00103&page=001;amp+Wirzbięta-12.djvu p 1 x 1978 y 126 h 109 w 103;※ 0_Wirzbięta-12_PT11_564.djvu 00092 (92) new
amp Wirzbięta-13 001:00060 [e,];file:../../DjVu/Wirzbięta-13.djvu?djvuopts=&highlight=476,131,58,44&page=1;amp+# Wirzbięta-13.djvu p 1 x 479 y 138 h 39 w 33;※ 0_Wirzbięta-13_PT11_565.djvu 00062 (62) new
amp Wirzbięta-14 001:00158 [(o];file:../../DjVu/Wirzbięta-14.djvu?djvuopts=&highlight=00756,00082,00056,00036&page=001;amp+ Wirzbięta-14.djvu p 1 x 756 y 82 h 56 w 36;※ 0_Wirzbięta-14_PT11_565.djvu 00160 (160) new
amp Wirzbięta-15 001:00145 [Cov];file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=01012,00189,00073,00046&page=001;amp+ Wirzbięta-15.djvu p 1 x 1012 y 189 h 73 w 46;※ 0_Wirzbięta-15_PT11_566.djvu 00147 (147) new
amp Wirzbięta-15 001:00146 [C,];file:../../DjVu/Wirzbięta-15.djvu?djvuopts=&highlight=01106,00188,00055,00046&page=001;amp+ Wirzbięta-15.djvu p 1 x 1106 y 188 h 55 w 46;※ 0_Wirzbięta-15_PT11_566.djvu 00148 (148) new
