conbase Haller-02 001:00134 [b];file:../../DjVu/Haller-02.djvu?djvuopts=&highlight=2611,130,88,144&page=1;+# Haller-02.djvu p 1 x 2622 y 148 h 14 w 22;※ 0_Haller-02_PT04_165.djvu 00136 (136) new
conbase Haller-03 001:00138 [^,];file:../../DjVu/Haller-03.djvu?djvuopts=&highlight=02137,00229,00055,00084&page=001;+ Haller-03.djvu p 1 x 2137 y 229 h 55 w 84;※ 0_Haller-03_PT04_166.djvu 00140 (140) new
conbase Haller-04 001:00154 [À.];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=00382,00036,00046,00074&page=001;+ Haller-04.djvu p 1 x 382 y 36 h 46 w 74;※ 0_Haller-04_PT04_167.djvu 00156 (156) new
conbase Haller-05 001:00145 [-];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=01652,00114,00030,00048&page=001;conbase+ Haller-05.djvu p 1 x 1652 y 114 h 30 w 48;※ 0_Haller-05_PT04_168.djvu 00147 (147) new
conbase Haller-06 001:00123 [-»];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=00929,00053,00020,00034&page=001;+ Haller-06.djvu p 1 x 929 y 53 h 20 w 34;※ 0_Haller-06_PT04_169.djvu 00125 (125) new
conbase Haller-07 001:00133 [»,];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=01192,00333,00028,00041&page=001;conbase+ Haller-07.djvu p 1 x 1192 y 333 h 28 w 41;※ 0_Haller-07_PT04_170.djvu 00136 (136) new
conbase Haller-08 001:00138 [»];file:../../DjVu/Haller-08.djvu?djvuopts=&highlight=01104,00168,00030,00049&page=001;conbase+ Haller-08.djvu p 1 x 1104 y 168 h 30 w 49;※ 0_Haller-08_PT04_171.djvu 00140 (140) new
conbase Haller-09 001:00152 [2];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=01423,00145,00029,00048&page=001;conbase+Haller-09.djvu p 1 x 1423 y 145 h 29 w 48;※ 0_Haller-09_PT04_172.djvu 00154 (154) new
conbase Haller-10 001:00124 [2];file:../../DjVu/Haller-10.djvu?djvuopts=&highlight=01028,00052,00020,00046&page=001;conbase+ Haller-10.djvu p 1 x 1028 y 52 h 20 w 46;※ 0_Haller-10_PT04_173.djvu 00126 (126) new
conbase Haller-12 001:00105 [f)];file:../../DjVu/Haller-12.djvu?djvuopts=&highlight=01308,00302,00080,00099&page=001;conbase+Haller-12.djvu p 1 x 1308 y 302 h 80 w 99;※ 0_Haller-12_PT04_175.djvu 00107 (107) new
conbase Haller-13 001:00113 [3];file:../../DjVu/Haller-13.djvu?djvuopts=&highlight=1205,134,39,69&page=1;conbase+# Haller-13.djvu p 1 x 1208 y 160 h 57 w 35;※ 0_Haller-13_PT04_172.djvu 00115 (115) add
conbase Hochfeder-03 001:00129 [M,];file:../../DjVu/Hochfeder-03.djvu?djvuopts=&highlight=00437,00115,00051,00072&page=001;conbase+Hochfeder-03.djvu p 1 x 437 y 115 h 51 w 72;※ 0_Hochfeder-03_PT01_021.djvu 00131 (131) new
conbase Hochfeder-05 001:00138 [2,];file:../../DjVu/Hochfeder-05.djvu?djvuopts=&highlight=01325,00022,00075,00125&page=001;conbase+Hochfeder-05.djvu p 1 x 1325 y 22 h 75 w 125;※ 0_Hochfeder-05_PT01_023.djvu 00140 (140) new
conbase Hochfeder-06;file:../../DjVu/Hochfeder-06.djvu?djvuopts=&highlight=2741,11,116,204&page=1;conbase+;
