eogon Augezdecki-07 001:00048 [e];file:../../DjVu/Augezdecki-07.djvu?djvuopts=&highlight=540,238,43,82&page=1;+# Augezdecki-07.djvu p 1 x 548 y 262 h 27 w 32;※ 0_Augezdecki-07_PT08_409.djvu 00050 (50) new
eogon Augezdecki-08 001:00056 [€];file:../../DjVu/Augezdecki-08.djvu?djvuopts=&highlight=00826,00263,00030,00054&page=001;+ Augezdecki-08.djvu p 1 x 826 y 263 h 30 w 54;※ 0_Augezdecki-08_PT08_410.djvu 00058 (58) new
eogon Haller-04 001:00052 [e];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=01000,00284,00033,00073&page=001;+ Haller-04.djvu p 1 x 1000 y 284 h 33 w 73;※ 0_Haller-04_PT04_167.djvu 00054 (54) new
eogon Haller-11 001:00065 [ENP];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=595,350,42,72&page=1;eogon+# Haller-11.djvu p 1 x 600 y 377 h 32 w 26;※ 0_Haller-11_PT04_174.djvu 00067 (67) add
eogon Ungler1-03 001:00053 [e];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00917,00346,00020,00043&page=001;eogon+ Ungler1-03.djvu p 1 x 917 y 346 h 20 w 43;※ 0_Ungler1-03_PT03_114.djvu 00055 (55) new
eogon Ungler1-06 001:00060 [c];file:../../DjVu/Ungler1-06.djvu?djvuopts=&highlight=01082,00255,00026,00057&page=001;eogon+ Ungler1-06.djvu p 1 x 1082 y 255 h 26 w 57;※ 0_Ungler1-06_PT03_117.djvu 00062 (62) new
eogon Ungler1-06 001:00061 [€];file:../../DjVu/Ungler1-06.djvu?djvuopts=&highlight=01140,00262,00024,00049&page=001;eogon+ Ungler1-06.djvu p 1 x 1140 y 262 h 24 w 49;※ 0_Ungler1-06_PT03_117.djvu 00063 (63) new
eogon Ungler1-06 001:00062 [E];file:../../DjVu/Ungler1-06.djvu?djvuopts=&highlight=01195,00262,00025,00049&page=001;eogon+ Ungler1-06.djvu p 1 x 1195 y 262 h 25 w 49;※ 0_Ungler1-06_PT03_117.djvu 00064 (64) new
eogon Ungler1-10 001:00037 [C];file:../../DjVu/Ungler1-10.djvu?djvuopts=&highlight=00682,00386,00022,00052&page=001;eogon+ Ungler1-10.djvu p 1 x 682 y 386 h 22 w 52;※ 0_Ungler1-10_PT03_119.djvu 00039 (39) new
eogon Ungler2-02 001:00068 [e];file:../../DjVu/Ungler2-02.djvu?djvuopts=&highlight=00520,00192,00022,00051&page=001;eogon+ Ungler2-02.djvu p 1 x 520 y 192 h 22 w 51;※ 0_Ungler2-02_PT05_240.djvu 00070 (70) new
