et Haller-01 001:00107 [rá];file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=00637,00055,00088,00133&page=001;+ Haller-01.djvu p 1 x 637 y 55 h 88 w 133;※ 0_Haller-01_PT04_164.djvu 00109 (109) new
et Haller-02 001:00135 [7];file:../../DjVu/Haller-02.djvu?djvuopts=&highlight=00040,00030,00063,00080&page=001;+ Haller-02.djvu p 1 x 40 y 30 h 63 w 80;※ 0_Haller-02_PT04_165.djvu 00137 (137) new
et Haller-03 001:00139 [t,];file:../../DjVu/Haller-03.djvu?djvuopts=&highlight=02200,00241,00049,00072&page=001;+ Haller-03.djvu p 1 x 2200 y 241 h 49 w 72;※ 0_Haller-03_PT04_166.djvu 00141 (141) new
et Haller-04;file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=436,33,59,85&page=1;;
et Haller-05 001:00149 [?];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=00093,00050,00026,00035&page=001;et+ Haller-05.djvu p 1 x 93 y 50 h 26 w 35;※ 0_Haller-05_PT04_168.djvu 00151 (151) new
et Haller-06 001:00127 [T];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=00995,00058,00020,00029&page=001;+ Haller-06.djvu p 1 x 995 y 58 h 20 w 29;※ 0_Haller-06_PT04_169.djvu 00129 (129) new
et Haller-07 001:00136 [7];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=01273,00338,00027,00039&page=001;et+ Haller-07.djvu p 1 x 1273 y 338 h 27 w 39;※ 0_Haller-07_PT04_170.djvu 00139 (139) new
et Haller-08 001:00140 [7];file:../../DjVu/Haller-08.djvu?djvuopts=&highlight=01189,00176,00024,00034&page=001;et+ Haller-08.djvu p 1 x 1189 y 176 h 24 w 34;※ 0_Haller-08_PT04_171.djvu 00142 (142) new
et Haller-09 001:00155 [r4];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00054,00065,00026,00034&page=001;et+Haller-09.djvu p 1 x 54 y 65 h 26 w 34;※ 0_Haller-09_PT04_172.djvu 00157 (157) new
et Haller-10;file:../../DjVu/Haller-10.djvu?djvuopts=&highlight=1053,51,30,55&page=1;et+;
et Haller-12 001:00107 [7];file:../../DjVu/Haller-12.djvu?djvuopts=&highlight=01395,00314,00056,00080&page=001;et+Haller-12.djvu p 1 x 1395 y 314 h 56 w 80;※ 0_Haller-12_PT04_175.djvu 00109 (109) new
et Haller-13 001:00114 [r4];file:../../DjVu/Haller-13.djvu?djvuopts=&highlight=01252,00154,00031,00043&page=001;et+ Haller-13.djvu p 1 x 1252 y 154 h 31 w 43;※ 0_Haller-13_PT04_172.djvu 00116 (116) new
et Hochfeder-03 001:00132 [7];file:../../DjVu/Hochfeder-03.djvu?djvuopts=&highlight=00580,00131,00043,00060&page=001;et+Hochfeder-03.djvu p 1 x 580 y 131 h 43 w 60;※ 0_Hochfeder-03_PT01_021.djvu 00134 (134) new
et Hochfeder-04 001:00083 [7];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00643,00085,00037,00046&page=001;et+Hochfeder-04.djvu p 1 x 643 y 85 h 37 w 46;※ 0_Hochfeder-04_PT01_022.djvu 00085 (85) new
et Hochfeder-05 001:00141 [T7];file:../../DjVu/Hochfeder-05.djvu?djvuopts=&highlight=01533,00052,00070,00097&page=001;et+Hochfeder-05.djvu p 1 x 1533 y 52 h 70 w 97;※ 0_Hochfeder-05_PT01_023.djvu 00143 (143) new
et Hochfeder-06 001:00137 [«];file:../../DjVu/Hochfeder-06.djvu?djvuopts=&highlight=02856,00090,00076,00087&page=001;et+Hochfeder-06.djvu p 1 x 2856 y 90 h 76 w 87;※ 0_Hochfeder-06_PT01_024.djvu 00139 (139) new
et Hochfeder-07 001:00135 [T];file:../../DjVu/Hochfeder-07.djvu?djvuopts=&highlight=00946,00019,00043,00052&page=001;et+Hochfeder-07.djvu p 1 x 946 y 19 h 43 w 52;※ 0_Hochfeder-07_PT01_024.djvu 00137 (137) new
et Hochfeder-08 001:00140 [eC];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=01280,00106,00074,00081&page=001;et+Hochfeder-08.djvu p 1 x 1280 y 106 h 74 w 81;※ 0_Hochfeder-08_PT01_020.djvu 00142 (142) new
