h! Haller-01 001:00044 [r];file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=2135,504,124,203&page=1;+# Haller-01.djvu p 1 x 2142 y 525 h 81 w 171;※ 0_Haller-01_PT04_164.djvu 00046 (46) new
h! Haller-03 001:00066 [9,];file:../../DjVu/Haller-03.djvu?djvuopts=&highlight=01298,00387,00059,00090&page=001;+ Haller-03.djvu p 1 x 1298 y 387 h 59 w 90;※ 0_Haller-03_PT04_166.djvu 00068 (68) new
h! Haller-04 001:00062 [b];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=1523,294,55,89&page=1;+# Haller-04.djvu p 1 x 1527 y 331 h 72 w 43;※ 0_Haller-04_PT04_167.djvu 00064 (64) add
hacute Haller-07 001:00058 [b];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=846,418,41,78&page=1;hacute+# Haller-07.djvu p 1 x 850 y 452 h 53 w 33;※ 0_Haller-07_PT04_170.djvu 00060 (60) add
hstrok Haller-05 001:00068 [É];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=01102,00218,00031,00051&page=001;hstrok+ Haller-05.djvu p 1 x 1102 y 218 h 31 w 51;※ 0_Haller-05_PT04_168.djvu 00070 (70) new
hstrok Haller-08 001:00060 [nh];file:../../DjVu/Haller-08.djvu?djvuopts=&highlight=00683,00268,00030,00048&page=001;hstrok+ Haller-08.djvu p 1 x 683 y 268 h 30 w 48;※ 0_Haller-08_PT04_171.djvu 00062 (62) new
hstrok Haller-10 001:00050 [é];file:../../DjVu/Haller-10.djvu?djvuopts=&highlight=00730,00147,00023,00047&page=001;hstrok+ Haller-10.djvu p 1 x 730 y 147 h 23 w 47;※ 0_Haller-10_PT04_173.djvu 00052 (52) new
hstrok Hochfeder-03 001:00055 [h];file:../../DjVu/Hochfeder-03.djvu?djvuopts=&highlight=01422,00379,00049,00080&page=001;hstrok+Hochfeder-03.djvu p 1 x 1422 y 379 h 49 w 80;※ 0_Hochfeder-03_PT01_021.djvu 00057 (57) new
hstrok Hochfeder-05 001:00057 [P»,];file:../../DjVu/Hochfeder-05.djvu?djvuopts=&highlight=02064,00427,00084,00126&page=001;hstrok+Hochfeder-05.djvu p 1 x 2064 y 427 h 84 w 126;※ 0_Hochfeder-05_PT01_023.djvu 00059 (59) new
hstrok Hochfeder-06 001:00060 [b];file:../../DjVu/Hochfeder-06.djvu?djvuopts=&highlight=01628,00246,00074,00115&page=001;hstrok+Hochfeder-06.djvu p 1 x 1628 y 246 h 74 w 115;※ 0_Hochfeder-06_PT01_024.djvu 00062 (62) new
hstrok Hochfeder-07 001:00056 [L];file:../../DjVu/Hochfeder-07.djvu?djvuopts=&highlight=01237,00219,00035,00063&page=001;hstrok+#Hochfeder-07.djvu p 1 x 1237 y 219 h 35 w 63;※ 0_Hochfeder-07_PT01_024.djvu 00058 (58) new
hstrok Hochfeder-07 001:00058 [|».];file:../../DjVu/Hochfeder-07.djvu?djvuopts=&highlight=01288,00218,00044,00070&page=001;hstrok+Hochfeder-07.djvu p 1 x 1288 y 218 h 44 w 70;※ 0_Hochfeder-07_PT01_024.djvu 00060 (60) new
hstrok Hochfeder-08 001:00059 [h];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=02031,00498,00072,00119&page=001;hstrok+Hochfeder-08.djvu p 1 x 2031 y 498 h 72 w 119;※ 0_Hochfeder-08_PT01_020.djvu 00061 (61) new
hstrok Hochfeder-08 001:00059 [h];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=02031,00498,00072,00119&page=001;hstrok+Hochfeder-08.djvu p 1 x 2031 y 498 h 72 w 119;※ 0_Hochfeder-08_PT01_020.djvu 00061 (61) new
hstrok Hochfeder-10 001:00056 [H];file:../../DjVu/Hochfeder-10.djvu?djvuopts=&highlight=02052,00547,00088,00140&page=001;hstrok+Hochfeder-10.djvu p 1 x 2052 y 547 h 88 w 140;※ 0_Hochfeder-10_PT01_028.djvu 00061 (61) new
hstrok Hochfeder-10 001:00057 [D];file:../../DjVu/Hochfeder-10.djvu?djvuopts=&highlight=02167,00555,00079,00144&page=001;hstrok+Hochfeder-10.djvu p 1 x 2167 y 555 h 79 w 144;※ 0_Hochfeder-10_PT01_028.djvu 00062 (62) new
