is Haller-01 001:00109 [[];file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=00792,00040,00041,00162&page=001;+ Haller-01.djvu p 1 x 792 y 40 h 41 w 162;※ 0_Haller-01_PT04_164.djvu 00111 (111) new
is  Ungler2-06 001:00091 [(];file:../../DjVu/Ungler2-06.djvu?djvuopts=&highlight=01090,00165,00022,00052&page=001;is + Ungler2-06.djvu p 1 x 1090 y 165 h 22 w 52;※ 0_Ungler2-06_PT05_241.djvu 00093 (93) new
is Haller-01 001:00108 [|];file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=00747,00048,00029,00150&page=001;+ Haller-01.djvu p 1 x 747 y 48 h 29 w 150;※ 0_Haller-01_PT04_164.djvu 00110 (110) new
is Haller-03 001:00140 [!];file:../../DjVu/Haller-03.djvu?djvuopts=&highlight=02259,00227,00024,00090&page=001;+ Haller-03.djvu p 1 x 2259 y 227 h 24 w 90;※ 0_Haller-03_PT04_166.djvu 00142 (142) new
is Haller-04 001:00156 [(];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=00506,00043,00020,00060&page=001;+ Haller-04.djvu p 1 x 506 y 43 h 20 w 60;※ 0_Haller-04_PT04_167.djvu 00158 (158) new
is Haller-05 001:00150 [?];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=00129,00039,00018,00046&page=001;is + Haller-05.djvu p 1 x 129 y 39 h 18 w 46;※ 0_Haller-05_PT04_168.djvu 00152 (152) new
is Haller-06 001:00128 [];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=01029,00051,00008,00036&page=001;+ Haller-06.djvu p 1 x 1029 y 51 h 8 w 36;※ 0_Haller-06_PT04_169.djvu 00130 (130) new
is Haller-08 001:00141 [(];file:../../DjVu/Haller-08.djvu?djvuopts=&highlight=01225,00168,00020,00057&page=001;is+ Haller-08.djvu p 1 x 1225 y 168 h 20 w 57;※ 0_Haller-08_PT04_171.djvu 00143 (143) new
is Haller-09 001:00156 [(];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00092,00049,00012,00049&page=001;is+Haller-09.djvu p 1 x 92 y 49 h 12 w 49;※ 0_Haller-09_PT04_172.djvu 00158 (158) new
is Haller-10 001:00126 [(];file:../../DjVu/Haller-10.djvu?djvuopts=&highlight=01090,00052,00012,00049&page=001;is+ Haller-10.djvu p 1 x 1090 y 52 h 12 w 49;※ 0_Haller-10_PT04_173.djvu 00128 (128) new
is Haller-12 001:00108 [K];file:../../DjVu/Haller-12.djvu?djvuopts=&highlight=01464,00281,00043,00119&page=001;is+Haller-12.djvu p 1 x 1464 y 281 h 43 w 119;※ 0_Haller-12_PT04_175.djvu 00110 (110) new
is Haller-13 001:00115 [[];file:../../DjVu/Haller-13.djvu?djvuopts=&highlight=01291,00143,00022,00062&page=001;is+ Haller-13.djvu p 1 x 1291 y 143 h 22 w 62;※ 0_Haller-13_PT04_172.djvu 00117 (117) new
is Hochfeder-03 001:00138 [[];file:../../DjVu/Hochfeder-03.djvu?djvuopts=&highlight=00648,00123,00023,00084&page=001;is+Hochfeder-03.djvu p 1 x 648 y 123 h 23 w 84;※ 0_Hochfeder-03_PT01_021.djvu 00140 (140) new
