l^ Haller-04 001:00081 [l];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=01874,00306,00023,00073&page=001;+^ Haller-04.djvu p 1 x 1874 y 306 h 23 w 73;※ 0_Haller-04_PT04_167.djvu 00083 (83) new
lhighstrok Haller-05 001:00080 [l];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=01322,00220,00022,00047&page=001;lhighstrok+ Haller-05.djvu p 1 x 1322 y 220 h 22 w 47;※ 0_Haller-05_PT04_168.djvu 00082 (82) new
lhighstrok Haller-06 001:00065 [t];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=00836,00153,00013,00038&page=001;lhighstrok+ Haller-06.djvu p 1 x 836 y 153 h 13 w 38;※ 0_Haller-06_PT04_169.djvu 00067 (67) new
lhighstrok Haller-07;file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=1115,421,31,70&page=1;lhighstrok+#;
lhighstrok Haller-08 001:00075 [Lf];file:../../DjVu/Haller-08.djvu?djvuopts=&highlight=00930,00268,00023,00046&page=001;lhighstrok+ Haller-08.djvu p 1 x 930 y 268 h 23 w 46;※ 0_Haller-08_PT04_171.djvu 00077 (77) new
lhighstrok Haller-09 001:00077 [|];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=01061,00250,00019,00048&page=001;lhighstrok+Haller-09.djvu p 1 x 1061 y 250 h 19 w 48;※ 0_Haller-09_PT04_172.djvu 00079 (79) new
lhighstrok Haller-10 001:00063 [d];file:../../DjVu/Haller-10.djvu?djvuopts=&highlight=00923,00146,00018,00044&page=001;lhighstrok+ Haller-10.djvu p 1 x 923 y 146 h 18 w 44;※ 0_Haller-10_PT04_173.djvu 00065 (65) new
lhighstrok Haller-11 001:00083 [r];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=01021,00378,00027,00051&page=001;lhighstrok+ Haller-11.djvu p 1 x 1021 y 378 h 27 w 51;※ 0_Haller-11_PT04_174.djvu 00085 (85) new
lhighstrok Haller-12 001:00058 [[];file:../../DjVu/Haller-12.djvu?djvuopts=&highlight=01589,00484,00038,00118&page=001;lhighstrok+Haller-12.djvu p 1 x 1589 y 484 h 38 w 118;※ 0_Haller-12_PT04_175.djvu 00060 (60) new
lhighstrok Haller-13 001:00054 [U];file:../../DjVu/Haller-13.djvu?djvuopts=&highlight=00963,00245,00029,00059&page=001;lhighstrok+ Haller-13.djvu p 1 x 963 y 245 h 29 w 59;※ 0_Haller-13_PT04_172.djvu 00056 (56) new
lhighstrok Hochfeder-03 001:00070 [l];file:../../DjVu/Hochfeder-03.djvu?djvuopts=&highlight=01906,00381,00041,00076&page=001;lhighstrok+Hochfeder-03.djvu p 1 x 1906 y 381 h 41 w 76;※ 0_Hochfeder-03_PT01_021.djvu 00072 (72) new
lhighstrok Hochfeder-04 001:00041 [l];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00980,00331,00034,00064&page=001;lhighstrok+Hochfeder-04.djvu p 1 x 980 y 331 h 34 w 64;※ 0_Hochfeder-04_PT01_022.djvu 00043 (43) new
lhighstrok Hochfeder-05 001:00075 [I];file:../../DjVu/Hochfeder-05.djvu?djvuopts=&highlight=02962,00459,00073,00120&page=001;lhighstrok+Hochfeder-05.djvu p 1 x 2962 y 459 h 73 w 120;※ 0_Hochfeder-05_PT01_023.djvu 00077 (77) new
lhighstrok Hochfeder-06 001:00077 [[];file:../../DjVu/Hochfeder-06.djvu?djvuopts=&highlight=02367,00258,00054,00112&page=001;lhighstrok+Hochfeder-06.djvu p 1 x 2367 y 258 h 54 w 112;※ 0_Hochfeder-06_PT01_024.djvu 00079 (79) new
lhighstrok Hochfeder-07 001:00072 [[];file:../../DjVu/Hochfeder-07.djvu?djvuopts=&highlight=01639,00226,00034,00066&page=001;lhighstrok+Hochfeder-07.djvu p 1 x 1639 y 226 h 34 w 66;※ 0_Hochfeder-07_PT01_024.djvu 00074 (74) new
lhighstrok Hochfeder-08 001:00077 [U];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=02635,00492,00058,00118&page=001;lhighstrok+Hochfeder-08.djvu p 1 x 2635 y 492 h 58 w 118;※ 0_Hochfeder-08_PT01_020.djvu 00079 (79) new
lhighstrok Hochfeder-08 001:00077 [U];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=02635,00492,00058,00118&page=001;lhighstrok+Hochfeder-08.djvu p 1 x 2635 y 492 h 58 w 118;※ 0_Hochfeder-08_PT01_020.djvu 00079 (79) new
lhighstrok Hochfeder-09 001:00065 [|];file:../../DjVu/Hochfeder-09.djvu?djvuopts=&highlight=02224,00403,00050,00095&page=001;lhighstrok+Hochfeder-09.djvu p 1 x 2224 y 403 h 50 w 95;※ 0_Hochfeder-09_PT01_027.djvu 00067 (67) new
lhighstrok Hochfeder-09 001:00065 [|];file:../../DjVu/Hochfeder-09.djvu?djvuopts=&highlight=02224,00403,00050,00095&page=001;lhighstrok+Hochfeder-09.djvu p 1 x 2224 y 403 h 50 w 95;※ 0_Hochfeder-09_PT01_027.djvu 00067 (67) new
lhighstrok Hochfeder-10 001:00070 [LU];file:../../DjVu/Hochfeder-10.djvu?djvuopts=&highlight=02918,00562,00068,00137&page=001;lhighstrok+Hochfeder-10.djvu p 1 x 2918 y 562 h 68 w 137;※ 0_Hochfeder-10_PT01_028.djvu 00075 (75) new
lhighstrok Hochfeder-11 001:00058 ['];file:../../DjVu/Hochfeder-11.djvu?djvuopts=&highlight=01710,00315,00057,00120&page=001;lhighstrok+Hochfeder-11.djvu p 1 x 1710 y 315 h 57 w 120;※ 0_Hochfeder-11_PT01_028.djvu 00060 (60) new
