pbardes Augezdecki-07 001:00075 [p];file:../../DjVu/Augezdecki-07.djvu?djvuopts=&highlight=01403,00243,00043,00059&page=001;+ Augezdecki-07.djvu p 1 x 1403 y 243 h 43 w 59;※ 0_Augezdecki-07_PT08_409.djvu 00077 (77) new
pbardes Haller-01 001:00072 [D];file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=00881,00258,00101,00154&page=001;+ Haller-01.djvu p 1 x 881 y 258 h 101 w 154;※ 0_Haller-01_PT04_164.djvu 00074 (74) new
pbardes Haller-02 001:00088 [D];file:../../DjVu/Haller-02.djvu?djvuopts=&highlight=00257,00152,00065,00101&page=001;+ Haller-02.djvu p 1 x 257 y 152 h 65 w 101;※ 0_Haller-02_PT04_165.djvu 00090 (90) new
pbardes Haller-03 001:00099 [D];file:../../DjVu/Haller-03.djvu?djvuopts=&highlight=170,208,73,123&page=1;+# Haller-03.djvu p 1 x 181 y 261 h 92 w 54;※ 0_Haller-03_PT04_166.djvu 00101 (101) add
pbardes Haller-04 001:00106 [D];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=00501,00162,00043,00072&page=001;+ Haller-04.djvu p 1 x 501 y 162 h 43 w 72;※ 0_Haller-04_PT04_167.djvu 00108 (108) new
pbardes Haller-05 001:00101 [D];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=00265,00111,00032,00052&page=001;pbardes+ Haller-05.djvu p 1 x 265 y 111 h 32 w 52;※ 0_Haller-05_PT04_168.djvu 00103 (103) new
pbardes Haller-06 001:00080 [L.];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=1142,131,32,54&page=1;+ Haller-06.djvu p 1 x 1144 y 155 h 39 w 23;※ 0_Haller-06_PT04_169.djvu 00082 (82) add
pbardes Haller-07 001:00088 [p];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=1609,413,38,73&page=1;pbardes+# Haller-07.djvu p 1 x 1615 y 447 h 52 w 31;※ 0_Haller-07_PT04_170.djvu 00091 (91) add
pbardes Haller-08 001:00096 [p];file:../../DjVu/Haller-08.djvu?djvuopts=&highlight=1437,253,32,63&page=1;pbardes+ Haller-08.djvu p 1 x 1439 y 278 h 44 w 28;※ 0_Haller-08_PT04_171.djvu 00098 (98) add
pbardes Haller-09 001:00103 [- m ud];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=210,136,38,66&page=1;pbardes+#Haller-09.djvu p 1 x 215 y 164 h 47 w 29;※ 0_Haller-09_PT04_172.djvu 00105 (105) add
pbardes Haller-10 001:00083 [p];file:../../DjVu/Haller-10.djvu?djvuopts=&highlight=01347,00129,00024,00040&page=001;pbardes+ Haller-10.djvu p 1 x 1347 y 129 h 24 w 40;※ 0_Haller-10_PT04_173.djvu 00085 (85) new
pbardes Haller-11 001:00100 [APOEF];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=1532,357,44,66&page=1;pbardes+# Haller-11.djvu p 1 x 1540 y 384 h 49 w 32;※ 0_Haller-11_PT04_174.djvu 00102 (102) add
pbardes Haller-12 001:00071 [p];file:../../DjVu/Haller-12.djvu?djvuopts=&highlight=02376,00451,00071,00116&page=001;pbardes+Haller-12.djvu p 1 x 2376 y 451 h 71 w 116;※ 0_Haller-12_PT04_175.djvu 00073 (73) new
pbardes Haller-13 001:00074 [D];file:../../DjVu/Haller-13.djvu?djvuopts=&highlight=01484,00233,00038,00058&page=001;pbardes+#Haller-13.djvu p 1 x 1484 y 233 h 38 w 58;※ 0_Haller-13_PT04_172.djvu 00076 (76) new
pbardes Hochfeder-03 001:00091 [p];file:../../DjVu/Hochfeder-03.djvu?djvuopts=&highlight=00528,00241,00048,00075&page=001;pbardes+Hochfeder-03.djvu p 1 x 528 y 241 h 48 w 75;※ 0_Hochfeder-03_PT01_021.djvu 00093 (93) new
pbardes Hochfeder-04 001:00053 [D];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00224,00192,00038,00060&page=001;pbardes+Hochfeder-04.djvu p 1 x 224 y 192 h 38 w 60;※ 0_Hochfeder-04_PT01_022.djvu 00055 (55) new
pbardes Hochfeder-05 001:00095 [D];file:../../DjVu/Hochfeder-05.djvu?djvuopts=&highlight=00394,00198,00079,00124&page=001;pbardes+Hochfeder-05.djvu p 1 x 394 y 198 h 79 w 124;※ 0_Hochfeder-05_PT01_023.djvu 00097 (97) new
pbardes Hochfeder-06 001:00094 [D];file:../../DjVu/Hochfeder-06.djvu?djvuopts=&highlight=03457,00243,00081,00111&page=001;pbardes+Hochfeder-06.djvu p 1 x 3457 y 243 h 81 w 111;※ 0_Hochfeder-06_PT01_024.djvu 00096 (96) new
pbardes Hochfeder-07 001:00091 [D];file:../../DjVu/Hochfeder-07.djvu?djvuopts=&highlight=00344,00101,00039,00060&page=001;pbardes+Hochfeder-07.djvu p 1 x 344 y 101 h 39 w 60;※ 0_Hochfeder-07_PT01_024.djvu 00093 (93) new
pbardes Hochfeder-08 001:00100 [p];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=580,249,88,171&page=1;pbardes+#Hochfeder-08.djvu p 1 x 586 y 321 h 107 w 70;※ 0_Hochfeder-08_PT01_020.djvu 00102 (102) add
pbardes Hochfeder-08 001:00100 [p];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=580,249,88,171&page=1;pbardes+#Hochfeder-08.djvu p 1 x 586 y 321 h 107 w 70;※ 0_Hochfeder-08_PT01_020.djvu 00102 (102) add
pbardes Hochfeder-09 001:00092 [p];file:../../DjVu/Hochfeder-09.djvu?djvuopts=&highlight=855,158,70,143&page=1;pbardes+#Hochfeder-09.djvu p 1 x 856 y 222 h 101 w 63;※ 0_Hochfeder-09_PT01_027.djvu 00094 (94) add
pbardes Hochfeder-09 001:00092 [p];file:../../DjVu/Hochfeder-09.djvu?djvuopts=&highlight=855,158,70,143&page=1;pbardes+#Hochfeder-09.djvu p 1 x 856 y 222 h 101 w 63;※ 0_Hochfeder-09_PT01_027.djvu 00094 (94) add
pbardes Hochfeder-11 001:00073 [D];file:../../DjVu/Hochfeder-11.djvu?djvuopts=&highlight=02680,00284,00073,00117&page=001;pbardes+Hochfeder-11.djvu p 1 x 2680 y 284 h 73 w 117;※ 0_Hochfeder-11_PT01_028.djvu 00075 (75) new
pbardes Ungler1-01 001:00063 [D];file:../../DjVu/Ungler1-01.djvu?djvuopts=&highlight=00102,00301,00027,00046&page=001;pbardes+ Ungler1-01.djvu p 1 x 102 y 301 h 27 w 46;※ 0_Ungler1-1_PT03_112.djvu 00065 (65) new
pbardes Ungler1-02 001:00086 [p];file:../../DjVu/Ungler1-02.djvu?djvuopts=&highlight=01203,00172,00029,00042&page=001;pbardes+Ungler1-02.djvu p 1 x 1203 y 172 h 29 w 42;※ 0_Ungler1-02_PT03_113.djvu 00088 (88) new
pbardes Ungler1-03 001:00097 [p];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=505,239,38,67&page=1;pbardes+# Ungler1-03.djvu p 1 x 508 y 265 h 43 w 28;※ 0_Ungler1-03_PT03_114.djvu 00099 (99) add
pbardes Ungler1-04 001:00057 [p];file:../../DjVu/Ungler1-04.djvu?djvuopts=&highlight=01496,00167,00034,00050&page=001;pbardes+ Ungler1-04.djvu p 1 x 1496 y 167 h 34 w 50;※ 0_Ungler1-04_PT03_115.djvu 00059 (59) new
pbardes Ungler1-05 001:00067 [AP];file:../../DjVu/Ungler1-05.djvu?djvuopts=&highlight=1123,121,36,72&page=1;pbardes+# Ungler1-05.djvu p 1 x 1123 y 145 h 50 w 35;※ 0_Ungler1-05_PT03_116.djvu 00069 (69) add
pbardes Ungler1-06;file:../../DjVu/Ungler1-06.djvu?djvuopts=&highlight=549,149,53,78&page=1;pbardes+;
pbardes Ungler1-07 001:00083 [—];file:../../DjVu/Ungler1-07.djvu?djvuopts=&highlight=340,147,61,93&page=1;pbardes+# Ungler1-07.djvu p 1 x 350 y 183 h 67 w 42;※ 0_Ungler1-07_PT03_118.djvu 00085 (85) add
pbardes Ungler1-10 001:00070 [*];file:../../DjVu/Ungler1-10.djvu?djvuopts=&highlight=00415,00267,00034,00061&page=001;pbardes+ Ungler1-10.djvu p 1 x 415 y 267 h 34 w 61;※ 0_Ungler1-10_PT03_119.djvu 00072 (72) new
pbardes Ungler2-01 001:00083 [p];file:../../DjVu/Ungler2-01.djvu?djvuopts=&highlight=00139,00227,00058,00085&page=001;pbardes+ Ungler2-01.djvu p 1 x 139 y 227 h 58 w 85;※ 0_Ungler2-01_PT05_239.djvu 00085 (85) new
pbardes Ungler2-02 001:00099 [P];file:../../DjVu/Ungler2-02.djvu?djvuopts=&highlight=01369,00184,00036,00059&page=001;pbardes+ Ungler2-02.djvu p 1 x 1369 y 184 h 36 w 59;※ 0_Ungler2-02_PT05_240.djvu 00101 (101) new
pbardes Ungler2-06 001:00058 [p];file:../../DjVu/Ungler2-06.djvu?djvuopts=&highlight=1158,238,42,60&page=1;pbardes+# Ungler2-06.djvu p 1 x 1161 y 257 h 47 w 33;※ 0_Ungler2-06_PT05_241.djvu 00060 (60) add
pbardes Ungler2-09 001:00096 [P];file:../../DjVu/Ungler2-09.djvu?djvuopts=&highlight=1932,232,40,72&page=1;pbardes+# Ungler2-09.djvu p 1 x 1936 y 262 h 53 w 30;※ 0_Ungler2-09_PT05_244.djvu 00098 (98) add
pbardes Ungler2-10 001:00068 [D];file:../../DjVu/Ungler2-10.djvu?djvuopts=&highlight=00128,00173,00033,00043&page=001;pbardes+ Ungler2-10.djvu p 1 x 128 y 173 h 33 w 43;※ 0_Ungler2-10_PT05_245.djvu 00070 (70) new
pbardes Ungler2-14 001:00107 [AIME];file:../../DjVu/Ungler2-14.djvu?djvuopts=&highlight=530,104,41,66&page=1;pbardes+ Ungler2-14.djvu p 1 x 539 y 135 h 46 w 28;※ 0_Ungler2-14_PT07_357.djvu 00109 (109) add
pbardes Ungler2-15 001:00077 [p];file:../../DjVu/Ungler2-15.djvu?djvuopts=&highlight=00339,00162,00037,00054&page=001;pbardes+ Ungler2-15.djvu p 1 x 339 y 162 h 37 w 54;※ 0_Ungler2-15_PT07_358.djvu 00079 (79) new
pbardes Ungler2-16 001:00080 [D];file:../../DjVu/Ungler2-16.djvu?djvuopts=&highlight=01483,00394,00027,00043&page=001;pbardes+ Ungler2-16.djvu p 1 x 1483 y 394 h 27 w 43;※ 0_Ungler2-16_PT07_359.djvu 00082 (82) new
pbardes Ungler2-18 001:00070 [p];file:../../DjVu/Ungler2-18.djvu?djvuopts=&highlight=01328,00229,00030,00059&page=001;pbardes+ Ungler2-18.djvu p 1 x 1328 y 229 h 30 w 59;※ 0_Ungler2-18_PT07_360.djvu 00072 (72) new
pbardes Ungler2-20 001:00084 [P];file:../../DjVu/Ungler2-20.djvu?djvuopts=&highlight=1611,254,42,73&page=1;pbardes+# Ungler2-20.djvu p 1 x 1614 y 282 h 51 w 33;※ 0_Ungler2-20_PT07_361.djvu 00086 (86) add
pbardes Ungler2-21 001:00066 [p];file:../../DjVu/Ungler2-21.djvu?djvuopts=&highlight=00080,00034,00040,00067&page=001;pbardes+ Ungler2-21.djvu p 1 x 80 y 34 h 40 w 67;※ 0_Ungler2-21_PT07_362.djvu 00068 (68) new
pbardes Ungler2-22 001:00042 [p];file:../../DjVu/Ungler2-22.djvu?djvuopts=&highlight=01501,00175,00081,00111&page=001;pbardes+Ungler2-22.djvu p 1 x 1501 y 175 h 81 w 111;※ 0_Ungler2-22_PT07_362.djvu 00044 (44) new
pbardes Wirzbięta-10+8 001:00086 [D];file:../../DjVu/Wirzbięta-10+8.djvu?djvuopts=&highlight=382,119,49,80&page=1;pbardes+# Wirzbięta-10+8.djvu p 1 x 384 y 149 h 63 w 41;※ 0_Wirzbięta-10+8_PT11_563.djvu 00088 (88) add
pbardes Wirzbięta-14 001:00103 [P];file:../../DjVu/Wirzbięta-14.djvu?djvuopts=&highlight=00401,00154,00030,00054&page=001;pbardes+ Wirzbięta-14.djvu p 1 x 401 y 154 h 30 w 54;※ 0_Wirzbięta-14_PT11_565.djvu 00105 (105) new
pbardes^ Hochfeder-08 001:00101 [D];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=668,247,85,180&page=1;pbardes^+^Hochfeder-08.djvu p 1 x 671 y 280 h 73 w 104;※ 0_Hochfeder-08_PT01_020.djvu 00103 (103) new
pbardes^ Hochfeder-08 001:00101 [D];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=668,247,85,180&page=1;pbardes^+^Hochfeder-08.djvu p 1 x 671 y 280 h 73 w 104;※ 0_Hochfeder-08_PT01_020.djvu 00103 (103) new
