pflour Augezdecki-01 001:00099 [n,];file:../../DjVu/Augezdecki-01.djvu?djvuopts=&highlight=00338,00596,00056,00063&page=001;+ Augezdecki-01.djvu p 1 x 338 y 596 h 56 w 63;※ 0_Augezdecki-01_PT08_402.djvu 00101 (101) new
pflour Augezdecki-03 001:00085 [,P];file:../../DjVu/Augezdecki-03.djvu?djvuopts=&highlight=00189,00199,00037,00039&page=001;+ Augezdecki-03.djvu p 1 x 189 y 199 h 37 w 39;※ 0_Augezdecki-03_PT08_407.djvu 00087 (87) new
pflour Augezdecki-08 001:00095 [m];file:../../DjVu/Augezdecki-08.djvu?djvuopts=&highlight=02460,00251,00056,00064&page=001;+ Augezdecki-08.djvu p 1 x 2460 y 251 h 56 w 64;※ 0_Augezdecki-08_PT08_410.djvu 00097 (97) new
pflour Haller-01 001:00074 [D];file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=994,255,130,166&page=1;+# Haller-01.djvu p 1 x 1014 y 260 h 107 w 163;※ 0_Haller-01_PT04_164.djvu 00076 (76) new
pflour Haller-02 001:00089 [D];file:../../DjVu/Haller-02.djvu?djvuopts=&highlight=00329,00151,00085,00104&page=001;+ Haller-02.djvu p 1 x 329 y 151 h 85 w 104;※ 0_Haller-02_PT04_165.djvu 00091 (91) new
pflour Haller-03 001:00100 [D];file:../../DjVu/Haller-03.djvu?djvuopts=&highlight=00243,00225,00073,00096&page=001;+ Haller-03.djvu p 1 x 243 y 225 h 73 w 96;※ 0_Haller-03_PT04_166.djvu 00102 (102) new
pflour Haller-04 001:00108 [p];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=550,153,62,81&page=1;+# Haller-04.djvu p 1 x 562 y 160 h 48 w 72;※ 0_Haller-04_PT04_167.djvu 00110 (110) new
pflour Haller-05 001:00102 [P];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=00307,00109,00044,00051&page=001;pflour+ Haller-05.djvu p 1 x 307 y 109 h 44 w 51;※ 0_Haller-05_PT04_168.djvu 00104 (104) new
pflour Haller-06 001:00081 [»];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=1174,136,37,44&page=1;+# Haller-06.djvu p 1 x 1182 y 141 h 24 w 36;※ 0_Haller-06_PT04_169.djvu 00083 (83) new
pflour Haller-07 001:00089 [P];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=01653,00426,00042,00050&page=001;pflour+ Haller-07.djvu p 1 x 1653 y 426 h 42 w 50;※ 0_Haller-07_PT04_170.djvu 00092 (92) new
pflour Haller-08 001:00097 [p];file:../../DjVu/Haller-08.djvu?djvuopts=&highlight=01471,00260,00038,00048&page=001;pflour+ Haller-08.djvu p 1 x 1471 y 260 h 38 w 48;※ 0_Haller-08_PT04_171.djvu 00099 (99) new
pflour Haller-09 001:00104 [I2];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00250,00147,00042,00047&page=001;pflour+Haller-09.djvu p 1 x 250 y 147 h 42 w 47;※ 0_Haller-09_PT04_172.djvu 00106 (106) new
pflour Haller-10 001:00084 [MP];file:../../DjVu/Haller-10.djvu?djvuopts=&highlight=00037,00057,00032,00039&page=001;pflour+ Haller-10.djvu p 1 x 37 y 57 h 32 w 39;※ 0_Haller-10_PT04_173.djvu 00086 (86) new
pflour Haller-11 001:00102 [p];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=1581,358,49,63&page=1;pflour+# Haller-11.djvu p 1 x 1590 y 367 h 36 w 51;※ 0_Haller-11_PT04_174.djvu 00104 (104) new
pflour Haller-12 001:00072 [i.];file:../../DjVu/Haller-12.djvu?djvuopts=&highlight=02457,00454,00093,00114&page=001;pflour+Haller-12.djvu p 1 x 2457 y 454 h 93 w 114;※ 0_Haller-12_PT04_175.djvu 00074 (74) new
