qbardes Augezdecki-07 001:00078 [i];file:../../DjVu/Augezdecki-07.djvu?djvuopts=&highlight=01505,00242,00046,00062&page=001;+ Augezdecki-07.djvu p 1 x 1505 y 242 h 46 w 62;※ 0_Augezdecki-07_PT08_409.djvu 00080 (80) new
qbardes Haller-08 001:00105 [];file:../../DjVu/Haller-08.djvu?djvuopts=&highlight=149,147,35,64&page=1;qbardes+ Haller-08.djvu p 1 x 152 y 172 h 44 w 28;※ 0_Haller-08_PT04_171.djvu 00107 (107) add
qbardes Haller-11 001:00109 [€]];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=00061,00251,00036,00050&page=001;qbardes+ Haller-11.djvu p 1 x 61 y 251 h 36 w 50;※ 0_Haller-11_PT04_174.djvu 00111 (111) new
qbardes Ungler1-07 001:00092 [Q];file:../../DjVu/Ungler1-07.djvu?djvuopts=&highlight=00794,00164,00040,00064&page=001;qbardes+ Ungler1-07.djvu p 1 x 794 y 164 h 40 w 64;※ 0_Ungler1-07_PT03_118.djvu 00094 (94) new
qbardes Ungler1-10 001:00076 [C]];file:../../DjVu/Ungler1-10.djvu?djvuopts=&highlight=00771,00271,00036,00056&page=001;qbardes+ Ungler1-10.djvu p 1 x 771 y 271 h 36 w 56;※ 0_Ungler1-10_PT03_119.djvu 00078 (78) new
qbardes Ungler2-01 001:00085 [»|];file:../../DjVu/Ungler2-01.djvu?djvuopts=&highlight=00288,00220,00057,00093&page=001;qbardes+ Ungler2-01.djvu p 1 x 288 y 220 h 57 w 93;※ 0_Ungler2-01_PT05_239.djvu 00087 (87) new
qbardes Ungler2-02 001:00106 [];file:../../DjVu/Ungler2-02.djvu?djvuopts=&highlight=1608,184,45,71&page=1;qbardes+# Ungler2-02.djvu p 1 x 1609 y 210 h 54 w 37;※ 0_Ungler2-02_PT05_240.djvu 00108 (108) add
qbardes Ungler2-02 001:00107 [5|];file:../../DjVu/Ungler2-02.djvu?djvuopts=&highlight=00057,00111,00042,00072&page=001;qbardes+ Ungler2-02.djvu p 1 x 57 y 111 h 42 w 72;※ 0_Ungler2-02_PT05_240.djvu 00109 (109) new
qbardes Ungler2-02 001:00108 [Q];file:../../DjVu/Ungler2-02.djvu?djvuopts=&highlight=00109,00115,00037,00062&page=001;qbardes+ Ungler2-02.djvu p 1 x 109 y 115 h 37 w 62;※ 0_Ungler2-02_PT05_240.djvu 00110 (110) new
qbardes Ungler2-05 001:00061 [q];file:../../DjVu/Ungler2-05.djvu?djvuopts=&highlight=01179,00166,00037,00060&page=001;qbardes+ Ungler2-05.djvu p 1 x 1179 y 166 h 37 w 60;※ 0_Ungler2-05_PT05_243.djvu 00063 (63) new
qbardes Ungler2-09 001:00100 [9];file:../../DjVu/Ungler2-09.djvu?djvuopts=&highlight=00041,00164,00027,00044&page=001;qbardes+ Ungler2-09.djvu p 1 x 41 y 164 h 27 w 44;※ 0_Ungler2-09_PT05_244.djvu 00102 (102) new
qbardes Ungler2-14 001:00116 [q];file:../../DjVu/Ungler2-14.djvu?djvuopts=&highlight=00784,00114,00029,00049&page=001;qbardes+ Ungler2-14.djvu p 1 x 784 y 114 h 29 w 49;※ 0_Ungler2-14_PT07_357.djvu 00118 (118) new
