q3app Augezdecki-07 001:00081 [CD];file:../../DjVu/Augezdecki-07.djvu?djvuopts=&highlight=01738,00242,00058,00065&page=001;+ Augezdecki-07.djvu p 1 x 1738 y 242 h 58 w 65;※ 0_Augezdecki-07_PT08_409.djvu 00083 (83) new
q3app Augezdecki-08 001:00102 [$^];file:../../DjVu/Augezdecki-08.djvu?djvuopts=&highlight=00435,00098,00054,00065&page=001;+ Augezdecki-08.djvu p 1 x 435 y 98 h 54 w 65;※ 0_Augezdecki-08_PT08_410.djvu 00104 (104) new
q3app Haller-02 001:00103 [(D];file:../../DjVu/Haller-02.djvu?djvuopts=&highlight=01147,00150,00090,00101&page=001;+ Haller-02.djvu p 1 x 1147 y 150 h 90 w 101;※ 0_Haller-02_PT04_165.djvu 00105 (105) new
q3app Haller-03 001:00110 [(B];file:../../DjVu/Haller-03.djvu?djvuopts=&highlight=00782,00225,00079,00088&page=001;+ Haller-03.djvu p 1 x 782 y 225 h 79 w 88;※ 0_Haller-03_PT04_166.djvu 00112 (112) new
q3app Haller-04 001:00120 [»];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=01141,00165,00067,00073&page=001;+ Haller-04.djvu p 1 x 1141 y 165 h 67 w 73;※ 0_Haller-04_PT04_167.djvu 00122 (122) new
q3app Haller-04 001:00121 [(A];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=1215,159,79,112&page=1;+^ Haller-04.djvu p 1 x 1220 y 166 h 71 w 68;※ 0_Haller-04_PT04_167.djvu 00123 (123) new
q3app Haller-05 001:00114 [q5];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=00732,00113,00053,00050&page=001;q3app+ Haller-05.djvu p 1 x 732 y 113 h 53 w 50;※ 0_Haller-05_PT04_168.djvu 00116 (116) new
q3app Haller-06 001:00094 [^P];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=01472,00139,00035,00037&page=001;+ Haller-06.djvu p 1 x 1472 y 139 h 35 w 37;※ 0_Haller-06_PT04_169.djvu 00096 (96) new
q3app Haller-07 001:00100 [(b];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00110,00320,00045,00048&page=001;q3app+ Haller-07.djvu p 1 x 110 y 320 h 45 w 48;※ 0_Haller-07_PT04_170.djvu 00103 (103) new
q3app Haller-08 001:00107 [M,];file:../../DjVu/Haller-08.djvu?djvuopts=&highlight=00241,00159,00042,00045&page=001;q3app+ Haller-08.djvu p 1 x 241 y 159 h 42 w 45;※ 0_Haller-08_PT04_171.djvu 00109 (109) new
q3app Haller-08 001:00108 [1];file:../../DjVu/Haller-08.djvu?djvuopts=&highlight=234,144,53,76&page=1;q3app+# Haller-08.djvu p 1 x 269 y 178 h 14 w 27;※ 0_Haller-08_PT04_171.djvu 00110 (110) new
q3app Haller-09 001:00116 [(Qn];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00565,00149,00047,00046&page=001;q3app+Haller-09.djvu p 1 x 565 y 149 h 47 w 46;※ 0_Haller-09_PT04_172.djvu 00118 (118) new
q3app Haller-10 001:00097 [12.];file:../../DjVu/Haller-10.djvu?djvuopts=&highlight=00329,00061,00040,00040&page=001;q3app+ Haller-10.djvu p 1 x 329 y 61 h 40 w 40;※ 0_Haller-10_PT04_173.djvu 00099 (99) new
q3app Haller-11 001:00115 [Cp];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=00260,00252,00047,00055&page=001;q3app+ Haller-11.djvu p 1 x 260 y 252 h 47 w 55;※ 0_Haller-11_PT04_174.djvu 00117 (117) new
q3app Haller-12 001:00078 [(B];file:../../DjVu/Haller-12.djvu?djvuopts=&highlight=02801,00458,00103,00113&page=001;q3app+Haller-12.djvu p 1 x 2801 y 458 h 103 w 113;※ 0_Haller-12_PT04_175.djvu 00080 (80) new
q3app Haller-13 001:00086 [(B];file:../../DjVu/Haller-13.djvu?djvuopts=&highlight=00334,00136,00057,00060&page=001;q3app+Haller-13.djvu p 1 x 334 y 136 h 57 w 60;※ 0_Haller-13_PT04_172.djvu 00088 (88) new
q3app Hochfeder-03 001:00102 [OQ];file:../../DjVu/Hochfeder-03.djvu?djvuopts=&highlight=01167,00243,00083,00079&page=001;q3app+Hochfeder-03.djvu p 1 x 1167 y 243 h 83 w 79;※ 0_Hochfeder-03_PT01_021.djvu 00104 (104) new
q3app Hochfeder-04 001:00060 [as.];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00576,00187,00061,00066&page=001;q3app+Hochfeder-04.djvu p 1 x 576 y 187 h 61 w 66;※ 0_Hochfeder-04_PT01_022.djvu 00062 (62) new
q3app Hochfeder-05 001:00104 [e];file:../../DjVu/Hochfeder-05.djvu?djvuopts=&highlight=01271,00212,00139,00119&page=001;q3app+Hochfeder-05.djvu p 1 x 1271 y 212 h 139 w 119;※ 0_Hochfeder-05_PT01_023.djvu 00106 (106) new
q3app Hochfeder-08 001:00114 [CA];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=01545,00280,00108,00109&page=001;q3app+Hochfeder-08.djvu p 1 x 1545 y 280 h 108 w 109;※ 0_Hochfeder-08_PT01_020.djvu 00116 (116) new
q3app Hochfeder-08 001:00114 [CA];file:../../DjVu/Hochfeder-08.djvu?djvuopts=&highlight=01545,00280,00108,00109&page=001;q3app+Hochfeder-08.djvu p 1 x 1545 y 280 h 108 w 109;※ 0_Hochfeder-08_PT01_020.djvu 00116 (116) new
q3app Hochfeder-09 001:00105 [(m];file:../../DjVu/Hochfeder-09.djvu?djvuopts=&highlight=01770,00212,00106,00098&page=001;q3app+Hochfeder-09.djvu p 1 x 1770 y 212 h 106 w 98;※ 0_Hochfeder-09_PT01_027.djvu 00107 (107) new
q3app Hochfeder-09 001:00105 [(m];file:../../DjVu/Hochfeder-09.djvu?djvuopts=&highlight=01770,00212,00106,00098&page=001;q3app+Hochfeder-09.djvu p 1 x 1770 y 212 h 106 w 98;※ 0_Hochfeder-09_PT01_027.djvu 00107 (107) new
q3app Hochfeder-10 001:00103 [(B];file:../../DjVu/Hochfeder-10.djvu?djvuopts=&highlight=02194,00289,00146,00142&page=001;q3app+Hochfeder-10.djvu p 1 x 2194 y 289 h 146 w 142;※ 0_Hochfeder-10_PT01_028.djvu 00108 (108) new
q3app Hochfeder-11 001:00085 [(5];file:../../DjVu/Hochfeder-11.djvu?djvuopts=&highlight=00137,00063,00114,00124&page=001;q3app+Hochfeder-11.djvu p 1 x 137 y 63 h 114 w 124;※ 0_Hochfeder-11_PT01_028.djvu 00087 (87) new
q3app Ungler1-01 001:00069 [o3];file:../../DjVu/Ungler1-01.djvu?djvuopts=&highlight=00416,00301,00041,00047&page=001;q3app+ Ungler1-01.djvu p 1 x 416 y 301 h 41 w 47;※ 0_Ungler1-1_PT03_112.djvu 00071 (71) new
q3app Ungler1-02 001:00104 [q];file:../../DjVu/Ungler1-02.djvu?djvuopts=&highlight=01602,00173,00043,00045&page=001;q3app+ Ungler1-02.djvu p 1 x 1602 y 173 h 43 w 45;※ 0_Ungler1-02_PT03_113.djvu 00106 (106) new
