qslstrok Augezdecki-07 001:00079 [CP];file:../../DjVu/Augezdecki-07.djvu?djvuopts=&highlight=01573,00241,00062,00065&page=001;+ Augezdecki-07.djvu p 1 x 1573 y 241 h 62 w 65;※ 0_Augezdecki-07_PT08_409.djvu 00081 (81) new
qslstrok Augezdecki-08 001:00101 [(b];file:../../DjVu/Augezdecki-08.djvu?djvuopts=&highlight=00353,00095,00054,00064&page=001;+ Augezdecki-08.djvu p 1 x 353 y 95 h 54 w 64;※ 0_Augezdecki-08_PT08_410.djvu 00103 (103) new
qslstrok Haller-02 001:00100 [(p];file:../../DjVu/Haller-02.djvu?djvuopts=&highlight=00943,00152,00090,00103&page=001;+ Haller-02.djvu p 1 x 943 y 152 h 90 w 103;※ 0_Haller-02_PT04_165.djvu 00102 (102) new
qslstrok Haller-03 001:00107 [Qi];file:../../DjVu/Haller-03.djvu?djvuopts=&highlight=00596,00225,00082,00094&page=001;+ Haller-03.djvu p 1 x 596 y 225 h 82 w 94;※ 0_Haller-03_PT04_166.djvu 00109 (109) new
qslstrok Haller-04 001:00119 [Qi];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=01057,00163,00071,00073&page=001;+ Haller-04.djvu p 1 x 1057 y 163 h 71 w 73;※ 0_Haller-04_PT04_167.djvu 00121 (121) new
qslstrok Haller-05 001:00111 [CP];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=00611,00115,00050,00044&page=001;qslstrok+ Haller-05.djvu p 1 x 611 y 115 h 50 w 44;※ 0_Haller-05_PT04_168.djvu 00113 (113) new
qslstrok Haller-06 001:00093 [(p];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=01424,00137,00033,00040&page=001;+ Haller-06.djvu p 1 x 1424 y 137 h 33 w 40;※ 0_Haller-06_PT04_169.djvu 00095 (95) new
qslstrok Haller-07 001:00099 [(P];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00060,00320,00042,00048&page=001;qslstrok+ Haller-07.djvu p 1 x 60 y 320 h 42 w 48;※ 0_Haller-07_PT04_170.djvu 00102 (102) new
qslstrok Haller-08 001:00106 [Q];file:../../DjVu/Haller-08.djvu?djvuopts=&highlight=00187,00156,00043,00047&page=001;qslstrok+ Haller-08.djvu p 1 x 187 y 156 h 43 w 47;※ 0_Haller-08_PT04_171.djvu 00108 (108) new
qslstrok Haller-09 001:00115 [(p];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00508,00145,00045,00049&page=001;qslstrok+Haller-09.djvu p 1 x 508 y 145 h 45 w 49;※ 0_Haller-09_PT04_172.djvu 00117 (117) new
qslstrok Haller-10 001:00094 [UP];file:../../DjVu/Haller-10.djvu?djvuopts=&highlight=00249,00060,00030,00038&page=001;qslstrok+ Haller-10.djvu p 1 x 249 y 60 h 30 w 38;※ 0_Haller-10_PT04_173.djvu 00096 (96) new
qslstrok Haller-11 001:00114 [Cp];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=00204,00256,00046,00049&page=001;qslstrok+ Haller-11.djvu p 1 x 204 y 256 h 46 w 49;※ 0_Haller-11_PT04_174.djvu 00116 (116) new
qslstrok Haller-13 001:00085 [(P];file:../../DjVu/Haller-13.djvu?djvuopts=&highlight=00269,00139,00050,00054&page=001;qslstrok+Haller-13.djvu p 1 x 269 y 139 h 50 w 54;※ 0_Haller-13_PT04_172.djvu 00087 (87) new
