  Ungler2-06 001:00092 [l];file:../../DjVu/Ungler2-06.djvu?djvuopts=&highlight=01121,00159,00044,00050&page=001;rum + Ungler2-06.djvu p 1 x 1121 y 159 h 44 w 50;※ 0_Ungler2-06_PT05_241.djvu 00094 (94) new
rum Haller-01 001:00110 [M];file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=00849,00037,00125,00159&page=001;+ Haller-01.djvu p 1 x 849 y 37 h 125 w 159;※ 0_Haller-01_PT04_164.djvu 00112 (112) new
rum Haller-02 001:00136 [lb];file:../../DjVu/Haller-02.djvu?djvuopts=&highlight=00117,00017,00064,00084&page=001;+ Haller-02.djvu p 1 x 117 y 17 h 64 w 84;※ 0_Haller-02_PT04_165.djvu 00138 (138) new
rum Haller-03 001:00141 [M/];file:../../DjVu/Haller-03.djvu?djvuopts=&highlight=02295,00227,00062,00081&page=001;+ Haller-03.djvu p 1 x 2295 y 227 h 62 w 81;※ 0_Haller-03_PT04_166.djvu 00143 (143) new
rum Haller-04 001:00157 [n];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=00542,00034,00050,00070&page=001;+ Haller-04.djvu p 1 x 542 y 34 h 50 w 70;※ 0_Haller-04_PT04_167.djvu 00159 (159) new
rum Haller-05 001:00151 [2];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=00160,00031,00030,00052&page=001;rum + Haller-05.djvu p 1 x 160 y 31 h 30 w 52;※ 0_Haller-05_PT04_168.djvu 00153 (153) new
rum Haller-06 001:00129 [d];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=01053,00058,00023,00027&page=001;+ Haller-06.djvu p 1 x 1053 y 58 h 23 w 27;※ 0_Haller-06_PT04_169.djvu 00131 (131) new
rum Haller-07 001:00137 [y];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=01314,00328,00035,00051&page=001;rum+ Haller-07.djvu p 1 x 1314 y 328 h 35 w 51;※ 0_Haller-07_PT04_170.djvu 00140 (140) new
rum Haller-08 001:00142 [d];file:../../DjVu/Haller-08.djvu?djvuopts=&highlight=01256,00167,00030,00043&page=001;rum+ Haller-08.djvu p 1 x 1256 y 167 h 30 w 43;※ 0_Haller-08_PT04_171.djvu 00144 (144) new
rum Haller-09 001:00157 [g];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00116,00050,00031,00049&page=001;rum+Haller-09.djvu p 1 x 116 y 50 h 31 w 49;※ 0_Haller-09_PT04_172.djvu 00159 (159) new
rum Haller-10 001:00127 [H];file:../../DjVu/Haller-10.djvu?djvuopts=&highlight=01115,00055,00024,00039&page=001;rum+ Haller-10.djvu p 1 x 1115 y 55 h 24 w 39;※ 0_Haller-10_PT04_173.djvu 00129 (129) new
rum Haller-12 001:00109 [L];file:../../DjVu/Haller-12.djvu?djvuopts=&highlight=01522,00300,00069,00093&page=001;rum+Haller-12.djvu p 1 x 1522 y 300 h 69 w 93;※ 0_Haller-12_PT04_175.djvu 00111 (111) new
rum Haller-13 001:00116 [hn];file:../../DjVu/Haller-13.djvu?djvuopts=&highlight=01322,00134,00038,00063&page=001;rum+Haller-13.djvu p 1 x 1322 y 134 h 38 w 63;※ 0_Haller-13_PT04_172.djvu 00118 (118) new
rum Hochfeder-03 001:00139 [P];file:../../DjVu/Hochfeder-03.djvu?djvuopts=&highlight=00692,00112,00054,00080&page=001;rum+Hochfeder-03.djvu p 1 x 692 y 112 h 54 w 80;※ 0_Hochfeder-03_PT01_021.djvu 00141 (141) new
rum Hochfeder-04 001:00084 [v];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00702,00073,00048,00060&page=001;rum+Hochfeder-04.djvu p 1 x 702 y 73 h 48 w 60;※ 0_Hochfeder-04_PT01_022.djvu 00086 (86) new
