slong + lhighstrokeflour Augezdecki-02 001:00099 [ft];file:../../DjVu/Augezdecki-02.djvu?djvuopts=&highlight=00676,00468,00052,00065&page=001;+ Augezdecki-02.djvu p 1 x 676 y 468 h 52 w 65;※ 0_Augezdecki-02_PT08_405.djvu 00101 (101) new
slong Haller-07 001:00114 [5];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=515,320,52,74&page=1;slong+3!+# Haller-07.djvu p 1 x 537 y 333 h 27 w 46;※ 0_Haller-07_PT04_170.djvu 00117 (117) new
slong Haller-07 001:00119 [6];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00743,00332,00032,00060&page=001;slong+3!+ Haller-07.djvu p 1 x 743 y 332 h 32 w 60;※ 0_Haller-07_PT04_170.djvu 00122 (122) new
slong! Haller-09 001:00131 [fb];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=00868,00155,00043,00051&page=001;slong!+Haller-09.djvu p 1 x 868 y 155 h 43 w 51;※ 0_Haller-09_PT04_172.djvu 00133 (133) new
slong&! Hochfeder-10 001:00113 [(U];file:../../DjVu/Hochfeder-10.djvu?djvuopts=&highlight=03226,00338,00147,00149&page=001;slong&!+Hochfeder-10.djvu p 1 x 3226 y 338 h 147 w 149;※ 0_Hochfeder-10_PT01_028.djvu 00118 (118) new
slong&3! Haller-08 001:00124 [5];file:../../DjVu/Haller-08.djvu?djvuopts=&highlight=00683,00163,00030,00057&page=001;slong&3!+ Haller-08.djvu p 1 x 683 y 163 h 30 w 57;※ 0_Haller-08_PT04_171.djvu 00126 (126) new
slong&3! Hochfeder-04 001:00071 [$];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=01158,00203,00048,00072&page=001;slong&3!+Hochfeder-04.djvu p 1 x 1158 y 203 h 48 w 72;※ 0_Hochfeder-04_PT01_022.djvu 00073 (73) new
slong&3! Ungler1-01 001:00079 [z];file:../../DjVu/Ungler1-01.djvu?djvuopts=&highlight=00839,00312,00026,00053&page=001;slong&3!+ Ungler1-01.djvu p 1 x 839 y 312 h 26 w 53;※ 0_Ungler1-1_PT03_112.djvu 00081 (81) new
slong&3! Ungler1-02 001:00116 [&];file:../../DjVu/Ungler1-02.djvu?djvuopts=&highlight=00405,00100,00031,00052&page=001;slong&3!+Ungler1-02.djvu p 1 x 405 y 100 h 31 w 52;※ 0_Ungler1-02_PT03_113.djvu 00118 (118) new
slong&3! Ungler2-09 001:00119 [É];file:../../DjVu/Ungler2-09.djvu?djvuopts=&highlight=00734,00165,00028,00056&page=001;slong&3!+ Ungler2-09.djvu p 1 x 734 y 165 h 28 w 56;※ 0_Ungler2-09_PT05_244.djvu 00121 (121) new
