slongflour Augezdecki-01b 001:00012 [H];file:../../DjVu/Augezdecki-01b.djvu?djvuopts=&highlight=00444,00108,00041,00077&page=001;+ Augezdecki-01b.djvu p 1 x 444 y 108 h 41 w 77;※ 0_Augezdecki-01b_PT08_404.djvu 00014 (14) new
slongflour Haller-03 001:00121 [Ir];file:../../DjVu/Haller-03.djvu?djvuopts=&highlight=01383,00243,00053,00096&page=001;+ Haller-03.djvu p 1 x 1383 y 243 h 53 w 96;※ 0_Haller-03_PT04_166.djvu 00123 (123) new
slongflour Haller-04 001:00138 [b];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=01972,00176,00037,00074&page=001;+ Haller-04.djvu p 1 x 1972 y 176 h 37 w 74;※ 0_Haller-04_PT04_167.djvu 00140 (140) new
slongflour Haller-05 001:00131 [P];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=01272,00126,00025,00049&page=001;slongflour+ Haller-05.djvu p 1 x 1272 y 126 h 25 w 49;※ 0_Haller-05_PT04_168.djvu 00133 (133) new
slongflour Haller-06 001:00109 [b];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=00578,00061,00018,00038&page=001;+ Haller-06.djvu p 1 x 578 y 61 h 18 w 38;※ 0_Haller-06_PT04_169.djvu 00111 (111) new
slongflour Haller-07 001:00118 [p];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=00707,00333,00028,00057&page=001;slongflour+ Haller-07.djvu p 1 x 707 y 333 h 28 w 57;※ 0_Haller-07_PT04_170.djvu 00121 (121) new
slongflour Haller-08;file:../../DjVu/Haller-08.djvu?djvuopts=&highlight=644,158,32,71&page=1;slongflour+;
slongflour Haller-09 001:00135 [P];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=01005,00157,00025,00048&page=001;slongflour+Haller-09.djvu p 1 x 1005 y 157 h 25 w 48;※ 0_Haller-09_PT04_172.djvu 00137 (137) new
slongflour Haller-10 001:00107 [P];file:../../DjVu/Haller-10.djvu?djvuopts=&highlight=00664,00066,00019,00046&page=001;slongflour+ Haller-10.djvu p 1 x 664 y 66 h 19 w 46;※ 0_Haller-10_PT04_173.djvu 00109 (109) new
slongflour Hochfeder-03 001:00116 [b];file:../../DjVu/Hochfeder-03.djvu?djvuopts=&highlight=01982,00264,00043,00077&page=001;slongflour+Hochfeder-03.djvu p 1 x 1982 y 264 h 43 w 77;※ 0_Hochfeder-03_PT01_021.djvu 00118 (118) new
