us Haller-02 001:00137 [9];file:../../DjVu/Haller-02.djvu?djvuopts=&highlight=185,30,46,91&page=1;+# Haller-02.djvu p 1 x 189 y 54 h 45 w 69;※ 0_Haller-02_PT04_165.djvu 00139 (139) new
us Haller-03 001:00142 [9];file:../../DjVu/Haller-03.djvu?djvuopts=&highlight=2363,231,45,99&page=1;+# Haller-03.djvu p 1 x 2369 y 280 h 33 w 49;※ 0_Haller-03_PT04_166.djvu 00144 (144) new
us Haller-04 001:00158 [9];file:../../DjVu/Haller-04.djvu?djvuopts=&highlight=00604,00078,00032,00042&page=001;+# Haller-04.djvu p 1 x 604 y 78 h 32 w 42;※ 0_Haller-04_PT04_167.djvu 00160 (160) new
usmod Augezdecki-01 001:00145 [?];file:../../DjVu/Augezdecki-01.djvu?djvuopts=&highlight=02426,00580,00025,00054&page=001;+ Augezdecki-01.djvu p 1 x 2426 y 580 h 25 w 54;※ 0_Augezdecki-01_PT08_402.djvu 00147 (147) new
usmod Augezdecki-02 001:00123 [9];file:../../DjVu/Augezdecki-02.djvu?djvuopts=&highlight=01587,00498,00019,00034&page=001;+ Augezdecki-02.djvu p 1 x 1587 y 498 h 19 w 34;※ 0_Augezdecki-02_PT08_405.djvu 00125 (125) new
usmod Augezdecki-08 001:00134 [Q9];file:../../DjVu/Augezdecki-08.djvu?djvuopts=&highlight=2033,110,28,57&page=1;+ Augezdecki-08.djvu p 1 x 2032 y 130 h 24 w 32;※ 0_Augezdecki-08_PT08_410.djvu 00136 (136) new
usmod Augezdecki-14 001:00149 [9];file:../../DjVu/Augezdecki-14.djvu?djvuopts=&highlight=1777,267,41,131&page=1;+# Augezdecki-14.djvu p 1 x 1781 y 346 h 33 w 51;※ 0_Augezdecki-14_PT08_410.djvu 00151 (151) new
usmod Augezdecki-16 001:00083 [y];file:../../DjVu/Augezdecki-16.djvu?djvuopts=&highlight=01012,00061,00030,00054&page=001;usmod+ Augezdecki-16.djvu p 1 x 1012 y 61 h 30 w 54;※ 0_Augezdecki-16_PT08_413.djvu 00085 (85) new
usmod Haller-01 001:00111 [o];file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=996,55,74,169&page=1;+# Haller-01.djvu p 1 x 998 y 130 h 63 w 90;※ 0_Haller-01_PT04_164.djvu 00113 (113) new
usmod Haller-05 001:00152 [9];file:../../DjVu/Haller-05.djvu?djvuopts=&highlight=204,35,27,61&page=1;usmod+ Haller-05.djvu p 1 x 203 y 69 h 24 w 27;※ 0_Haller-05_PT04_168.djvu 00154 (154) new
usmod Haller-06 001:00131 [»];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=1087,43,24,61&page=1;+# Haller-06.djvu p 1 x 1093 y 90 h 22 w 11;※ 0_Haller-06_PT04_169.djvu 00133 (133) add
usmod Haller-07 001:00138 [(];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=1361,329,24,60&page=1;usmod+# Haller-07.djvu p 1 x 1361 y 362 h 23 w 26;※ 0_Haller-07_PT04_170.djvu 00141 (141) new
usmod Haller-08 001:00143 [9];file:../../DjVu/Haller-08.djvu?djvuopts=&highlight=1292,174,30,57&page=1;usmod+# Haller-08.djvu p 1 x 1299 y 196 h 18 w 32;※ 0_Haller-08_PT04_171.djvu 00145 (145) new
usmod Haller-09 001:00158 [9];file:../../DjVu/Haller-09.djvu?djvuopts=&highlight=160,51,27,58&page=1;usmod+#Haller-09.djvu p 1 x 161 y 81 h 22 w 30;※ 0_Haller-09_PT04_172.djvu 00160 (160) new
usmod Haller-10 001:00128 [Q9];file:../../DjVu/Haller-10.djvu?djvuopts=&highlight=1143,57,26,55&page=1;usmod+# Haller-10.djvu p 1 x 1148 y 80 h 19 w 26;※ 0_Haller-10_PT04_173.djvu 00130 (130) new
usmod Haller-11 001:00140 [()];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=1169,278,33,55&page=1;usmod+# Haller-11.djvu p 1 x 1174 y 308 h 24 w 26;※ 0_Haller-11_PT04_174.djvu 00142 (142) new
usmod Haller-12 001:00110 [9];file:../../DjVu/Haller-12.djvu?djvuopts=&highlight=1607,290,59,128&page=1;usmod+#Haller-12.djvu p 1 x 1609 y 348 h 54 w 68;※ 0_Haller-12_PT04_175.djvu 00112 (112) new
usmod Haller-13 001:00117 [9];file:../../DjVu/Haller-13.djvu?djvuopts=&highlight=1366,142,31,65&page=1;usmod+# Haller-13.djvu p 1 x 1370 y 175 h 24 w 34;※ 0_Haller-13_PT04_172.djvu 00119 (119) new
usmod Hochfeder-03 001:00140 [e)];file:../../DjVu/Hochfeder-03.djvu?djvuopts=&highlight=764,109,50,96&page=1;usmod+#Hochfeder-03.djvu p 1 x 769 y 155 h 37 w 44;※ 0_Hochfeder-03_PT01_021.djvu 00142 (142) new
usmod Hochfeder-04 001:00085 [9];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=769,76,38,79&page=1;usmod+Hochfeder-04.djvu p 1 x 774 y 111 h 33 w 42;※ 0_Hochfeder-04_PT01_022.djvu 00087 (87) new
