vacute Haller-11 001:00141 [Y)];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=01216,00273,00043,00057&page=001;vacute+ Haller-11.djvu p 1 x 1216 y 273 h 43 w 57;※ 0_Haller-11_PT04_174.djvu 00143 (143) new
vacute Haller-12 001:00100 [Yo];file:../../DjVu/Haller-12.djvu?djvuopts=&highlight=00983,00314,00097,00120&page=001;vacute+Haller-12.djvu p 1 x 983 y 314 h 97 w 120;※ 0_Haller-12_PT04_175.djvu 00102 (102) new
vacute Haller-13 001:00109 [Y];file:../../DjVu/Haller-13.djvu?djvuopts=&highlight=01054,00149,00036,00059&page=001;vacute+ Haller-13.djvu p 1 x 1054 y 149 h 36 w 59;※ 0_Haller-13_PT04_172.djvu 00111 (111) new
vacute Hochfeder-04 001:00078 [5];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00270,00090,00042,00049&page=001;vacute+Hochfeder-04.djvu p 1 x 270 y 90 h 42 w 49;※ 0_Hochfeder-04_PT01_022.djvu 00080 (80) new
vacute Hochfeder-05 001:00130 [»];file:../../DjVu/Hochfeder-05.djvu?djvuopts=&highlight=03109,00272,00093,00131&page=001;vacute+Hochfeder-05.djvu p 1 x 3109 y 272 h 93 w 131;※ 0_Hochfeder-05_PT01_023.djvu 00132 (132) new
vacute Hochfeder-06 001:00132 [0D];file:../../DjVu/Hochfeder-06.djvu?djvuopts=&highlight=02346,00082,00085,00117&page=001;vacute+Hochfeder-06.djvu p 1 x 2346 y 82 h 85 w 117;※ 0_Hochfeder-06_PT01_024.djvu 00134 (134) new
vacute Hochfeder-07 001:00125 [»];file:../../DjVu/Hochfeder-07.djvu?djvuopts=&highlight=01828,00131,00049,00066&page=001;vacute+Hochfeder-07.djvu p 1 x 1828 y 131 h 49 w 66;※ 0_Hochfeder-07_PT01_024.djvu 00127 (127) new
vacute Hochfeder-11 001:00105 [»»];file:../../DjVu/Hochfeder-11.djvu?djvuopts=&highlight=01576,00096,00079,00128&page=001;vacute+Hochfeder-11.djvu p 1 x 1576 y 96 h 79 w 128;※ 0_Hochfeder-11_PT01_028.djvu 00107 (107) new
vacute Ungler1-07 001:00117 [X9];file:../../DjVu/Ungler1-07.djvu?djvuopts=&highlight=00214,00056,00057,00066&page=001;vacute+ Ungler1-07.djvu p 1 x 214 y 56 h 57 w 66;※ 0_Ungler1-07_PT03_118.djvu 00119 (119) new
vacute Ungler2-03 001:00182 [*];file:../../DjVu/Ungler2-03.djvu?djvuopts=&highlight=00847,00168,00033,00034&page=001;vacute+ Ungler2-03.djvu p 1 x 847 y 168 h 33 w 34;※ 0_Ungler2-03_PT05_241.djvu 00184 (184) new
vacute Ungler2-06 001:00086 [»];file:../../DjVu/Ungler2-06.djvu?djvuopts=&highlight=00867,00175,00037,00055&page=001;vacute+ Ungler2-06.djvu p 1 x 867 y 175 h 37 w 55;※ 0_Ungler2-06_PT05_241.djvu 00088 (88) new
vacute Ungler2-09 001:00134 [t];file:../../DjVu/Ungler2-09.djvu?djvuopts=&highlight=01176,00166,00033,00044&page=001;vacute+ Ungler2-09.djvu p 1 x 1176 y 166 h 33 w 44;※ 0_Ungler2-09_PT05_244.djvu 00136 (136) new
vacute Ungler2-10 001:00118 [»];file:../../DjVu/Ungler2-10.djvu?djvuopts=&highlight=00575,00100,00031,00043&page=001;vacute+ Ungler2-10.djvu p 1 x 575 y 100 h 31 w 43;※ 0_Ungler2-10_PT05_245.djvu 00120 (120) new
vacute Ungler2-14 001:00161 [1X];file:../../DjVu/Ungler2-14.djvu?djvuopts=&highlight=00307,00046,00044,00041&page=001;vacute+ Ungler2-14.djvu p 1 x 307 y 46 h 44 w 41;※ 0_Ungler2-14_PT07_357.djvu 00163 (163) new
vacute Ungler2-14 001:00162 [20];file:../../DjVu/Ungler2-14.djvu?djvuopts=&highlight=00367,00049,00039,00040&page=001;vacute+ Ungler2-14.djvu p 1 x 367 y 49 h 39 w 40;※ 0_Ungler2-14_PT07_357.djvu 00164 (164) new
vacute Ungler2-16 001:00119 [s];file:../../DjVu/Ungler2-16.djvu?djvuopts=&highlight=00948,00310,00036,00037&page=001;vacute+ Ungler2-16.djvu p 1 x 948 y 310 h 36 w 37;※ 0_Ungler2-16_PT07_359.djvu 00121 (121) new
vacute Ungler2-20 001:00119 [Y/];file:../../DjVu/Ungler2-20.djvu?djvuopts=&highlight=01034,00163,00048,00059&page=001;vacute+ Ungler2-20.djvu p 1 x 1034 y 163 h 48 w 59;※ 0_Ungler2-20_PT07_361.djvu 00121 (121) new
vdiagstrok Haller-06 001:00119 [5];file:../../DjVu/Haller-06.djvu?djvuopts=&highlight=00799,00059,00023,00030&page=001;+ Haller-06.djvu p 1 x 799 y 59 h 23 w 30;※ 0_Haller-06_PT04_169.djvu 00121 (121) new
vdiagstrok Haller-07 001:00129 [»];file:../../DjVu/Haller-07.djvu?djvuopts=&highlight=01038,00338,00037,00056&page=001;vdiagstrok+ Haller-07.djvu p 1 x 1038 y 338 h 37 w 56;※ 0_Haller-07_PT04_170.djvu 00132 (132) new
vdiagstrok Hochfeder-03 001:00125 [Y];file:../../DjVu/Hochfeder-03.djvu?djvuopts=&highlight=00143,00133,00053,00078&page=001;vdiagstrok+Hochfeder-03.djvu p 1 x 143 y 133 h 53 w 78;※ 0_Hochfeder-03_PT01_021.djvu 00127 (127) new
vdiagstroke Haller-01 001:00102 [»];file:../../DjVu/Haller-01.djvu?djvuopts=&highlight=00155,00064,00106,00168&page=001;+ Haller-01.djvu p 1 x 155 y 64 h 106 w 168;※ 0_Haller-01_PT04_164.djvu 00104 (104) new
vstroke Haller-03 001:00143 [»];file:../../DjVu/Haller-03.djvu?djvuopts=&highlight=02413,00239,00063,00096&page=001;+ Haller-03.djvu p 1 x 2413 y 239 h 63 w 96;※ 0_Haller-03_PT04_166.djvu 00145 (145) new
