jsbien@JSBbookworm:~/git/tmp$ python3 renumber_lines.py /home/jsbien/git/tmp/masks4check/all-lines renumbered-lines
Statistics:
m01: Max number2 = 6
m02: Max number2 = 2
m03: Max number2 = 1
m04: Max number2 = 5
m05: Max number2 = 1
m06: Max number2 = 5
m07: Max number2 = 4
m08: Max number2 = 4
m09: Max number2 = 3
m10: Max number2 = 3
m11: Max number2 = 2
m12: Max number2 = 1
m13: Max number2 = 2
m14: Max number2 = 1
m15: Max number2 = 3
m16: Max number2 = 6
m17: Max number2 = 6
m18: Max number2 = 3
m19: Max number2 = 4
m20: Max number2 = 4
m21: Max number2 = 2
m22: Max number2 = 4
m23: Max number2 = 4
m24: Max number2 = 4
m25: Max number2 = 3
m26: Max number2 = 5
m27: Max number2 = 4
m28: Max number2 = 4
m29: Max number2 = 3
m30: Max number2 = 5
m31: Max number2 = 4
m32: Max number2 = 4
m33: Max number2 = 4
m34: Max number2 = 5
m35: Max number2 = 4
m36: Max number2 = 3
m37: Max number2 = 4
m38: Max number2 = 4
m39: Max number2 = 4
m40: Max number2 = 3
m41: Max number2 = 5
m42: Max number2 = 4
m43: Max number2 = 5
m44: Max number2 = 3
m45: Max number2 = 3
m46: Max number2 = 4
m47: Max number2 = 4
m48: Max number2 = 2
m49: Max number2 = 2
m50: Max number2 = 5
m51: Max number2 = 5
m52: Max number2 = 5
m53: Max number2 = 5
m54: Max number2 = 4
m55: Max number2 = 3
m56: Max number2 = 4
m57: Max number2 = 4
m58: Max number2 = 4
m59: Max number2 = 1
m60: Max number2 = 1
m61: Max number2 = 2
m62: Max number2 = 4
m63: Max number2 = 4
m64: Max number2 = 7
m65: Max number2 = 4
m66: Max number2 = 4
m67: Max number2 = 4
m68: Max number2 = 4
m69: Max number2 = 3
m70: Max number2 = 3
m71: Max number2 = 4
m72: Max number2 = 1
m73: Max number2 = 3
m74: Max number2 = 1
m75: Max number2 = 3
m76: Max number2 = 1
m77: Max number2 = 1
m78: Max number2 = 3
m79: Max number2 = 1
m80: Max number2 = 3
m81: Max number2 = 1
m82: Max number2 = 4
m83: Max number2 = 4
m84: Max number2 = 2
m85: Max number2 = 4
m86: Max number2 = 4
m87: Max number2 = 4
m88: Max number2 = 5
Total files processed: 304
jsbien@JSBbookworm:~/git/tmp$ 
